Date,MSCI ACWI ex NORWAY
1998-12,1000.0
1999-01,1019.7468255330008
1999-02,993.9523918340325
1999-03,1039.49653215716
1999-04,1084.2166009493926
1999-05,1046.9068674895702
1999-06,1099.7118348999697
1999-07,1094.6315530488987
1999-08,1093.4846312720076
1999-09,1081.6415484589509
1999-10,1135.9532369039841
1999-11,1171.0723637149583
1999-12,1268.2319973193428
2000-01,1199.213892518137
2000-02,1203.1362483238352
2000-03,1282.9449026916038
2000-04,1225.5083005329764
2000-05,1194.6543070714326
2000-06,1234.9895769995612
2000-07,1198.1917804020895
2000-08,1235.8518031762292
2000-09,1167.733560323412
2000-10,1144.4164675062975
2000-11,1073.3877391608296
2000-12,1090.8322242559266
2001-01,1118.4964076964175
2001-02,1024.3517415465055
2001-03,955.4667143579444
2001-04,1025.058483109167
2001-05,1013.6316312420877
2001-06,982.3121091863306
2001-07,967.1042494228578
2001-08,922.6038496756829
2001-09,838.469683696898
2001-10,856.2811106251557
2001-11,908.9590790236475
2001-12,917.4108420189376
2002-01,892.2944826992349
2002-02,885.6480544862015
2002-03,925.5678061558705
2002-04,896.1656490827736
2002-05,897.3776355816536
2002-06,842.5588199942741
2002-07,771.9283486446963
2002-08,773.9547679285887
2002-09,689.1011615817372
2002-10,739.8687792247176
2002-11,780.3003851698445
2002-12,743.0644629866298
2003-01,721.394613222929
2003-02,708.8806885387305
2003-03,706.1898282648709
2003-04,769.1659552299759
2003-05,813.8559823460497
2003-06,829.5131673521403
2003-07,847.8634874870871
2003-08,867.9990917796723
2003-09,873.5940994293233
2003-10,926.4857875597388
2003-11,940.5997716683029
2003-12,1000.2719067810173
2004-01,1017.4301336096049
2004-02,1036.0387484384416
2004-03,1030.4999173505992
2004-04,1006.8575283125474
2004-05,1015.2486052538129
2004-06,1035.7296870265197
2004-07,1002.880472161594
2004-08,1009.3518892129722
2004-09,1030.402750315358
2004-10,1055.8310680227542
2004-11,1113.6100072888655
2004-12,1157.1100406018984
2005-01,1132.8435974353465
2005-02,1172.381038482992
2005-03,1147.0538935223856
2005-04,1122.5767138501776
2005-05,1144.313270156189
2005-06,1156.1408613541387
2005-07,1199.1032889859675
2005-08,1208.533194358104
2005-09,1245.296459933911
2005-10,1212.1910990734573
2005-11,1257.0990315621557
2005-12,1288.2862590982172
2006-01,1351.7705174504829
2006-02,1350.3000274003878
2006-03,1378.903187619981
2006-04,1425.2169883312786
2006-05,1370.2728590279978
2006-06,1370.4416302030963
2006-07,1379.9913744930698
2006-08,1416.712603433301
2006-09,1434.0578424036796
2006-10,1487.887419814652
2006-11,1530.3337752524942
2006-12,1564.622390037813
2007-01,1580.3280580878923
2007-02,1572.7432537925881
2007-03,1604.7369142358466
2007-04,1676.750676803555
2007-05,1728.1831859044466
2007-06,1723.2644626792
2007-07,1697.2875727804308
2007-08,1693.656914669815
2007-09,1784.4865065758645
2007-10,1854.4543315570859
2007-11,1773.3553052955012
2007-12,1753.9808716361345
2008-01,1611.7850172518847
2008-02,1616.195066227877
2008-03,1593.147093858259
2008-04,1682.6458023934076
2008-05,1710.3147184420875
2008-06,1570.3092954812282
2008-07,1530.598586273217
2008-08,1498.48426842181
2008-09,1312.98048542757
2008-10,1053.7607230969525
2008-11,985.4652902743903
2008-12,1021.6462599729456
2009-01,934.3734534675922
2009-02,843.4125783415927
2009-03,913.3250746182541
2009-04,1021.9489312559383
2009-05,1124.6404256285387
2009-06,1119.0472498165554
2009-07,1217.8885619124148
2009-08,1261.988547760321
2009-09,1320.0569665752446
2009-10,1299.7299142952756
2009-11,1353.6985643494645
2009-12,1382.008272836909
2010-01,1322.69180874801
2010-02,1340.2968327855795
2010-03,1427.1817270063689
2010-04,1430.262672431703
2010-05,1296.2278122796329
2010-06,1256.750838617834
2010-07,1359.0620883767515
2010-08,1312.163631984895
2010-09,1437.9096298264467
2010-10,1490.1613807145093
2010-11,1457.9226493457347
2010-12,1564.6632647401582
2011-01,1589.7553667193981
2011-02,1636.441792078247
2011-03,1635.4216149281435
2011-04,1703.1104179863378
2011-05,1668.2161937197116
2011-06,1642.6992300733718
2011-07,1616.4315371116263
2011-08,1499.006099264623
2011-09,1358.3278927994563
2011-10,1503.9043285842022
2011-11,1459.7281708638545
2011-12,1457.3803152489377
2012-01,1542.6480393776842
2012-02,1620.5008183237483
2012-03,1632.321247806162
2012-04,1614.7711531486125
2012-05,1471.7553433690737
2012-06,1545.013918388811
2012-07,1566.5568151901878
2012-08,1601.1576184665294
2012-09,1652.2953075176583
2012-10,1641.736066934898
2012-11,1663.5628989395354
2012-12,1702.0940069698786
2013-01,1780.8784898885365
2013-02,1781.6615726334
2013-03,1815.309074541192
2013-04,1868.3407476579791
2013-05,1864.7919527127085
2013-06,1811.359321857959
2013-07,1898.4602700399141
2013-08,1859.6850905301121
2013-09,1956.6174616839635
2013-10,2035.5204792452932
2013-11,2065.466745417907
2013-12,2101.821983632582
2014-01,2018.3728952083866
2014-02,2116.725887050309
2014-03,2127.1983121697644
2014-04,2148.3174095351887
2014-05,2195.6590455925657
2014-06,2238.07349259306
2014-07,2211.7902017609763
2014-08,2261.5789039306483
2014-09,2189.2759622450258
2014-10,2205.8781948678634
2014-11,2244.4482682310163
2014-12,2202.320562583986
2015-01,2168.2466089292147
2015-02,2289.8925199108417
2015-03,2255.976933692564
2015-04,2322.1037203083265
2015-05,2321.0523251753493
2015-06,2267.522002229316
2015-07,2288.2361836080067
2015-08,2132.5374501249653
2015-09,2056.3101966108998
2015-10,2218.280007910051
2015-11,2200.9546318142825
2015-12,2162.3765940283643
2016-01,2032.4431739139748
2016-02,2019.4993747657725
2016-03,2170.623988364504
2016-04,2203.6805118947577
2016-05,2208.444814437787
2016-06,2196.306028261651
2016-07,2291.8446297991036
2016-08,2300.573905466236
2016-09,2315.497274213662
2016-10,2276.7023157602407
2016-11,2295.162572676868
2016-12,2345.5967668924213
2017-01,2410.0402901449943
2017-02,2479.0115913764166
2017-03,2511.181578356625
2017-04,2551.54952
2017-05,2609.992649
2017-06,2623.012487
2017-07,2696.7845
2017-08,2708.316665
2017-09,2761.529851
2017-10,2819.580212
2017-11,2875.691883
2017-12,2922.937672
2018-01,3088.428719
2018-02,2959.75782
2018-03,2898.143508
2018-04,2927.3439529381094
2018-05,2933.618750499648
2018-06,2918.7675920346137
2018-07,3007.8874363622695
2018-08,3032.9828267393214
2018-09,3046.9862674478495
2018-10,2819.3432183846458
2018-11,2862.3640367395906
2018-12,2661.86071
2019-01,2872.9498700464937
2019-02,2951.1135800430834
2019-03,2990.264073587969
2019-04,3092.900218918714
2019-05,2911.879163195967
2019-06,3104.003005469587
2019-07,3114.3868356136286
2019-08,3042.0010794224822
2019-09,3107.323839746568
2019-10,3193.3663831287945
2019-11,3272.9310990098083
2019-12,3389.3590915453824
2020-01,3353.108619424954
2020-02,3083.755318936434
2020-03,2669.625326725411
2020-04,2956.9638138052364
2020-05,3087.3057440344965
2020-06,3187.5141194985827
2020-07,3357.176641904485
2020-08,3563.8531496972737
2020-09,3450.5347443347396
2020-10,3367.742237720434
2020-11,3783.66837589011
2020-12,3960.679521126833
2021-01,3943.5899201236325
2021-02,4035.982306257894
2021-03,4145.681204235879
2021-04,4328.697316121169
2021-05,4398.253087208527
2021-06,4457.905898
2021-07,4490.097815047216
2021-08,4603.846868372467
2021-09,4415.039371557533
