Date,EUROPE ex EMU
1987-12,30.40342455
1988-01,30.17901384
1988-02,30.48555154
1988-03,31.725051999999998
1988-04,32.42921352
1988-05,31.684077090000002
1988-06,30.84566719
1988-07,31.04365646
1988-08,29.16332946
1988-09,30.58516209
1988-10,33.18308861
1988-11,33.68261894
1988-12,33.44220166
1989-01,36.26731682
1989-02,35.85779198
1989-03,36.13046893
1989-04,36.77602908
1989-05,34.477229699999995
1989-06,35.715183010000004
1989-07,40.72439078
1989-08,39.87167026
1989-09,39.72358692
1989-10,36.48149466
1989-11,38.278121920000004
1989-12,41.764648460000004
1990-01,42.06228057
1990-02,41.16078041
1990-03,40.04997643
1990-04,38.09765291
1990-05,43.59999207
1990-06,45.76055424
1990-07,47.683918410000004
1990-08,44.3993596
1990-09,39.86037126
1990-10,42.71505486
1990-11,43.98564468
1990-12,43.71551877
1991-01,45.73104008
1991-02,49.39829028
1991-03,46.82480292
1991-04,46.08589138
1991-05,46.97935008
1991-06,43.23112142
1991-07,47.59672541
1991-08,48.49662123
1991-09,49.88827244
1991-10,48.77316448
1991-11,46.6642386
1991-12,50.52757739
1992-01,50.2068897
1992-02,49.58029388
1992-03,47.43718244
1992-04,51.73592216
1992-05,54.94422204
1992-06,53.35319786
1992-07,51.88836799
1992-08,51.57109038
1992-09,51.10703357
1992-10,46.91932337
1992-11,47.3570833
1992-12,49.295178199999995
1993-01,48.49576175
1993-02,47.57953184
1993-03,50.77631366
1993-04,52.487641260000004
1993-05,53.7758642
1993-06,53.15248281
1993-07,53.07047736
1993-08,56.84752033
1993-09,56.82898941
1993-10,59.49919595
1993-11,59.190708799999996
1993-12,63.77260805
1994-01,67.84428826
1994-02,64.55972735
1994-03,61.05081895
1994-04,62.75758312
1994-05,60.33669559
1994-06,60.4301414
1994-07,62.840210320000004
1994-08,65.64075426000001
1994-09,63.421190599999996
1994-10,66.58288917
1994-11,64.09559324
1994-12,64.53341523
1995-01,63.84181576
1995-02,64.96301213
1995-03,69.00985293000001
1995-04,70.57079725
1995-05,72.52312297
1995-06,73.29261312
1995-07,76.79771653
1995-08,74.8114013
1995-09,78.5678555
1995-10,78.90510352
1995-11,79.66993219999999
1995-12,81.69562997
1996-01,80.41037633
1996-02,82.32076376
1996-03,83.76763474
1996-04,84.02315445
1996-05,84.3534186
1996-06,85.14240863
1996-07,84.8027087
1996-08,89.07351925
1996-09,90.23070674
1996-10,93.4378103
1996-11,97.83170382
1996-12,100.0
1997-01,99.07323402
1997-02,101.20863008
1997-03,103.68917867
1997-04,104.49813077
1997-05,110.29349552000001
1997-06,114.17106204
1997-07,118.69662780625924
1997-08,114.2812745251155
1997-09,125.05162074616369
1997-10,120.49424622309628
1997-11,121.85771885082781
1997-12,126.33657617639967
1998-01,131.52484596361117
1998-02,141.43624920324646
1998-03,148.44716195429734
1998-04,149.1046466823202
1998-05,147.4239830351279
1998-06,148.6244459810375
1998-07,149.29901109032312
1998-08,133.6970839751353
1998-09,128.07266109388866
1998-10,138.52271646799292
1998-11,144.87954315307678
1998-12,149.03392634757728
1999-01,148.002296177877
1999-02,148.23564801576921
1999-03,151.27713914341203
1999-04,156.23187178555455
1999-05,148.21906341701475
1999-06,149.0103531080513
1999-07,152.54777639630532
1999-08,152.1715316451131
1999-09,150.54059762623228
1999-10,155.2845625794183
1999-11,157.79747159173604
1999-12,167.44017207503205
2000-01,153.2626895039457
2000-02,153.1736069203622
2000-03,162.38860811737786
2000-04,156.20963976821437
2000-05,153.76410338427922
2000-06,155.73650193425468
2000-07,155.99245673827343
2000-08,156.57160586395997
2000-09,149.82795196840877
2000-10,149.5872860021776
2000-11,143.3068869565925
2000-12,153.24395557324485
