Date,EFM EUROPE + CIS (E+C) ex RU
2002-05,169.9370101499372
2002-06,149.44809697573714
2002-07,141.83221204483132
2002-08,149.3703733719635
2002-09,141.43920700882703
2002-10,154.79847806859962
2002-11,176.12838053035466
2002-12,164.45640283456066
2003-01,163.4397132263767
2003-02,163.7716175426004
2003-03,153.1128535068306
2003-04,177.1898470036346
2003-05,191.724623625125
2003-06,179.80747433485263
2003-07,188.77282769767464
2003-08,207.60288487263406
2003-09,215.08728527353563
2003-10,229.1078243072147
2003-11,221.2368775173946
2003-12,255.05039644599196
2004-01,259.41346218387866
2004-02,276.83362214590346
2004-03,292.33064355581627
2004-04,275.45368967716166
2004-05,273.6608640801268
2004-06,284.3097096565752
2004-07,292.3653980457736
2004-08,302.21499740915436
2004-09,326.00546882283766
2004-10,351.5963076604431
2004-11,389.1287147598488
2004-12,433.4894385820547
2005-01,437.1959861200501
2005-02,507.8345043741437
2005-03,452.16002893088097
2005-04,416.32067231608124
2005-05,427.2806301200602
2005-06,460.095110903071
2005-07,503.4184729678902
2005-08,535.6152458598563
2005-09,578.1186063416958
2005-10,526.388853679059
2005-11,566.7622235350256
2005-12,583.8848079776856
2006-01,646.9485886921206
2006-02,665.6499145397436
2006-03,631.2454972068837
2006-04,690.4668682116215
2006-05,587.4417899496642
2006-06,570.1374648981948
2006-07,624.0616326685379
2006-08,616.0748043497435
2006-09,603.4538171704322
2006-10,665.811970834542
2006-11,698.1351893657815
2006-12,738.4020432669482
2007-01,748.1960081744833
2007-02,731.8152508029234
2007-03,786.448812550544
2007-04,838.7387769627121
2007-05,863.8274783216109
2007-06,908.0216344325137
2007-07,947.3316474032806
2007-08,894.1017281131134
2007-09,980.2803141388376
2007-10,1056.6881232027588
2007-11,1000.0000000000002
2007-12,1015.46783181012
2008-01,857.516429145638
2008-02,883.0911657939308
2008-03,849.8464558867346
2008-04,879.9258012100868
2008-05,910.5683046432962
2008-06,841.5929708184023
2008-07,933.6812570799492
2008-08,829.7302349606409
2008-09,698.0897106588212
2008-10,461.7249611067501
2008-11,415.99123668092614
2008-12,433.9059197752756
2009-01,355.8820489955667
2009-02,305.1809671738261
2009-03,343.4772871508243
2009-04,426.27327705678573
2009-05,485.696665515597
2009-06,501.7284987660974
2009-07,604.4447338429284
2009-08,642.8916291704095
2009-09,660.465079620891
2009-10,667.3513589908385
2009-11,675.5212281056052
2009-12,705.3102769425009
2010-01,713.5631600737037
2010-02,660.8303722527118
2010-03,741.8148576455219
2010-04,758.8024762416458
2010-05,649.9956764392534
2010-06,624.9455272745694
2010-07,723.5322814548554
2010-08,702.8180816657034
2010-09,806.7358469638805
2010-10,842.2232991704655
2010-11,755.2212486430091
2010-12,789.3950730919568
2011-01,783.3727653500707
2011-02,782.9236710082931
2011-03,827.1725292799035
2011-04,909.6404741039014
2011-05,846.4043808288088
2011-06,832.600616369792
2011-07,801.9173663472471
2011-08,700.0578186334516
2011-09,611.2873980805152
2011-10,650.594904464651
2011-11,603.526017796091
2011-12,556.7665807754755
2012-01,638.8093262032497
2012-02,675.9322762412907
2012-03,668.3995780247922
2012-04,651.4350779615102
2012-05,555.4248941164118
2012-06,641.6677045291245
2012-07,649.1479046372949
2012-08,682.7768605956688
2012-09,708.2819922597997
2012-10,735.2230818617905
2012-11,745.0902699246568
2012-12,793.4418216477735
2013-01,796.0699273177333
2013-02,775.0637268021469
2013-03,781.6276456279463
2013-04,795.9021288576828
2013-05,790.3776003272266
2013-06,712.5593540025847
2013-07,721.465732331263
2013-08,685.793986068263
2013-09,742.5805473986925
2013-10,786.2297543207949
2013-11,777.8978227189426
2013-12,719.2858448255256
2014-01,666.2133623251751
2014-02,719.0671780107601
2014-03,749.9849035755694
2014-04,762.1350448742053
2014-05,794.6868901846773
2014-06,785.7551089133968
2014-07,765.524714206174
2014-08,761.883309875919
2014-09,719.3270219489076
2014-10,712.3488040338224
2014-11,727.7169180662927
2014-12,664.9749672509217
2015-01,625.7472845403753
2015-02,621.3289964343685
2015-03,594.7561009039322
2015-04,638.113006665096
2015-05,617.1809418721839
2015-06,604.2860961675889
2015-07,586.4818067832344
2015-08,534.0072801338674
2015-09,510.4049690637053
2015-10,535.5982435322039
2015-11,491.8202288375435
2015-12,480.4313724781293
2016-01,456.40271412714645
2016-02,461.1673737876202
2016-03,539.9156887275535
2016-04,537.9701659862832
2016-05,499.28736724356025
2016-06,481.29602279508356
2016-07,485.5334575280764
2016-08,489.9905678316497
2016-09,485.1208263696838
2016-10,493.35959491810877
2016-11,453.06949477911684
2016-12,474.56534281094645
2017-01,498.48444459844006
2017-02,518.8098902706948
2017-03,523.9957709785626
2017-04,575.900893
2017-05,599.870112
2017-06,616.604579
2017-07,653.641528
2017-08,685.465325
2017-09,640.504752
2017-10,651.04362
2017-11,632.315117
2017-12,680.201889
2018-01,733.509111
2018-02,686.911789
2018-03,650.165007
2018-04,640.8437606016277
2018-05,564.6368616624341
2018-06,556.6462069046526
2018-07,574.6206289177552
2018-08,530.3254105224089
2018-09,542.932472933436
2018-10,507.05472561009327
2018-11,543.1450657570927
2018-12,530.2851833983761
2019-01,570.3892192405401
2019-02,560.8412657172349
2019-03,537.1506311874961
2019-04,541.2581009713772
2019-05,530.951609027978
2019-06,562.6064185396059
2019-07,565.755455225485
2019-08,522.7997291745644
2019-09,539.8269106347336
2019-10,555.8262985142602
2019-11,557.3094309761394
2019-12,577.6616426695649
2020-01,553.8845077230394
2020-02,474.4641187068712
2020-03,371.51732143500743
2020-04,399.4047765411837
2020-05,427.4512681019335
2020-06,441.5483299656671
2020-07,450.3852927364253
2020-08,454.05258883198496
2020-09,421.20555875290063
2020-10,373.2222699947322
2020-11,467.3163487437505
2020-12,517.7745268764793
2021-01,512.7353171728699
