Date,MSCI EM LATIN AMERICA
1987-12,100.0
1988-01,118.1971
1988-02,122.1927
1988-03,144.7139
1988-04,150.8005
1988-05,160.8054
1988-06,158.3904
1988-07,147.3379
1988-08,154.6833
1988-09,176.3845
1988-10,169.1581
1988-11,168.9941
1988-12,180.0618
1989-01,161.9357
1989-02,192.1229
1989-03,230.0078
1989-04,295.5567
1989-05,298.7616
1989-06,224.0756
1989-07,240.3221
1989-08,244.2025
1989-09,273.2295
1989-10,286.6537
1989-11,238.3712
1989-12,280.4337
1990-01,285.5774
1990-02,308.7217
1990-03,213.6405
1990-04,261.3587
1990-05,276.9144
1990-06,272.0733
1990-07,310.1412
1990-08,276.3745
1990-09,254.7247
1990-10,247.4427
1990-11,255.6594
1990-12,258.4873
1991-01,292.5257
1991-02,330.8116
1991-03,370.1534
1991-04,398.9696
1991-05,481.1009
1991-06,472.6211
1991-07,531.6445
1991-08,567.8351
1991-09,558.5048
1991-10,597.328
1991-11,562.9607
1991-12,645.3265
1992-01,744.6829
1992-02,808.5894
1992-03,856.3544
1992-04,852.6118
1992-05,863.624
1992-06,696.177
1992-07,716.754
1992-08,664.8903
1992-09,649.0301
1992-10,690.0619
1992-11,685.0143
1992-12,731.8816
1993-01,721.3082
1993-02,717.8656
1993-03,767.2298
1993-04,729.065
1993-05,747.2977
1993-06,794.3812
1993-07,816.7627
1993-08,887.0024
1993-09,902.5336
1993-10,938.298
1993-11,999.7765
1993-12,1126.5281
1994-01,1311.9253
1994-02,1273.9541
1994-03,1187.5084
1994-04,1096.8842
1994-05,1161.6794
1994-06,1087.2735
1994-07,1190.3242
1994-08,1383.9296
1994-09,1443.2959
1994-10,1371.9934
1994-11,1332.8615
1994-12,1133.7387
1995-01,1009.9313939915883
1995-02,863.6302075519271
1995-03,833.8373956539983
1995-04,954.181294180057
1995-05,975.8588242675703
1995-06,991.0671616727589
1995-07,1021.7030047544068
1995-08,1033.401689179199
1995-09,1024.5923255690875
1995-10,942.1568053334729
1995-11,959.0878997255688
1995-12,988.2380735948942
1996-01,1089.5597231885456
1996-02,1026.8171401433012
1996-03,1039.6941434758119
1996-04,1097.2614102064222
1996-05,1132.5537450773722
1996-06,1161.6128741001473
1996-07,1115.834371718765
1996-08,1147.2381455389252
1996-09,1173.4652012879997
1996-10,1162.021957036641
1996-11,1173.1058261735918
1996-12,1207.739812615207
1997-01,1326.61708232244
1997-02,1414.3927029328
1997-03,1392.8234863257608
1997-04,1462.4838654713637
1997-05,1566.1310295449555
1997-06,1700.3857840315566
1997-07,1795.9379023832837
1997-08,1623.8275083251567
1997-09,1779.521599072218
1997-10,1441.4846947154622
1997-11,1490.7784657450543
1997-12,1589.8339336018978
1998-01,1413.2408101911897
1998-02,1487.474888713247
1998-03,1592.9378203223596
1998-04,1556.440628682042
1998-05,1355.126775216467
1998-06,1275.041998709081
1998-07,1338.128979924586
1998-08,873.955893786195
1998-09,963.4417462992938
1998-10,1037.9398502455347
1998-11,1118.0939063576936
1998-12,1031.6849384875175
1999-01,909.529587122761
1999-02,967.5703320657676
1999-03,1164.2662519899657
1999-04,1331.9826882797938
1999-05,1290.3497510810485
1999-06,1351.8049734107412
1999-07,1247.7763281400623
1999-08,1210.1755863928984
1999-09,1229.9481875269955
1999-10,1257.6803782900306
1999-11,1416.3116166957711
1999-12,1639.2403894213423
2000-01,1569.1531661209322
2000-02,1689.5852919171987
2000-03,1703.6005685332464
2000-04,1519.765883905839
2000-05,1445.6510572621926
2000-06,1577.740666780793
2000-07,1545.0028450190362
2000-08,1582.2785022450396
2000-09,1489.0138213198636
2000-10,1436.7788310800595
2000-11,1305.0220582470201
2000-12,1367.610019314917
2001-01,1566.5984256546194
2001-02,1427.069194171652
2001-03,1338.126475062293
2001-04,1424.1637568183073
2001-05,1466.8529872270676
2001-06,1451.8577322750773
2001-07,1370.1684951081372
2001-08,1322.5598113999818
2001-09,1111.865386527373
2001-10,1155.9505099282742
2001-11,1225.4459781541482
2001-12,1362.3248188190619
2002-01,1361.0222566202017
2002-02,1407.7283474533185
2002-03,1472.9593056766819
2002-04,1452.8755558626465
2002-05,1341.7359094614426
2002-06,1160.953464931823
2002-07,981.5025653031197
2002-08,1071.2075761875485
2002-09,876.9379930990762
2002-10,998.3466406835109
2002-11,1034.0099556618993
2002-12,1056.4311920566424
2003-01,1018.4199132609353
2003-02,996.9603752480028
2003-03,1058.4136590511264
2003-04,1242.6919180188331
2003-05,1281.7315769762074
2003-06,1313.2421738368075
2003-07,1377.24083737297
2003-08,1434.0968120039631
2003-09,1481.101558042193
2003-10,1594.8573591201464
2003-11,1653.1992362769404
2003-12,1834.5490919026395
2004-01,1849.091975364871
2004-02,1937.3200609669163
2004-03,1965.1574568470508
2004-04,1758.8899823662514
2004-05,1747.500186571293
2004-06,1807.016565083528
2004-07,1874.0524506945142
2004-08,1959.1256634795463
2004-09,2116.233437203215
2004-10,2182.7987516795893
2004-11,2369.2151504388107
2004-12,2561.3720602679045
2005-01,2516.4012414847434
2005-02,2845.435984610536
2005-03,2619.6691808414266
2005-04,2541.5836836378426
2005-05,2727.2490577794642
2005-06,2857.0202342348266
2005-07,3046.9879475198973
2005-08,3217.2186394001765
2005-09,3722.078799728952
2005-10,3526.2610634145085
2005-11,3812.863088241867
2005-12,3852.7652906458056
2006-01,4521.626106509928
2006-02,4563.449575094828
2006-03,4457.1439946680985
2006-04,4812.711397555056
2006-05,4144.27994652746
2006-06,4320.565564687542
2006-07,4448.343284344365
2006-08,4492.290654798072
2006-09,4528.118520502873
2006-10,4882.915148721441
2006-11,5166.073037597981
2006-12,5528.108721567896
2007-01,5623.902469423602
2007-02,5472.703087039392
2007-03,5863.775117058827
2007-04,6182.424052429826
2007-05,6839.495680295774
2007-06,7025.653227204672
2007-07,7127.224992292645
2007-08,6919.964822098558
2007-09,7783.800794313765
2007-10,8716.328034804983
2007-11,8219.222942802257
2007-12,8329.474023131532
2008-01,7812.304579445611
2008-02,8501.248576257109
2008-03,8213.47696653749
2008-04,9023.279530202472
2008-05,9869.247622675975
2008-06,9113.534241820676
2008-07,8330.238765743581
2008-08,7641.4190427335
2008-09,6145.1612750859185
2008-10,4203.751224928113
2008-11,3932.0692081759034
2008-12,4057.9143883886245
