Date,ACWI ex JAPAN
1987-12,100.0
1988-01,100.69043450443529
1988-02,105.34498270410646
1988-03,105.33788598174495
1988-04,106.90453084295055
1988-05,106.92294862539158
1988-06,109.72394420018504
1988-07,109.72950045161231
1988-08,105.38759850473889
1988-09,109.95218544653365
1988-10,115.80685622997532
1988-11,115.12020524732866
1988-12,116.49555488141651
1989-01,123.78585717123337
1989-02,120.6925446882
1989-03,122.82620536019775
1989-04,128.38547204736568
1989-05,128.4483419181364
1989-06,129.42033747086683
1989-07,142.36751661074004
1989-08,143.3980355363297
1989-09,144.72986925777036
1989-10,139.5004148475771
1989-11,143.87917380136773
1989-12,152.05054173684422
1990-01,146.47529594947727
1990-02,146.0678721829446
1990-03,148.19967722646237
1990-04,144.59666461378507
1990-05,156.99604241106337
1990-06,159.13678360311505
1990-07,162.55219075781486
1990-08,147.5129709194137
1990-09,136.13221576148948
1990-10,140.0592331359466
1990-11,145.06396121769538
1990-12,146.58948939365186
1991-01,152.5607730432143
1991-02,164.72370750100907
1991-03,162.7399015131244
1991-04,162.91395500621772
1991-05,168.9064937659251
1991-06,159.40618441527508
1991-07,168.13564632349065
1991-08,171.5378545067234
1991-09,171.77569231720986
1991-10,172.88846001380486
1991-11,167.52442697806922
1991-12,182.957143806759
1992-01,182.48241508750502
1992-02,184.43121256001945
1992-03,180.22732220177906
1992-04,186.83727297360093
1992-05,191.79941781215624
1992-06,188.10974172349157
1992-07,189.46276198423632
1992-08,185.9371168781117
1992-09,185.2561881634339
1992-10,181.98412202845327
1992-11,184.49733777311923
1992-12,187.6056531916084
1993-01,188.65111054061072
1993-02,191.98085741486068
1993-03,198.20427994217766
1993-04,198.48807893672466
1993-05,202.82938276075717
1993-06,202.08754623924906
1993-07,202.94507822755904
1993-08,214.68608527755288
1993-09,213.6846163311554
1993-10,222.75808721476804
1993-11,220.3080962322134
1993-12,233.67090156057495
1994-01,242.64996091241454
1994-02,234.4112290860567
1994-03,223.69287624749558
1994-04,228.52671406192204
1994-05,228.52304870640071
1994-06,222.76870175933226
1994-07,232.89294951482518
1994-08,243.67000316496285
1994-09,238.042269038848
1994-10,243.98093960827896
1994-11,233.9773361906224
1994-12,234.12269309485453
1995-01,232.5282389623929
1995-02,239.6488581754365
1995-03,247.2051705581014
1995-04,255.17936001573858
1995-05,264.2089583321583
1995-06,268.092237172155
1995-07,278.67501351823927
1995-08,274.07065958809596
1995-09,283.09684273486386
1995-10,281.46971482139173
1995-11,288.2357451789637
1995-12,295.2460480272608
1996-01,304.729511904147
1996-02,307.7870796444292
1996-03,310.9156385047907
1996-04,315.7881215195712
1996-05,320.7474169024443
1996-06,322.5093666903088
1996-07,311.086823822849
1996-08,319.55519057237655
1996-09,331.5276934090584
1996-10,338.4874851700206
1996-11,359.1225324581843
1996-12,358.0074903423342
1997-01,372.7670000580318
1997-02,377.2331537730614
1997-03,370.50496869797047
1997-04,382.1403613535073
1997-05,401.6758112426306
1997-06,420.45632285368754
1997-07,445.55196294653643
1997-08,415.5758456723807
1997-09,442.6083140354845
1997-10,418.60489170973415
1997-11,429.8823877028051
1997-12,439.69985424405326
1998-01,445.59736302587004
1998-02,479.9370641074778
1998-03,507.19392500034
1998-04,512.7065254694544
1998-05,505.0185413216599
1998-06,514.3243169707151
1998-07,515.2133735084856
1998-08,441.6395350387554
1998-09,452.6286516142837
1998-10,490.46726193815647
1998-11,521.028973949676
1998-12,545.643014862869
1999-01,557.5463094804585
1999-02,543.3383454936694
1999-03,562.4490100975709
1999-04,586.8359447270692
1999-05,567.5125260750875
1999-06,592.9100373569604
1999-07,583.2692277642952
1999-08,583.0019174965039
1999-09,570.9234623478104
1999-10,600.4975152207754
1999-11,618.0872095573628
1999-12,671.5318449763439
2000-01,634.2614933046118
2000-02,639.1618996003348
2000-03,679.6357015274361
2000-04,652.1536392573465
2000-05,637.5185282512476
2000-06,656.1635120128576
2000-07,644.6426714454046
2000-08,661.9798730626461
2000-09,625.1720114300603
2000-10,615.9650296386476
2000-11,576.2786433606293
2000-12,591.3879404012515
2001-01,608.8159903206065
2001-02,555.0231132307696
2001-03,515.2384413861181
2001-04,553.0619057632636
2001-05,546.3313012383801
2001-06,531.4643350116818
2001-07,526.6771926248655
2001-08,501.28823002028855
2001-09,455.57027262471667
2001-10,466.41747851550053
2001-11,497.62496656297066
2001-12,505.92033048316006
2002-01,494.3003238643033
2002-02,488.6813233853289
2002-03,510.1937071155217
2002-04,490.0107638755476
2002-05,487.81035367800104
2002-06,457.616683654742
2002-07,418.59312518734515
2002-08,420.2282426978298
2002-09,371.41750265469767
2002-10,404.4325543856734
2002-11,427.07589474656857
2002-12,405.8710823789531
2003-01,394.4489677932095
2003-02,386.6964907154953
2003-03,386.70479106533
2003-04,424.60461828010057
2003-05,449.64732425386563
2003-06,456.30874894512914
2003-07,465.72219557030377
2003-08,473.4635294770282
2003-09,474.090135266403
2003-10,503.55803369243256
2003-11,513.5721043198737
2003-12,545.8502384422637
2004-01,555.154052351622
2004-02,566.5225710855218
2004-03,556.1410203347863
2004-04,545.2368251814185
2004-05,552.2948483079148
2004-06,561.5331493598551
2004-07,545.3825897992944
