Date,MSCI AC ASIA ex JAPAN
1996-02,490.2746381728992
1996-03,493.86796063293986
1996-04,511.65842805408766
1996-05,505.9115361874943
1996-06,498.3819076072202
1996-07,461.57777709889456
1996-08,475.5204675573007
1996-09,483.68962625383705
1996-10,474.51941493325705
1996-11,496.93365394885126
1996-12,495.2115704446871
1997-01,505.44822818256006
1997-02,509.7689344118723
1997-03,480.9695431364097
1997-04,473.78076589656564
1997-05,495.2145310748984
1997-06,513.3394831042808
1997-07,517.6330921135094
1997-08,425.83262142997035
1997-09,423.92714674708276
1997-10,329.6769945926113
1997-11,307.0712518186997
1997-12,295.6117115826565
1998-01,270.05362729681934
1998-02,327.315175462176
1998-03,322.49660933180394
1998-04,294.23098268797503
1998-05,249.32850456374285
1998-06,221.34618130747208
1998-07,215.72953676900295
1998-08,184.66588892912387
1998-09,202.9759640264097
1998-10,247.10034387055666
1998-11,267.04610564191375
1998-12,272.59809493610504
1999-01,268.2574477271795
1999-02,263.0344378938528
1999-03,294.56116166960794
1999-04,348.3961943294089
1999-05,340.8643206413376
1999-06,394.14577342444807
1999-07,385.4627711194706
1999-08,394.99463725856674
1999-09,367.3541401832412
1999-10,379.1773249627569
1999-11,415.22448125127653
1999-12,448.87481254107064
2000-01,446.6972735739804
2000-02,437.3463807262603
2000-03,447.6440408523595
2000-04,406.5811853510432
2000-05,371.22321522252616
2000-06,390.83863921872387
2000-07,374.128329836637
2000-08,371.36037301534964
2000-09,328.80147856930176
2000-10,302.9397654994453
2000-11,291.22136193464934
2000-12,290.76313825433454
2001-01,328.2045237708277
2001-02,312.6993337304936
2001-03,277.2937352720537
2001-04,277.7087043590711
2001-05,277.2822007491051
2001-06,270.63707939317914
2001-07,260.39486831551847
2001-08,256.32490891122427
2001-09,216.04037855362444
2001-10,227.69182084868496
2001-11,258.13922914171116
2001-12,279.60235752125413
2002-01,290.78008504096175
2002-02,292.938397976287
2002-03,312.6015581299892
2002-04,315.7668082047215
2002-05,308.6352677641698
2002-06,293.30371696191065
2002-07,282.17398495376545
2002-08,277.1787082146455
2002-09,246.6608091367067
2002-10,259.1829858743285
2002-11,272.9533773493319
2002-12,256.31740192266545
2003-01,258.4186886715718
2003-02,247.9889793178333
2003-03,236.37223523728247
2003-04,243.83114321848703
2003-05,264.8709022823898
2003-06,281.5583508532865
2003-07,305.55338684101656
2003-08,329.01209193141796
2003-09,331.50455257663225
2003-10,359.9049798868908
2003-11,355.47280004737695
2003-12,376.7346937657825
2004-01,399.69350792481015
2004-02,413.2179181004879
2004-03,406.3281885469134
2004-04,384.0114221740757
2004-05,371.1430504621231
2004-06,367.8947306729924
2004-07,360.5465486693367
2004-08,378.0922442747023
2004-09,392.6398916648098
2004-10,395.20497060517744
2004-11,430.2837178181918
2004-12,443.50409645412145
2005-01,446.66769143884653
2005-02,472.02959444401586
2005-03,450.4066485547003
2005-04,444.485680363399
2005-05,457.0898562419302
2005-06,470.1134094383351
2005-07,500.7096462924087
2005-08,486.3414064118621
2005-09,512.8665613517107
2005-10,479.20339666833746
2005-11,514.5290217893713
2005-12,546.2621234928218
2006-01,586.1750648603321
2006-02,586.5706851648046
2006-03,597.5184187538111
2006-04,637.8956063140384
2006-05,590.326742754177
2006-06,588.2524746973872
2006-07,589.3659047662876
2006-08,610.2185929629437
2006-09,631.516300784061
2006-10,650.6751386940426
2006-11,700.6706452043878
2006-12,730.560488788247
2007-01,722.6149511498943
2007-02,721.4575327231349
2007-03,738.194210281585
2007-04,771.183135255909
2007-05,815.7562811204505
2007-06,856.9915397505393
2007-07,919.32388299418
2007-08,907.4114466086553
2007-09,1018.1221597494422
2007-10,1126.8123457569443
2007-11,1030.5956527640176
2007-12,1026.597209820771
2008-01,884.7555310545927
2008-02,936.5665131933151
2008-03,879.3255582136045
2008-04,950.9309870830156
2008-05,919.3075809925546
2008-06,810.0352498387452
2008-07,803.5677335045114
2008-08,748.4561821794579
2008-09,624.6068858540247
2008-10,474.3600633611618
2008-11,446.27623870030203
2008-12,490.44254762976504
2009-01,463.9642863900642
2009-02,433.7751294000111
2009-03,493.6765689898459
2009-04,576.4443453678692
2009-05,669.3432912586846
2009-06,666.3451728789347
2009-07,753.6135333227305
2009-08,729.2670963470567
2009-09,793.8391694251189
2009-10,789.6562646078264
2009-11,810.9184115863771
2009-12,846.1830880593104
2010-01,795.2543665194113
2010-02,799.4617958541644
2010-03,857.394198457604
2010-04,875.1716763211502
2010-05,802.004930801387
2010-06,815.7445998619008
2010-07,863.6973700906012
2010-08,854.1556532107768
2010-09,950.9533404043705
2010-10,975.9550347454202
2010-11,961.6459406324507
2010-12,1014.8125369758061
2011-01,1005.0523356035922
2011-02,966.3205077842233
2011-03,1027.1428951400342
2011-04,1066.0782956119888
2011-05,1051.969570444502
2011-06,1028.038783143196
2011-07,1040.7283750285483
2011-08,938.1796987642081
2011-09,814.689132473775
2011-10,912.5240502849673
2011-11,836.6432856374851
2011-12,841.5588022800852
2012-01,932.2570044469542
2012-02,988.3838453773781
2012-03,957.3907409088317
2012-04,957.8305886050678
2012-05,866.3675721456024
2012-06,892.8920348456697
2012-07,916.9401872106068
2012-08,912.6140414948786
2012-09,976.9664114502147
2012-10,974.3405444274923
2012-11,1001.2749068870118
2012-12,1032.6293003926571
2013-01,1049.9681077732891
2013-02,1049.0018811469286
2013-03,1028.2980676727275
2013-04,1046.460918873099
2013-05,1033.351391400341
2013-06,974.7170484721078
2013-07,993.1766000478596
2013-08,978.5339190182674
2013-09,1031.8174829095306
2013-10,1076.9985151025644
2013-11,1078.848500007929
2013-12,1067.0629928731214
2014-01,1013.9054057343809
2014-02,1049.1906387790877
2014-03,1059.815825398223
2014-04,1067.5672646263852
2014-05,1110.8760301487378
2014-06,1137.19279093443
2014-07,1180.9005780478708
2014-08,1189.429048721934
2014-09,1119.7094989719308
2014-10,1141.59834845822
2014-11,1145.1475991081018
2014-12,1121.6170471477542
2015-01,1149.7707865066957
2015-02,1171.6421978369292
2015-03,1176.6205551134055
2015-04,1261.8296213136032
2015-05,1228.969349773667
2015-06,1184.2804254329203
2015-07,1109.7411624237093
2015-08,1001.093900164753
2015-09,983.6764181373853
2015-10,1061.9894017761776
2015-11,1026.1217706026218
2015-12,1021.7877044098491
2016-01,943.759916982391
2016-02,935.0809290564331
2016-03,1040.2089841707532
2016-04,1030.9566084264432
2016-05,1017.3267859303605
2016-06,1045.5060211348073
2016-07,1096.6495303468653
2016-08,1133.9647624344357
2016-09,1152.6990563466552
2016-10,1135.2562783428145
2016-11,1102.5657781237715
2016-12,1080.6597295680917
2017-01,1147.684273822658
2017-02,1186.5904621736902
2017-03,1225.5276083133456
2017-04,1252.249966
2017-05,1306.83293
2017-06,1328.422138
2017-07,1400.418334
2017-08,1419.575104
2017-09,1418.078862
2017-10,1484.997947
2017-11,1494.439567
2017-12,1535.395413
2018-01,1651.614527
2018-02,1569.551484
2018-03,1546.061253
2018-04,1557.131466419993
2018-05,1536.7846599358481
2018-06,1463.985215015517
2018-07,1477.4472752584923
2018-08,1462.7292783153662
2018-09,1442.7638383166234
2018-10,1286.2732830821549
2018-11,1354.6113870729814
2018-12,1318.6314287843882
2019-01,1415.064368338365
2019-02,1444.6564139140878
2019-03,1469.5975724682241
2019-04,1497.642648550906
2019-05,1370.2155667649836
2019-06,1461.3760175907173
2019-07,1436.568628614883
2019-08,1374.036677285874
2019-09,1397.2668650471692
2019-10,1460.8739290289568
2019-11,1464.4872710052264
2019-12,1562.7796989698247
2020-01,1493.2808053095787
2020-02,1450.454200206824
2020-03,1275.9239221294924
2020-04,1390.3356750022012
2020-05,1374.3771854834476
2020-06,1490.160806561164
2020-07,1617.9816022283549
2020-08,1675.8148478124667
2020-09,1650.9857294039116
2020-10,1697.2392002140225
2020-11,1833.6914675316652
2020-12,1959.1254726834584
2021-01,2039.6056044604697
2021-02,2065.1240166612406
2021-03,2013.04861930552
2021-04,2063.1234777283435
2021-05,2088.5438230290083
2021-06,2086.733557376119
2021-07,1931.359367501152
2021-08,1976.1302681935022
2021-09,1894.131998007142
2021-10,1919.9504622758966
2021-11,1845.750074
2021-12,1871.7110916874835
2022-01,1813.7078711786314
2022-02,1771.4023590714446
2022-03,1722.8774304286208
2022-04,1633.994553880399
2022-05,1641.829829095991
2022-06,1569.5505108604652
2022-07,1551.8824009628095
2022-08,1552.2307100948453
2022-09,1354.6838357494257
2022-10,1272.1715556895988
2022-11,1511.5531135667009
2022-12,1509.4501811874609
2023-01,1633.5152632134718
2023-02,1522.246592184384
2023-03,1575.6930356514963
2023-04,1543.0815180348786
2023-05,1515.1130315980986
2023-06,1557.654838802358
