Date,MSCI AC ASIA ex JAPAN
1987-12,100.0
1988-01,105.2032
1988-02,106.229
1988-03,112.1787
1988-04,117.2616
1988-05,116.596
1988-06,126.8924
1988-07,129.4036
1988-08,118.6666
1988-09,119.5237
1988-10,125.7946
1988-11,127.3862
1988-12,129.9962
1989-01,145.5684
1989-02,144.6688
1989-03,147.6958
1989-04,157.4761
1989-05,150.5366
1989-06,139.7564
1989-07,152.2344
1989-08,149.8325
1989-09,159.8363
1989-10,157.2968
1989-11,163.9189
1989-12,171.7723
1990-01,171.6303
1990-02,178.4823
1990-03,179.5517
1990-04,172.2209
1990-05,189.201
1990-06,193.6691
1990-07,205.4411
1990-08,176.1343
1990-09,149.3636
1990-10,158.86
1990-11,153.1154
1990-12,160.5327
1991-01,169.2607
1991-02,190.1581
1991-03,199.122
1991-04,197.2005
1991-05,199.978
1991-06,194.4934
1991-07,201.1075
1991-08,196.6201
1991-09,191.1314
1991-10,194.1004
1991-11,200.3163
1991-12,210.2629
1992-01,225.0213
1992-02,233.0187
1992-03,231.3334
1992-04,239.9691
1992-05,256.3917
1992-06,261.2075
1992-07,254.3513
1992-08,246.13
1992-09,251.243
1992-10,273.8098
1992-11,263.9327
1992-12,256.1176
1993-01,264.2345
1993-02,279.9305
1993-03,280.1282
1993-04,305.0372
1993-05,322.903
1993-06,314.4746
1993-07,316.5319
1993-08,343.0254
1993-09,356.2684
1993-10,421.889
1993-11,419.0498
1993-12,520.9208
1994-01,485.3384
1994-02,464.4588
1994-03,414.553
1994-04,430.4309
1994-05,446.6167
1994-06,431.5993
1994-07,454.0116
1994-08,490.2232
1994-09,480.7291
1994-10,488.245
1994-11,445.1312
1994-12,432.6755
1995-01,388.2176425140713
1995-02,420.64051426178287
1995-03,420.3728590405533
1995-04,414.55303659358816
1995-05,461.18259958349955
1995-06,453.97994658749013
1995-07,462.50379960499936
1995-08,441.17349239332776
1995-09,446.4345441078754
1995-10,438.7608529175188
1995-11,428.8022199502339
1995-12,450.0046540842322
1996-01,484.97958238299583
