Date,MSCI EUROPE
1969-12,100.0
1970-01,99.23
1970-02,96.248
1970-03,97.56
1970-04,90.49
1970-05,85.756
1970-06,86.867
1970-07,91.099
1970-08,91.882
1970-09,92.984
1970-10,92.609
1970-11,88.47
1970-12,90.645
1971-01,94.606
1971-02,94.991
1971-03,98.215
1971-04,102.381
1971-05,105.314
1971-06,106.294
1971-07,111.207
1971-08,111.187
1971-09,109.093
1971-10,105.571
1971-11,108.566
1971-12,116.064
1972-01,123.074
1972-02,129.869
1972-03,133.594
1972-04,136.245
1972-05,138.664
1972-06,131.783
1972-07,138.789
1972-08,139.771
1972-09,131.657
1972-10,131.52
1972-11,135.167
1972-12,134.192
1973-01,134.904
1973-02,144.407
1973-03,148.572
1973-04,149.476
1973-05,151.756
1973-06,157.715
1973-07,149.433
1973-08,143.236
1973-09,146.412
1973-10,150.386
1973-11,127.755
1973-12,123.824
1974-01,123.764
1974-02,127.707
1974-03,122.649
1974-04,128.073
1974-05,118.276
1974-06,112.317
1974-07,111.241
1974-08,99.922
1974-09,90.36
1974-10,94.494
1974-11,94.773
1974-12,95.622
1975-01,118.242
1975-02,133.968
1975-03,129.945
1975-04,139.446
1975-05,137.482
1975-06,128.86
1975-07,124.145
1975-08,126.968
1975-09,121.018
1975-10,130.93
1975-11,134.532
1975-12,137.602
1976-01,143.77
1976-02,141.131
1976-03,137.53
1976-04,136.03
1976-05,129.914
1976-06,129.798
1976-07,127.612
1976-08,125.107
1976-09,121.937
1976-10,113.137
1976-11,118.352
1976-12,128.831
1977-01,129.904
1977-02,131.276
1977-03,132.456
1977-04,137.554
1977-05,136.82
1977-06,138.746
1977-07,136.858
1977-08,143.218
1977-09,149.593
1977-10,153.603
1977-11,151.271
1977-12,159.646
1978-01,159.662
1978-02,159.526
1978-03,165.275
1978-04,163.088
1978-05,167.388
1978-06,168.871
1978-07,182.045
1978-08,188.691
1978-09,196.744
1978-10,206.346
1978-11,188.596
1978-12,198.441
1979-01,199.666
1979-02,203.579
1979-03,216.977
1979-04,220.237
1979-05,209.482
1979-06,215.947
1979-07,219.536
1979-08,226.515
1979-09,238.339
1979-10,217.278
1979-11,226.626
1979-12,227.555
1980-01,239.175
1980-02,242.443
1980-03,208.151
1980-04,229.617
1980-05,236.078
1980-06,253.327
1980-07,257.449
1980-08,260.035
1980-09,264.663
1980-10,274.331
1980-11,271.238
1980-12,260.612
1981-01,250.869
1981-02,248.846
1981-03,254.0
1981-04,251.713
1981-05,231.854
1981-06,226.678
1981-07,220.589
1981-08,227.132
1981-09,206.102
1981-10,214.564
1981-11,241.106
1981-12,233.382
1982-01,237.139
1982-02,228.166
1982-03,227.694
1982-04,234.955
1982-05,234.983
1982-06,216.278
1982-07,221.009
1982-08,222.522
1982-09,227.773
1982-10,230.764
1982-11,234.654
1982-12,246.673
1983-01,247.317
1983-02,257.126
1983-03,270.293
1983-04,292.583
1983-05,289.806
1983-06,295.21
1983-07,291.384
1983-08,285.306
1983-09,290.509
1983-10,290.561
1983-11,299.372
1983-12,301.868
1984-01,314.262
1984-02,324.047
1984-03,332.003
1984-04,327.66
1984-05,303.905
1984-06,303.49
1984-07,283.668
1984-08,307.811
1984-09,303.329
1984-10,304.153
1984-11,303.404
1984-12,305.68
1985-01,319.887
1985-02,306.674
1985-03,342.213
1985-04,352.186
1985-05,370.689
1985-06,375.201
1985-07,410.709
1985-08,431.912
1985-09,439.17
1985-10,488.089
1985-11,526.445
1985-12,549.576387
1986-01,560.251614
1986-02,627.025771
1986-03,678.554184
1986-04,741.856703
1986-05,676.511616
1986-06,706.224872
1986-07,700.429037
1986-08,778.944756
1986-09,729.859088
1986-10,734.565216
1986-11,774.172459
1986-12,793.923499
1987-01,829.268115
1987-02,859.169227
1987-03,901.918238
1987-04,937.531872
1987-05,932.620783
1987-06,959.51035
1987-07,992.074963
1987-08,1000.64863
1987-09,1007.487671
1987-10,816.270262
1987-11,780.670149
1987-12,826.441788
1988-01,792.866844
1988-02,839.856865
1988-03,863.329187
1988-04,879.744033
1988-05,863.66436
1988-06,855.280176
1988-07,857.521013
1988-08,818.923544
1988-09,863.767238
1988-10,944.156622
1988-11,956.155865
1988-12,961.582966
1989-01,996.800758
1989-02,985.8363
1989-03,993.338273
1989-04,1021.275341
1989-05,969.341028
1989-06,1009.662656
1989-07,1128.896318
1989-08,1115.158821
1989-09,1134.73185
1989-10,1060.74527
1989-11,1120.032105
1989-12,1241.012507
1990-01,1238.134248
1990-02,1208.923944
1990-03,1226.459477
1990-04,1194.363292
1990-05,1292.097517
1990-06,1337.986587
1990-07,1394.914161
1990-08,1257.083835
1990-09,1109.568172
1990-10,1203.647279
1990-11,1216.244755
1990-12,1199.20074
1991-01,1240.116225
1991-02,1349.164333
1991-03,1259.209589
1991-04,1246.46688
1991-05,1283.761437
1991-06,1176.45016
1991-07,1258.455063
1991-08,1281.896769
1991-09,1320.846494
1991-10,1293.591293
1991-11,1263.70979
1991-12,1363.0154808
1992-01,1363.15263
