Date,MSCI EUROPE
1992-02,1368.9962801
1992-03,1321.5858392999999
1992-04,1395.0357285999999
1992-05,1474.9948789999999
1992-06,1448.0745706
1992-07,1396.9242052
1992-08,1392.9824624999999
1992-09,1370.5448145
1992-10,1275.4678377999999
1992-11,1275.3711802
1992-12,1305.147966
1993-01,1307.858176
1993-02,1323.317194
1993-03,1391.8910600000002
1993-04,1423.102948
1993-05,1438.9098279999998
1993-06,1418.357883
1993-07,1423.6760319999999
1993-08,1549.0698200000002
1993-09,1544.736941
1993-10,1609.5592706869204
1993-11,1575.2772354349415
1993-12,1694.0054231475842
1994-01,1780.7380043431715
1994-02,1718.1564469600726
1994-03,1670.0333396680096
1994-04,1739.7004946928841
1994-05,1666.2670019325321
1994-06,1649.313402270616
1994-07,1736.2956666770235
1994-08,1791.914556557515
1994-09,1721.4220868681402
1994-10,1796.9949963142676
1994-11,1728.7190491309664
1994-12,1739.1104172005746
1995-01,1726.0791449378773
1995-02,1765.8029493597073
1995-03,1848.4224090552789
1995-04,1908.215692289635
1995-05,1947.9672666823365
1995-06,1967.0319527435993
1995-07,2070.2747720644193
1995-08,1990.923760646932
1995-09,2051.7770606637287
1995-10,2042.8075154137828
1995-11,2058.04415287771
1995-12,2123.9813940071303
1996-01,2138.5583994898598
1996-02,2178.25292217639
1996-03,2205.056862355465
1996-04,2221.755278721118
1996-05,2239.669405696381
1996-06,2265.0910628245642
1996-07,2237.503962783445
1996-08,2304.690813368835
1996-09,2353.9589746952793
1996-10,2409.3939345479225
1996-11,2532.2652239075387
1996-12,2582.0974697641955
1997-01,2589.84410935944
1997-02,2624.808871596252
1997-03,2710.368321675923
1997-04,2697.660985132502
1997-05,2813.652733126639
1997-06,2955.202123910868
1997-07,3094.4261590016627
1997-08,2918.3747862096907
1997-09,3202.158803325517
1997-10,3045.502677472083
1997-11,3093.084807018579
1997-12,3206.912510561852
1998-01,3341.1959192572735
1998-02,3603.2637889700895
1998-03,3860.7691394288863
1998-04,3936.5867900384915
1998-05,4017.2876631806043
1998-06,4062.2287212544443
1998-07,4143.420764193462
1998-08,3623.204468817604
1998-09,3479.332361472334
1998-10,3758.8541734174687
1998-11,3959.82530658929
1998-12,4133.953969805692
1999-01,4108.299431839597
1999-02,4005.02139893699
1999-03,4049.7405430614936
1999-04,4171.40690211267
1999-05,3972.0587914356483
1999-06,4040.0951743973487
1999-07,4078.654106218425
1999-08,4121.114957002853
1999-09,4090.386616313985
1999-10,4241.929100125696
1999-11,4357.323466079741
1999-12,4804.89670305066
2000-01,4463.6177843096175
2000-02,4697.368337504607
2000-03,4811.8336505992775
2000-04,4600.419732396493
2000-05,4563.83978156964
2000-06,4662.919411454833
2000-07,4589.456543442519
2000-08,4536.46852251822
2000-09,4325.078084232837
2000-10,4293.255423579981
2000-11,4128.019053762705
2000-12,4413.64281761777
2001-01,4415.919354871479
2001-02,4028.4973436072005
2001-03,3729.2869051848425
2001-04,3997.64719085559
2001-05,3807.2141702029303
2001-06,3665.04640426082
2001-07,3674.5790845138517
2001-08,3579.836341064164
2001-09,3222.643498111998
2001-10,3324.8476333478425
2001-11,3458.372885324179
2001-12,3546.9823349221665
2002-01,3361.992761957222
2002-02,3361.437091714031
2002-03,3544.6795608576413
2002-04,3520.561607678574
2002-05,3514.0631397865186
2002-06,3393.5158502995764
2002-07,3016.2769210909178
2002-08,3016.4676860718655
2002-09,2619.712543489385
2002-10,2873.0558035253953
2002-11,3014.1937788055843
2002-12,2905.186529964825
2003-01,2768.0420902392866
2003-02,2677.7795017086073
2003-03,2639.2971975819173
2003-04,2999.522963146847
2003-05,3197.6394344135883
2003-06,3230.5059694637625
2003-07,3296.792437305973
2003-08,3291.039078687311
2003-09,3358.047113891928
2003-10,3582.9322010625046
2003-11,3735.513296830672
2003-12,4042.3246006676136
2004-01,4089.9931851394044
2004-02,4210.341678109798
2004-03,4080.448336718803
2004-04,4051.5493907720065
2004-05,4122.7262794247
2004-06,4179.826841734729
2004-07,4065.44373275038
2004-08,4068.5084263729727
2004-09,4231.780585753239
2004-10,4384.74508295595
2004-11,4707.427433165057
2004-12,4906.915926059092
2005-01,4816.483744421546
2005-02,5058.079485228382
2005-03,4932.25789762299
2005-04,4815.036516547346
2005-05,4838.959298589885
2005-06,4907.610298614896
2005-07,5086.794755861848
2005-08,5163.780933359781
2005-09,5289.228009022036
2005-10,5123.14031320775
2005-11,5210.8447990327795
2005-12,5394.289958277125
2006-01,5747.294054739197
2006-02,5752.413914514102
2006-03,5978.6702663100805
2006-04,6290.604211049864
2006-05,6127.939928737395
2006-06,6150.842762336129
2006-07,6245.6345113612515
2006-08,6444.158101113637
2006-09,6499.6598962791095
2006-10,6779.071315343825
2006-11,7021.935760344206
2006-12,7247.577481846411
2007-01,7291.189958341742
2007-02,7265.32579861638
2007-03,7531.84385633629
2007-04,8028.354536468053
2007-05,8183.9372519803255
2007-06,8185.240938094623
2007-07,8012.113601430088
2007-08,7924.778880196099
2007-09,8326.31291417867
2007-10,8715.50690456541
2007-11,8438.468492308273
2007-12,8290.814482471491
2008-01,7426.812112006004
2008-02,7547.649591551071
2008-03,7581.729078313328
2008-04,7938.5491769510845
2008-05,7994.115538316327
2008-06,7300.054922334848
2008-07,7091.117312937212
2008-08,6812.904567956903
2008-09,5786.440335804996
2008-10,4557.43161523639
2008-11,4247.1710562469
2008-12,4470.451234696853
2009-01,3977.1156327229246
2009-02,3574.8430605712465
2009-03,3824.317248450364
2009-04,4366.878966389326
2009-05,4908.651090969542
2009-06,4814.392278472867
2009-07,5320.9225804422595
2009-08,5657.512527161781
2009-09,5920.670021475877
2009-10,5852.310201662515
2009-11,6024.305471671919
2009-12,6116.085674323519
2010-01,5755.279805652653
2010-02,5641.322345498641
2010-03,6011.035353303149
2010-04,5855.895489709044
2010-05,5155.623148418491
2010-06,5118.959100349892
2010-07,5715.766326661199
2010-08,5506.36153829661
2010-09,6112.049766484536
2010-10,6377.307811270739
2010-11,5895.420679761652
2010-12,6390.612365291823
2011-01,6643.795250294305
2011-02,6863.975063215809
2011-03,6809.866219053037
2011-04,7365.090991175773
2011-05,7138.317088581821
2011-06,7003.758820817851
2011-07,6768.076627879688
2011-08,6090.823254795112
2011-09,5423.759347286131
2011-10,6080.598462333917
2011-11,5808.448159107317
2011-12,5719.401022658854
2012-01,5989.070552491457
2012-02,6370.805423609667
2012-03,6337.555975712852
2012-04,6203.657690438781
2012-05,5455.374464363029
2012-06,5890.82447600332
2012-07,5958.2321003904735
2012-08,6221.640291114677
2012-09,6407.05727442722
2012-10,6500.9292995272845
2012-11,6670.615926808234
2012-12,6859.245289162306
2013-01,7262.016724682921
2013-02,7063.551186478583
2013-03,7053.357620562495
2013-04,7372.483740100083
2013-05,7398.7987734089775
2013-06,7043.759406508638
2013-07,7563.300593964598
2013-08,7467.577327714398
2013-09,8005.653114289004
2013-10,8348.773180579956
2013-11,8449.430702084512
2013-12,8639.704481299908
2014-01,8306.88369051362
2014-02,8916.243263576265
2014-03,8830.926723537767
2014-04,9062.049535709344
2014-05,9160.115516029218
2014-06,9153.673415670626
2014-07,8808.217897196726
2014-08,8846.016672162477
2014-09,8515.19243237972
2014-10,8291.048156808034
2014-11,8512.785130416116
2014-12,8148.742005765963
2015-01,8149.493824922792
2015-02,8661.998851464388
2015-03,8440.338194851647
2015-04,8817.071817773389
2015-05,8764.175904686912
2015-06,8497.742122028178
2015-07,8763.690265582443
2015-08,8140.549629397938
2015-09,7761.705943537192
2015-10,8318.046621077016
2015-11,8166.833998005382
2015-12,7957.8591976165635
2016-01,7434.435200556826
2016-02,7304.7344070943855
2016-03,7768.865312954685
2016-04,7971.684237738543
2016-05,7940.238511530003
2016-06,7590.856252102771
2016-07,7909.546686930879
2016-08,7933.98731768864
2016-09,8004.4020894816995
2016-10,7744.603371843667
2016-11,7577.595678868066
2016-12,7975.729235834951
2017-01,8142.065673046926
2017-02,8240.902509171096
2017-03,8582.397956870233
2017-04,8895.483777
2017-05,9345.565164
2017-06,9246.18051
2017-07,9522.929812
2017-08,9530.008687
2017-09,9845.98294
2017-10,9893.424192
2017-11,9917.079218
2017-12,10068.229352
2018-01,10613.197215
2018-02,9991.35897
2018-03,9881.140836
2018-04,10171.368847129816
2018-05,9858.436316410764
2018-06,9795.633708785324
2018-07,10122.700913870935
2018-08,9841.511709706685
2018-09,9878.242909292898
2018-10,9125.320140078646
2018-11,9042.1212436507
2018-12,8626.0336212692
2019-01,9196.379308576497
2019-02,9506.575393857009
2019-03,9574.721568999863
2019-04,9931.96144496726
2019-05,9409.911560032482
2019-06,10045.285187735119
2019-07,9852.35204699354
2019-08,9606.080349525535
2019-09,9869.180123071787
2019-10,10187.420413083051
2019-11,10341.982326799496
2019-12,10746.983895498714
2020-01,10478.185032188763
2020-02,9507.956474812494
2020-03,8143.470569902813
2020-04,8637.27734288313
2020-05,9039.29191107558
2020-06,9411.069186192824
2020-07,9775.976565326286
2020-08,10179.923652242289
2020-09,9842.334628179398
2020-10,9288.799752302575
2020-11,10870.65158374969
2020-12,11383.799693293042
2021-01,11220.35167140044
2021-02,11496.518465510146
2021-03,11863.259684223072
2021-04,12418.197569942671
2021-05,12953.613568957682
2021-06,12781.380166119114
2021-07,13019.543519375238
2021-08,13217.263653870184
2021-09,12594.8111462696
2021-10,13166.921277954485
2021-11,12490.112550606704
2021-12,13315.49137625414
2022-01,12707.701122615741
2022-02,12350.195452147696
2022-03,12352.150600453302
2022-04,11658.04171708803
2022-05,11770.621543125924
2022-06,10602.169545055083
2022-07,11128.527715358448
2022-08,10436.30744672602
2022-09,9530.718382543679
2022-10,10215.080424576081
2022-11,11376.602104274189
2022-12,11381.357832491476
2023-01,12370.687534900595
2023-02,12295.57855739832
2023-03,12603.324938414904
2023-04,13146.627868797972
2023-05,12400.345098292491
2023-06,12998.12019134687
