Date,EUROPE ex SWITZERLAND
1969-12,100.0
1970-01,99.31678219
1970-02,96.26625708
1970-03,97.6470923
1970-04,90.68023333000001
1970-05,85.81538674000001
1970-06,86.95745992
1970-07,91.23826738
1970-08,91.85855849000001
1970-09,93.21779256
1970-10,92.87800661
1970-11,88.70470163
1970-12,90.84149114
1971-01,94.60437242
1971-02,94.97976129
1971-03,98.10918919999999
1971-04,102.34101161
1971-05,105.626235
1971-06,106.40842926
1971-07,111.46899965
1971-08,111.37720252
1971-09,109.37808201
1971-10,106.1023271
1971-11,108.67857081
1971-12,116.36177958
1972-01,123.2303767
1972-02,130.06273417
1972-03,133.805872
1972-04,136.62704341
1972-05,138.63354304
1972-06,131.93048523000002
1972-07,138.82560756
1972-08,139.60423704000002
1972-09,131.0632915
1972-10,130.9981791
1972-11,135.11758917
1972-12,133.69842228000002
1973-01,134.09929501
1973-02,143.46734536
1973-03,148.05483199
1973-04,149.4249405
1973-05,150.95146164
1973-06,156.77646648
1973-07,148.70984228
1973-08,142.58905722
1973-09,145.48270755000001
1973-10,149.51672665
1973-11,126.97045083
1973-12,123.04717427
1974-01,122.74601238
1974-02,127.05682128000001
1974-03,121.35757833
1974-04,127.09910465
1974-05,117.79773644000001
1974-06,111.29727716000001
1974-07,109.89479548
1974-08,98.86768703
1974-09,89.37130838
1974-10,93.19898881
1974-11,93.37132706
1974-12,94.22521161
1975-01,116.45260598
1975-02,132.54812573
1975-03,128.49955507
1975-04,138.08878526
1975-05,136.09754449
1975-06,126.88278753
1975-07,122.44533148000001
1975-08,126.0118316
1975-09,120.41800729
1975-10,129.58169445000001
1975-11,132.88990315
1975-12,135.64229259
1976-01,141.79760278
1976-02,139.01150788
1976-03,135.05943476000002
1976-04,133.54151622
1976-05,126.79787306
1976-06,126.38725423
1976-07,124.0117688
1976-08,121.29870065
1976-09,117.90349471
1976-10,108.87096178
1976-11,114.36674232
1976-12,124.74040034000001
1977-01,126.05595865000001
1977-02,127.89137885000001
1977-03,129.01829954000002
1977-04,134.3558514
1977-05,134.00554896
1977-06,135.65390372000002
1977-07,133.26737204
1977-08,139.58011872
1977-09,145.4888646
1977-10,149.19450835
1977-11,146.05407176
1977-12,153.82803786
1978-01,152.75130995
1978-02,152.16646634
1978-03,158.59158421
1978-04,157.80350861
1978-05,161.77392765
1978-06,162.65282577
1978-07,175.74154245
1978-08,181.56463911
1978-09,189.7135703
1978-10,199.62879096
1978-11,183.09712095
1978-12,191.65589819000002
1979-01,191.45477026
1979-02,196.11946621
1979-03,210.08276933
1979-04,213.88330495
1979-05,203.23166573
1979-06,209.2723695
1979-07,212.95456404
1979-08,219.84362386
1979-09,230.43739219999998
1979-10,210.21833259000002
1979-11,219.67302218
1979-12,220.35104919999998
1980-01,232.91477638
