Date,EM EUROPE
1987-12,100.0
1988-01,99.41579157250911
1988-02,91.88668334230115
1988-03,98.4836554426717
1988-04,94.75048485935548
1988-05,88.64325503563525
1988-06,83.76806596974865
1988-07,81.16129794201066
1988-08,78.37528687076478
1988-09,77.56034125263217
1988-10,84.6102834015551
1988-11,85.81555146424668
1988-12,81.28926772183986
1989-01,77.34790584209007
1989-02,80.56568926927406
1989-03,79.4140571631881
1989-04,81.75313250142082
1989-05,81.32929803084498
1989-06,82.12670568533778
1989-07,91.22524396002751
1989-08,99.47694151935205
1989-09,144.75591772699684
1989-10,144.1628886280782
1989-11,139.07884266779632
1989-12,156.10722229870845
1990-01,181.6394690689496
1990-02,181.6922724173723
1990-03,172.6339720595514
1990-04,203.43181310356158
1990-05,211.43093524161392
1990-06,252.41210239298778
1990-07,260.2582535705381
1990-08,239.56284791478294
1990-09,220.70650385171948
1990-10,201.04987806042743
1990-11,166.87842588024324
1990-12,167.62034078076127
1991-01,183.54831929172195
1991-02,227.03785855614214
1991-03,190.46645251996102
1991-04,164.92042528716505
1991-05,151.93424576681224
1991-06,141.42318741929026
1991-07,135.4018785212979
1991-08,138.6023497867516
1991-09,123.96586875620858
1991-10,119.19398686940148
1991-11,132.9435606170163
1991-12,141.28779026068545
1992-01,143.90442533085044
1992-02,125.03487975152504
1992-03,124.5732385572341
1992-04,121.57396908813399
1992-05,113.5492651046083
1992-06,130.67802954030313
1992-07,126.98400178345642
1992-08,125.32443371137587
1992-09,115.01026923506191
1992-10,96.99051385140986
1992-11,95.41444651412645
1992-12,95.49134249881877
1993-01,102.53837452374826
1993-02,116.24992133574835
1993-03,112.65441678081173
1993-04,125.06735937810176
1993-05,131.00012481788656
1993-06,138.0624505055909
1993-07,135.03031728052892
1993-08,159.5066750127126
1993-09,168.1555875829557
1993-10,165.67070125132963
1993-11,178.89738264107203
1993-12,183.05376253812344
1994-01,175.3516364622305
1994-02,153.24119668171105
1994-03,136.45728792457874
1994-04,128.5550074647678
1994-05,121.65040613437057
1994-06,127.64836374242923
1994-07,135.5113236995116
1994-08,142.19580273639912
1994-09,145.24719352344033
1994-10,142.11367112460525
1994-11,146.1584057836845
1994-12,142.81211660934372
1995-01,129.4861371583492
1995-02,136.5280652500344
1995-03,157.28472723146828
1995-04,174.73499455733437
1995-05,175.79457082152317
1995-06,176.26861445464564
1995-07,183.57959757526692
1995-08,162.72259695595528
1995-09,162.78709983816623
1995-10,164.470097363923
1995-11,147.51214364870427
1995-12,149.54943767972435
1996-01,167.12678654757767
1996-02,176.6510561464859
1996-03,178.8063441115574
1996-04,173.85204657801418
1996-05,174.1610496483682
