Date,Price
2002-05,334.1416571950263
2002-06,315.7743685626915
2002-07,303.2130377136291
2002-08,295.34203812145745
2002-09,261.574430452846
2002-10,278.14264994085124
2002-11,295.0639724938965
2002-12,268.9995528009058
2003-01,269.0386167537352
2003-02,257.7993149355697
2003-03,245.30302857026325
2003-04,254.85880797354434
2003-05,275.2299472070507
2003-06,291.0208535130206
2003-07,320.14543209322983
2003-08,347.4899010516215
2003-09,345.85129992813563
2003-10,372.5811796520322
2003-11,366.54889039875593
2003-12,382.10733408312024
2004-01,414.40293351006073
2004-02,428.1287816436631
2004-03,417.8650225430773
2004-04,393.59657736995837
2004-05,385.1343347765225
2004-06,379.37533631915323
2004-07,368.4259322518474
2004-08,393.5420489693954
2004-09,403.642017969579
2004-10,403.59115568005654
2004-11,436.65456851676566
2004-12,449.38869996228715
2005-01,452.8362526330365
2005-02,480.1340793177477
2005-03,456.8455977193044
2005-04,452.98439341010436
2005-05,465.8110596121586
2005-06,477.11077531141575
2005-07,512.8431140763939
2005-08,499.85076040154354
2005-09,524.3850455023758
2005-10,491.34799266526585
2005-11,524.9944979053071
2005-12,553.6491887263027
2006-01,597.8827949463442
2006-02,589.3546898183919
2006-03,592.0041789916218
2006-04,629.281366462028
2006-05,592.4270305086131
2006-06,596.6369282617181
2006-07,598.0276018839658
2006-08,617.5211050527066
2006-09,632.6534621606701
2006-10,647.0299822806478
2006-11,694.7883667373145
2006-12,731.8596852104924
2007-01,713.5824635251654
2007-02,714.1943924077352
2007-03,726.2967317093716
2007-04,739.3511222181615
2007-05,767.0604090472084
2007-06,814.9996682396493
2007-07,869.1640759012529
2007-08,874.3293835394845
2007-09,994.1299414832067
2007-10,1102.1468138614362
2007-11,1000.0
2007-12,973.9075074029753
2008-01,835.0895587286492
2008-02,880.9609419810015
2008-03,839.3998917228154
2008-04,930.1330905210784
2008-05,898.9814619796206
2008-06,812.3821455912067
2008-07,809.8339494119128
2008-08,756.280356646739
2008-09,642.7451539210508
2008-10,499.9064766228523
2008-11,470.60452032409967
2008-12,505.9326113785456
2009-01,474.35193623131613
2009-02,451.17582164878564
2009-03,506.86072069417776
2009-04,575.1908464442912
2009-05,649.793572358121
2009-06,654.4207107516349
2009-07,742.9138012882491
2009-08,714.331279009077
2009-09,772.4404252940334
2009-10,775.298313602128
2009-11,788.7983670972338
2009-12,817.837438545965
2010-01,762.9488528216133
2010-02,764.6040096939387
2010-03,812.4151299558804
2010-04,830.3081680355034
2010-05,764.0503257118979
2010-06,769.7192279567546
2010-07,814.9072762237034
2010-08,793.3127372839376
2010-09,867.7953120187839
2010-10,895.2831989555298
2010-11,901.6265908256172
2010-12,946.6504677659678
2011-01,967.6621898844293
2011-02,934.4516677306353
2011-03,982.7041160414897
2011-04,1019.3321368891657
2011-05,1014.6211738634275
2011-06,973.0945310419602
2011-07,979.9698186007183
2011-08,887.9451380247186
2011-09,786.6854086517434
2011-10,879.5669640940373
2011-11,814.7204396784731
2011-12,829.3516234257587
2012-01,919.603797674334
2012-02,975.8573474510414
2012-03,948.0221585556583
2012-04,963.202062052753
2012-05,863.4466315389728
2012-06,889.2938547469424
2012-07,925.7879104338781
2012-08,906.9637547643241
2012-09,972.6362071318099
2012-10,979.1391450846094
2012-11,1005.5283532238603
2012-12,1041.002644643257
2013-01,1047.6435735183354
2013-02,1048.3936256858588
2013-03,1022.1023668880696
2013-04,1037.9639045915844
2013-05,1026.909502128399
2013-06,971.8585597094091
2013-07,1006.8809633524643
2013-08,1016.4765257304995
2013-09,1071.070892273222
2013-10,1107.3708392066128
2013-11,1131.6998762349394
2013-12,1109.4385067075023
2014-01,1047.6407993145042
2014-02,1089.329637129303
2014-03,1083.0257024496277
2014-04,1091.5369505714611
2014-05,1145.8117410791888
2014-06,1167.4553666101526
2014-07,1222.234239253018
2014-08,1222.7435658960344
2014-09,1132.1382617249053
2014-10,1167.3720765952894
2014-11,1175.7350012143463
2014-12,1161.8371310176885
2015-01,1194.7897820189314
2015-02,1216.297583374306
2015-03,1227.3993531630715
2015-04,1338.5266473899705
2015-05,1297.599466473222
2015-06,1261.7867175736003
2015-07,1173.0698452679312
2015-08,1049.8444716351496
2015-09,1031.2670621830916
2015-10,1133.1173389283972
2015-11,1094.9206626632824
2015-12,1084.340027235105
2016-01,982.0278543673764
2016-02,976.5061165955449
2016-03,1093.653632361619
2016-04,1084.017206152463
2016-05,1077.969123884554
2016-06,1112.720602248761
2016-07,1170.135646854964
2016-08,1233.059095540182
2016-09,1272.1213677302221
2016-10,1255.7460758974644
2016-11,1231.304188696476
2016-12,1200.8286703749284
2017-01,1292.5412175612732
2017-02,1328.2113286518208
2017-03,1363.196648977037
2017-04,1404.322532
2017-05,1478.078971
2017-06,1522.09436
2017-07,1625.288048
2017-08,1651.640492
2017-09,1657.115356
2017-10,1748.834041
2017-11,1762.311048
2017-12,1788.048041
2018-01,1951.352324
2018-02,1841.156551
2018-03,1809.8310494793805
2018-04,1819.7761428921956
2018-05,1802.2503863776776
2018-06,1725.5255276244059
2018-07,1728.7541963209028
2018-08,1703.4929186513534
2018-09,1689.8176475011126
2018-10,1482.4163825864632
2018-11,1555.7172113849053
2018-12,1497.9867741526775
2019-01,1644.9498754070933
2019-02,1683.540411668319
2019-03,1702.2568855670254
2019-04,1758.379805586066
2019-05,1552.058704527845
2019-06,1691.766598726684
2019-07,1680.9732991976725
2019-08,1594.887874459406
2019-09,1633.1525324956956
2019-10,1707.341285073122
2019-11,1741.7693747190694
2019-12,1891.5410257098986
2020-01,1816.5858278668113
2020-02,1788.7365621913161
2020-03,1637.549877272056
2020-04,1750.2480288761187
2020-05,1718.1576912658206
2020-06,1893.8818204984827
2020-07,2087.359153262375
2020-08,2196.8353677435134
2020-09,2174.446374618211
2020-10,2264.9909752908256
2020-11,2383.6969627417416
2020-12,2532.423478330614
2021-01,2712.883539816061
2021-02,2719.146639826005
2021-03,2604.0453468781634
2021-04,2649.230411643712
2021-05,2645.8584095890487
2021-06,2648.3899558228723
2021-07,2399.7039823160067
2021-08,2426.671972686429
2021-09,2295.4893643594924
2021-10,2349.0525734140215
2021-11,2236.100313774572
2021-12,2249.9623588965337
2022-01,2204.579812022007
2022-02,2093.4372356261865
2022-03,2033.3531265392398
2022-04,1902.3846891171017
2022-05,1926.0519396165555
