Date,MSCI ACWI ex FRANCE
1998-12,1000.0
1999-01,1019.5119164225168
1999-02,995.4772480091187
1999-03,1042.4268683459468
1999-04,1088.161650021422
1999-05,1050.0150470024703
1999-06,1103.480844352001
1999-07,1097.939274411784
1999-08,1095.089290825905
1999-09,1082.3167724775155
1999-10,1136.2439454381993
1999-11,1171.3009810798185
1999-12,1266.81937741393
2000-01,1198.620972025348
2000-02,1197.4904223294723
2000-03,1280.4386340746473
2000-04,1222.3258612828704
2000-05,1188.154922203866
2000-06,1227.8462868463344
2000-07,1190.3538513812532
2000-08,1231.5070121820006
2000-09,1164.248877399067
2000-10,1141.2299302899414
2000-11,1069.5629537323134
2000-12,1083.5922382944227
2001-01,1112.436642372055
2001-02,1020.618820163052
2001-03,952.0698324844643
2001-04,1020.5764432899981
2001-05,1011.9914357506676
2001-06,980.9798749992561
2001-07,964.8169750987523
2001-08,919.9180696516099
2001-09,837.108834274539
2001-10,853.6877875042384
2001-11,907.5792258335902
2001-12,915.2132850605635
2002-01,891.584726278049
2002-02,884.424896704565
2002-03,924.0622778429095
2002-04,894.1100195472894
2002-05,895.2237322426719
2002-06,839.4151911408308
2002-07,770.7335093666419
2002-08,773.2730196080756
2002-09,689.7459100669417
2002-10,739.1389135099535
2002-11,779.9165712698633
2002-12,742.1459327821523
2003-01,720.601084959689
2003-02,708.8400526896054
2003-03,707.047724258038
2003-04,768.4218083887528
2003-05,812.676687435848
2003-06,828.3716584674308
2003-07,846.8988661823646
2003-08,867.5438472830375
2003-09,873.182656215397
2003-10,925.8936485953886
2003-11,938.7396199729789
2003-12,997.2883935022146
2004-01,1014.7743533140199
2004-02,1033.2091222576314
2004-03,1028.973207628787
2004-04,1004.8772334550711
2004-05,1012.393460514383
2004-06,1032.8818665598042
2004-07,1000.1216205817614
2004-08,1006.9329601763184
2004-09,1027.6448822321559
2004-10,1052.317986365742
2004-11,1109.9091842744429
2004-12,1153.0679469174402
2005-01,1128.6478707716149
2005-02,1167.6014374468496
2005-03,1141.926652248508
2005-04,1118.561908194598
2005-05,1140.0568717691776
2005-06,1152.0222395154126
2005-07,1193.9757022993192
2005-08,1203.8623426280265
2005-09,1240.6815603073333
2005-10,1208.332811512745
2005-11,1253.9346148492666
2005-12,1284.5952794282987
2006-01,1346.4514957969184
2006-02,1345.5847953295126
2006-03,1372.329679891402
2006-04,1418.6821053725346
2006-05,1362.429998411727
2006-06,1361.7004096203966
2006-07,1371.3398118328162
2006-08,1407.189026360546
2006-09,1424.159771327582
2006-10,1478.5435957347647
2006-11,1520.346343790447
2006-12,1553.7641951557962
2007-01,1570.5118044964804
2007-02,1562.4647575440204
2007-03,1593.7121845966533
2007-04,1662.5865513422077
2007-05,1713.9713199483463
2007-06,1709.665922132498
2007-07,1685.5950080654097
2007-08,1682.9183237498069
2007-09,1773.9825119131233
2007-10,1843.6229255540259
2007-11,1760.4372121988984
2007-12,1741.688310683827
2008-01,1602.728178070098
2008-02,1607.0211114735878
2008-03,1581.1368397026754
2008-04,1671.3501703470242
2008-05,1698.5903266966484
2008-06,1561.0784578009884
2008-07,1520.5822457133122
2008-08,1489.4775040555382
2008-09,1305.1989364215615
2008-10,1048.494697743787
2008-11,979.783747743757
2008-12,1013.592500115177
2009-01,930.0990667815837
2009-02,839.5070116801047
2009-03,909.1198955023132
2009-04,1016.6834645431798
2009-05,1117.9771151728721
2009-06,1114.0256829987395
2009-07,1211.6271362429438
2009-08,1253.0966399977058
2009-09,1310.1037375593828
2009-10,1291.6879128439284
2009-11,1345.498414685073
2009-12,1373.563972829787
2010-01,1316.4800832980397
2010-02,1335.9047796769044
2010-03,1422.6631687006918
2010-04,1429.1286681302088
2010-05,1296.8586912727142
2010-06,1256.547155259431
2010-07,1357.053411466186
2010-08,1311.6190419626514
2010-09,1434.9763252729426
2010-10,1486.2477900990878
2010-11,1459.2792760433776
2010-12,1565.7984189563886
2011-01,1587.481654778372
2011-02,1634.0066061757757
2011-03,1633.078187077486
2011-04,1698.250152658721
2011-05,1664.1712706529518
2011-06,1637.0517225805634
2011-07,1615.4123839959311
2011-08,1500.2939348240416
2011-09,1362.101010704494
2011-10,1507.3560218203713
2011-11,1464.6376048136235
2011-12,1463.7534133924112
2012-01,1549.4437039253617
2012-02,1627.0905080549885
2012-03,1639.4759507970978
2012-04,1624.5521344698245
2012-05,1481.345419399709
2012-06,1553.1558877511795
2012-07,1575.6389635789817
2012-08,1608.7738565094833
2012-09,1661.1287082025094
2012-10,1648.6008412613899
2012-11,1668.7870725251312
2012-12,1706.5935124332957
2013-01,1785.1021805333357
2013-02,1787.8951109836294
2013-03,1823.5460905238267
2013-04,1874.8687252422822
2013-05,1869.5833574047617
2013-06,1816.9432434556227
2013-07,1901.7307407712099
2013-08,1863.0435186080588
2013-09,1957.854290121743
2013-10,2036.9774909517623
2013-11,2067.5818050006574
2013-12,2104.0009833597464
