Date,MSCI BRIC WITH BRAZIL ADR
2003-05,1000.0
2003-06,1088.3143959144195
2003-07,1122.7962172033785
2003-08,1241.267438539467
2003-09,1295.6377533999014
2003-10,1386.6054925961027
2003-11,1426.707210359406
2003-12,1617.0601715515356
2004-01,1625.6817815327238
2004-02,1702.4906311638701
2004-03,1703.738531998312
2004-04,1522.8116888529514
2004-05,1468.9725143312428
2004-06,1464.144409529571
2004-07,1465.7720789735424
2004-08,1499.8630116360173
2004-09,1616.212601068423
2004-10,1632.825987720813
2004-11,1741.0273474904877
2004-12,1753.2444970749827
2005-01,1736.5153158665305
2005-02,1852.503757829255
2005-03,1756.9760559502183
2005-04,1733.0677837802366
2005-05,1795.874121156059
2005-06,1893.8638881853744
2005-07,2037.8012086530168
2005-08,2145.810385652143
2005-09,2410.236969995366
2005-10,2222.6951352169376
2005-11,2404.7604620925654
2005-12,2496.738053726426
2006-01,2928.036403875367
2006-02,2997.308488268457
2006-03,3057.482943630269
2006-04,3284.6725478221983
2006-05,2918.4696369599465
2006-06,3004.0072684712604
2006-07,3063.7592708810994
2006-08,3159.702964602245
2006-09,3152.9063229482017
2006-10,3344.989986008625
2006-11,3638.822191426719
2006-12,3911.669011800291
2007-01,3834.8642049330765
2007-02,3696.875600111338
2007-03,3869.233190701855
2007-04,4036.449239055293
2007-05,4228.160823128092
2007-06,4521.265334549678
2007-07,4835.177507706737
2007-08,4855.714307888481
2007-09,5688.055915744596
2007-10,6559.534140642419
2007-11,6140.445765441931
2007-12,6230.285992753105
2008-01,5278.756219976703
2008-02,5660.180823617807
2008-03,5163.659622980356
2008-04,5781.241167163822
2008-05,5945.649455726589
2008-06,5307.417576118697
2008-07,4995.272870085832
2008-08,4563.480293659752
2008-09,3627.9706379085446
2008-10,2554.966295363088
2008-11,2398.5590060760287
2008-12,2544.594453485352
2009-01,2419.859013187373
2009-02,2323.9867442179943
2009-03,2632.37817316876
2009-04,3053.123007016189
2009-05,3787.668072390222
2009-06,3707.450295168808
2009-07,4054.437190055097
2009-08,3934.2200406906436
2009-09,4347.413080802015
2009-10,4496.834562131179
2009-11,4752.568524498215
2009-12,4816.7229435176405
2010-01,4443.91064576322
2010-02,4521.798358411874
2010-03,4856.132648584389
2010-04,4834.367439953643
2010-05,4410.446904165604
2010-06,4405.359570157935
2010-07,4704.699500745672
2010-08,4563.816381125805
2010-09,5055.028917355395
2010-10,5196.467474301812
2010-11,5031.207367958782
2010-12,5286.414392892558
2011-01,5135.083880102988
2011-02,5166.843289320108
2011-03,5460.511774490457
2011-04,5480.059125010431
2011-05,5342.775121204036
2011-06,5273.606092989752
2011-07,5202.484105055062
2011-08,4674.476674609143
2011-09,3904.6261408233727
2011-10,4503.273731218538
2011-11,4161.803133067873
2011-12,4072.97637764388
2012-01,4626.232666924651
2012-02,4903.759359742458
2012-03,4602.646171611936
2012-04,4538.070660380282
2012-05,3959.413844981784
2012-06,4111.970660523779
2012-07,4158.59533389934
2012-08,4111.737305107147
2012-09,4397.55256961612
2012-10,4441.693316021513
2012-11,4476.333899079642
2012-12,4707.122722235247
2013-01,4895.389934186637
2013-02,4658.346259067944
2013-03,4534.295167499593
2013-04,4602.882286540884
2013-05,4469.746062571131
2013-06,4125.983111205064
2013-07,4203.80758844257
2013-08,4167.757481217568
2013-09,4503.647159392653
2013-10,4702.78416905966
2013-11,4700.621086486616
2013-12,4620.051042959047
2014-01,4260.686056744772
2014-02,4351.603958202032
2014-03,4423.572864123437
2014-04,4367.573797456802
2014-05,4601.138465154998
2014-06,4781.803132096124
2014-07,4971.273417648276
2014-08,5079.593001089095
2014-09,4684.236519391124
2014-10,4790.216097559122
2014-11,4748.830783640576
2014-12,4515.888347405761
2015-01,4594.058866544388
2015-02,4816.113181192854
2015-03,4748.649833714593
2015-04,5342.224405633116
2015-05,5135.64344652236
2015-06,4961.383336469156
2015-07,4559.747654569193
2015-08,4075.4177980510585
2015-09,3965.922024527136
2015-10,4228.519575218819
2015-11,4090.033245434926
2015-12,4016.345219093644
2016-01,3609.7919546656058
2016-02,3515.393943985362
2016-03,4008.41541389082
2016-04,4091.6168954076747
2016-05,3991.276854725688
2016-06,4107.913608359595
2016-07,4294.81013324152
2016-08,4518.95574143926
2016-09,4601.990736049598
2016-10,4618.278954500451
2016-11,4489.131473938799
2016-12,4416.35701509752
2017-01,4698.391242159954
2017-02,4838.3475293628035
2017-03,4944.97531690027
2017-04,5034.137746936113
2017-05,5158.955914566662
2017-06,5206.140022613385
2017-07,5651.03269223491
2017-08,5862.03096211123
2017-09,5898.7941813828365
2017-10,6107.350666086499
2017-11,6153.527631323573
2017-12,6339.4339580625765
2018-01,7048.739010986537
2018-02,6674.592743057991
2018-03,6464.064453396457
2018-04,6450.401143333835
2018-05,6389.675652376484
2018-06,6107.187349605451
2018-07,6160.747536525864
2018-08,5937.651031999854
2018-09,5846.274512089221
2018-10,5394.71752335038
2018-11,5727.655704948786
2018-12,5472.6524009843615
2019-01,5975.235956796478
2019-02,6070.833809201514
2019-03,6255.544487354103
2019-04,6369.162197752176
2019-05,5834.273500177685
2019-06,6207.74135598311
2019-07,6124.088768184053
2019-08,5841.683668266084
2019-09,5902.640590916283
2019-10,6177.303914473844
2019-11,6207.880947702134
2019-12,6672.1650669009405
2020-01,6369.478764692484
2020-02,6193.654873664947
2020-03,5397.565453847628
2020-04,5821.544680212177
2020-05,5832.390898222244
2020-06,6293.73631322528
2020-07,6878.103853019254
2020-08,7176.186351330353
2020-09,6988.843975122715
2020-10,7242.621406997568
2020-11,7650.940062714753
2020-12,8032.727825694625
2021-01,8373.157767498798
2021-02,8366.987593120037
2021-03,8067.430384635587
2021-04,8163.586096597845
2021-05,8429.912963903087
2021-06,8480.954899973149
2021-07,7639.27987715494
2021-08,7821.401389805303
2021-09,7556.0371227470105
2021-10,7692.111678078958
2021-11,7276.527458
2021-12,7205.852823866063
2022-01,7052.150978208883
2022-02,6593.946778881257
2022-03,6148.078532373509
2022-04,5904.076452527252
2022-05,5889.504867887592
2022-06,5961.152499844643
2022-07,5730.565490309443
2022-08,5828.552605395289
2022-09,5162.83656735843
2022-10,4682.175272717887
2022-11,5575.727858116499
2022-12,5647.487674350338
2023-01,6057.585893711825
2023-02,5528.127644297673
2023-03,5708.18261641622
2023-04,5578.542100052172
2023-05,5318.594178104773
2023-06,5584.764480753404
