Date,MSCI EM WITH CHINA ALL SHARES
2008-11,1048.7060903523682
2008-12,1122.6254171415399
2009-01,1061.8405201238518
2009-02,1010.4059143057408
2009-03,1155.2116983788314
2009-04,1336.2362713272857
2009-05,1551.5156164153334
2009-06,1552.4210893515694
2009-07,1737.438975409884
2009-08,1692.6324303353138
2009-09,1843.2273049406467
2009-10,1856.1038719023998
2009-11,1938.725209510874
2009-12,2012.5504097911453
2010-01,1891.0156813000488
2010-02,1900.4852535305827
2010-03,2045.8344922495598
2010-04,2057.269225095155
2010-05,1875.028279384935
2010-06,1855.6922354407152
2010-07,2015.5539832953095
2010-08,1978.6989466064513
2010-09,2187.2328735974106
2010-10,2268.66356233901
2010-11,2201.5448864188343
2010-12,2349.9229397744734
2011-01,2289.645620021449
2011-02,2276.1756041723206
2011-03,2401.3483165546963
2011-04,2472.411193736161
2011-05,2404.9022576856705
2011-06,2376.0004898941997
2011-07,2363.9876084267457
2011-08,2162.064358267413
2011-09,1856.8398663091532
2011-10,2091.4692260880456
2011-11,1952.2999733979557
2011-12,1925.269367536727
2012-01,2134.868064927363
2012-02,2262.930766448575
2012-03,2182.5504051740636
2012-04,2168.454398836503
2012-05,1942.1193499275353
2012-06,2005.162722602073
2012-07,2036.5368330644662
2012-08,2023.1859186292031
2012-09,2144.1797710335177
2012-10,2131.4480941152497
2012-11,2148.6278020668874
2012-12,2277.765510494293
2013-01,2319.6841380752912
2013-02,2291.824257644804
2013-03,2241.585101918439
2013-04,2255.2323294531643
2013-05,2219.0966645808403
2013-06,2059.929734565279
2013-07,2082.0035109846353
2013-08,2063.300451499261
2013-09,2192.12685176069
2013-10,2284.7547949327245
2013-11,2263.0996664039053
2013-12,2225.646497766643
2014-01,2084.938834896275
2014-02,2140.7257287965135
2014-03,2193.7671281508688
2014-04,2200.008286244749
2014-05,2270.2772087119333
2014-06,2330.8303987146573
2014-07,2396.082093996485
2014-08,2445.725069633183
2014-09,2292.969833996709
2014-10,2325.015773621214
2014-11,2332.0712050955663
2014-12,2311.880200416491
2015-01,2312.6020396386493
2015-02,2386.6242721850213
2015-03,2420.2099891578805
2015-04,2662.8320101021964
2015-05,2590.97291863241
2015-06,2491.8643158148793
2015-07,2279.0870970408873
2015-08,2048.5708157769704
2015-09,1980.1838625401058
2015-10,2139.265928694203
2015-11,2070.321505756596
2015-12,2041.2905904984896
2016-01,1828.6736761880688
2016-02,1820.650020438654
2016-03,2062.781475347738
2016-04,2061.54519794761
2016-05,1995.6388744665135
2016-06,2061.622263361215
2016-07,2157.5116215758876
2016-08,2216.968365872525
2016-09,2231.6677858441367
2016-10,2239.5665559492304
2016-11,2168.5648905739026
2016-12,2145.7378506890464
2017-01,2254.9597801050327
2017-02,2322.382712825386
2017-03,2369.383111153996
2017-04,2410.227822253355
2017-05,2475.1576543531933
2017-06,2522.755275852375
2017-07,2665.425611803278
2017-08,2734.7364845961974
2017-09,2727.477511902516
2017-10,2823.9062112209576
2017-11,2816.5269673521443
2017-12,2911.5555288851274
2018-01,3156.456862463548
2018-02,2999.3855826580175
2018-03,2942.2071291406346
2018-04,2909.2113828099777
2018-05,2821.659718854373
2018-06,2678.1398080474205
2018-07,2722.211324145916
2018-08,2635.7550855536974
2018-09,2633.373305495079
2018-10,2399.6044566924134
2018-11,2489.311139890879
2018-12,2423.522562
2019-01,2635.1632192447896
2019-02,2693.3394536272526
2019-03,2735.9521846741295
2019-04,2785.1407823844984
2019-05,2576.9401864888864
2019-06,2737.4271182775915
2019-07,2713.3489684458636
2019-08,2587.4310382225067
2019-09,2631.6000837100714
2019-10,2738.25884207654
2019-11,2730.6338928604628
2019-12,2938.2903053329837
2020-01,2819.44887681585
2020-02,2685.9452245494545
2020-03,2306.002354882058
2020-04,2509.9206150767614
2020-05,2519.3610941953857
2020-06,2716.4403946207385
2020-07,2988.9604241344705
2020-08,3067.2903214915063
2020-09,3001.349036217032
2020-10,3071.3745200558915
2020-11,3340.148378291095
2020-12,3584.78340373445
2021-01,3702.148454536347
2021-02,3719.5772191345727
2021-03,3633.3789361241925
2021-04,3733.96889251183
2021-05,3847.9968951273436
2021-06,3844.8697973989624
2021-07,3592.46289636783
2021-08,3675.2917997761388
2021-09,3562.4195016355743
2021-10,3605.6377487183045
2021-11,3484.693614
2021-12,3544.6482090090612
2022-01,3432.616533524262
2022-02,3365.281060806916
2022-03,3249.2923286036657
2022-04,3047.358674069964
2022-05,3073.653629206844
2022-06,2959.8947179422717
2022-07,2920.6040762013763
2022-08,2908.5447878982864
2022-09,2583.5728212535782
2022-10,2474.246919458623
2022-11,2824.3324320068446
2022-12,2804.484250745097
2023-01,3036.876987116161
2023-02,2853.776494903333
2023-03,2924.3643729172836
2023-04,2886.891286220121
2023-05,2809.6213069572996
2023-06,2894.960750781161
