Date,MSCI EU
1987-12,100.0
1988-01,95.67720637287367
1988-02,101.3573472171793
1988-03,104.28398055073427
1988-04,106.38548797513731
1988-05,104.324950878903
1988-06,103.28539058890728
1988-07,103.61486412018947
1988-08,98.85111758177567
1988-09,104.50668388185662
1988-10,114.14518792046671
1988-11,115.23900867862444
1988-12,115.77350402643856
1989-01,120.5477514117981
1989-02,118.4163982226927
1989-03,119.09462327530244
1989-04,122.4676611502085
1989-05,116.16651881841427
1989-06,119.94108555421121
1989-07,134.2679739447039
1989-08,132.5341029551998
1989-09,135.60124126393066
1989-10,126.6928425445769
1989-11,134.37583108748314
1989-12,149.41087634041077
1990-01,148.61508018647808
1990-02,144.38278329630953
1990-03,147.57642457451144
1990-04,143.8860780737966
1990-05,154.44036715800988
1990-06,160.4551983697596
1990-07,167.18246186335833
1990-08,151.02991982384935
1990-09,134.21299458907376
1990-10,146.24510088573075
1990-11,148.42185338241788
1990-12,146.1275144488413
1991-01,150.39484405826852
1991-02,164.09075985773262
1991-03,152.4241657464328
1991-04,151.05471374574446
1991-05,154.96231601235576
1991-06,141.9420769808546
1991-07,152.24097249857726
1991-08,155.6150504466074
1991-09,161.0611073634155
1991-10,157.8331577725165
1991-11,154.22679513496544
1991-12,166.5826932268807
1992-01,166.32524798063608
1992-02,167.16441747097468
1992-03,160.6019564611358
1992-04,170.68389141722722
1992-05,180.01030843428956
1992-06,176.28135397368473
1992-07,169.37828878050655
1992-08,169.21239924128122
1992-09,165.20178293769496
1992-10,153.80373283201055
1992-11,153.81064170827636
1992-12,157.0006120249738
1993-01,157.90883598765862
1993-02,159.97601204706146
1993-03,168.30940728349984
1993-04,171.343293863822
1993-05,171.60266951328336
1993-06,169.2459196823226
1993-07,169.7324382780172
1993-08,184.98753068961474
1993-09,183.57012215330744
1993-10,190.2675253505787
1993-11,186.57039656213948
1993-12,200.33106062486246
1994-01,208.3829667630153
1994-02,201.6630273046062
1994-03,196.0522810606593
1994-04,205.2555836371467
1994-05,195.12031951855965
1994-06,192.86397500062685
1994-07,204.5824919705544
1994-08,211.1012658307451
1994-09,201.62437007231594
1994-10,210.70698890575258
1994-11,202.35213763259227
1994-12,203.01467538910111
1995-01,201.36217355189146
1995-02,205.3128635155333
1995-03,214.6117606396281
1995-04,221.75370776777154
1995-05,225.77268547505733
1995-06,227.32722929670095
1995-07,240.43497477178238
1995-08,230.77675677282497
1995-09,236.2529935734246
1995-10,233.80958408001283
1995-11,235.2616404689639
1995-12,242.6076828798084
1996-01,246.6773181833908
1996-02,250.43984571642406
1996-03,251.0137735951728
1996-04,254.33593083911538
1996-05,257.85860872847894
1996-06,259.5908814951215
1996-07,256.8692005765582
1996-08,264.15713263810557
1996-09,271.27675783736123
1996-10,278.46888149251737
1996-11,293.8545685557866
1996-12,300.89010406599033
1997-01,301.1043888679362
1997-02,305.4396685670193
1997-03,314.5013655331554
1997-04,312.1871376002609
1997-05,324.60707050188887
1997-06,339.5448895012384
1997-07,356.80965608752183
1997-08,337.91917548482303
1997-09,370.78676926069096
1997-10,350.4275925491197
1997-11,355.4533170848369
1997-12,367.7163432863339
1998-01,383.36455636695945
1998-02,412.6237264164837
1998-03,445.23546046452117
1998-04,455.9591941240832
1998-05,464.5214781687499
1998-06,470.16335345253475
1998-07,477.1667814545872
1998-08,419.3481368720163
1998-09,405.2967213169021
1998-10,434.267194544253
1998-11,458.3838324435888
1998-12,479.6333990190174
1999-01,477.97364309865407
1999-02,466.6274844033367
1999-03,472.54485769782264
1999-04,488.521051681841
1999-05,465.8790750820972
1999-06,475.53792817675054
1999-07,478.8366014258511
1999-08,485.1308484971185
1999-09,481.6230590480029
1999-10,500.062076679222
1999-11,515.4192179552953
1999-12,571.8273055859627
2000-01,533.1656362718483
2000-02,564.8036791575805
2000-03,575.4613506366832
2000-04,549.1130417238048
2000-05,542.1324440730475
2000-06,552.431414206801
2000-07,542.7084690873512
2000-08,535.9883032896853
2000-09,511.9924281789171
2000-10,506.5670629640862
2000-11,482.4089112902248
2000-12,514.8818699626643
2001-01,516.2106818813457
2001-02,469.6612391842963
2001-03,435.8152988487099
2001-04,469.26237299731423
2001-05,444.87603998654424
2001-06,428.4690169288231
2001-07,430.0636518016128
2001-08,417.90249755929875
2001-09,373.58771806985754
2001-10,386.95353829588834
2001-11,403.34186906920075
2001-12,413.8873399028698
2002-01,392.42942242320197
2002-02,390.9708015813655
2002-03,411.7117460689644
2002-04,407.1315647388653
2002-05,404.23744693857327
2002-06,390.6317531626041
2002-07,347.623903404876
2002-08,347.75587882243786
2002-09,299.10397110560064
2002-10,330.7103073058281
2002-11,347.9034946727925
2002-12,334.82895797557853
2003-01,318.4820284029585
2003-02,309.10805573745705
2003-03,304.2109567416839
2003-04,346.3976416815884
2003-05,369.33522932132166
2003-06,373.65467673770746
2003-07,380.3777597398225
2003-08,379.99820839320097
2003-09,386.7732632474299
2003-10,414.6126186330538
2003-11,431.7392450110687
2003-12,467.37068264465717
2004-01,472.11197850295576
2004-02,487.0236813499136
2004-03,471.57640172071234
2004-04,467.01218297832645
2004-05,475.57791859929944
2004-06,482.8703767689937
2004-07,470.0845316420115
2004-08,471.14033544695997
2004-09,490.65895557422556
2004-10,509.53758338370403
2004-11,546.9123036543645
2004-12,570.3280669875143
2005-01,560.6726833578007
2005-02,588.7685356868484
2005-03,573.6727580531622
2005-04,558.3942260947598
2005-05,561.1586642693158
2005-06,570.3099115387286
2005-07,590.1584770716528
2005-08,599.4766942471032
2005-09,613.8195942902021
2005-10,591.3269377775003
2005-11,600.4172409285424
2005-12,622.4768928324065
2006-01,663.4343693335271
2006-02,665.1056120719095
2006-03,691.3333514620055
2006-04,726.4727407089388
2006-05,707.6245305051257
2006-06,711.0275628612105
2006-07,721.2766263383521
2006-08,744.535783615729
2006-09,751.0628191406192
2006-10,784.6888754142683
2006-11,812.9795314312145
2006-12,840.1455903470311
2007-01,843.4914835854624
2007-02,841.9709159119343
2007-03,873.9705572663299
