Date,MSCI ARABIAN MARKETS & AFRICA COMBINED
2002-05,281.3177144429058
2002-06,261.44274507028246
2002-07,229.32467430092032
2002-08,237.6611495090467
2002-09,236.72989305914209
2002-10,241.7379119996878
2002-11,257.8652670429145
2002-12,271.55508999616086
2003-01,266.7206974991896
2003-02,267.141205670242
2003-03,260.8126357391811
2003-04,278.0246836929705
2003-05,292.13013670400545
2003-06,307.88696899955113
2003-07,327.4383537950354
2003-08,347.43808056926116
2003-09,354.84484434387616
2003-10,374.65353385355525
2003-11,396.8586854775042
2003-12,405.9101120874183
2004-01,409.5508933651368
2004-02,427.744683252078
2004-03,440.3143397190048
2004-04,407.8190703832893
2004-05,430.6614095506312
2004-06,436.72600013740777
2004-07,447.824957546402
2004-08,459.4755688443357
2004-09,489.37327970076586
2004-10,512.4609322823605
2004-11,577.634326396641
2004-12,594.5763622144458
2005-01,591.554732865494
2005-02,651.7205203991028
2005-03,661.976419766229
2005-04,661.9104097521636
2005-05,646.4927667063429
2005-06,722.5539549806919
2005-07,733.3764266998587
2005-08,809.4392745018891
2005-09,863.9511311463449
2005-10,838.4386721158535
2005-11,862.5935380373704
2005-12,909.236865776914
2006-01,1008.6509347426919
2006-02,970.2792006966213
2006-03,939.0849696269968
2006-04,875.6137144123041
2006-05,760.9805615270049
2006-06,780.6208300981826
2006-07,739.1711934532752
2006-08,756.1775230630531
2006-09,737.0721164013673
2006-10,749.7204361464951
2006-11,738.1623483341245
2006-12,775.4366462488377
2007-01,767.474349046626
2007-02,793.3030355316397
2007-03,820.8985096520647
2007-04,866.869395679171
2007-05,877.1440180234596
2007-06,864.922313919782
2007-07,881.9178427710472
2007-08,882.4990416098317
2007-09,919.9445454035289
2007-10,1022.5733338584372
2007-11,995.975326005016
2007-12,1037.4464360796946
2008-01,947.8287049784822
2008-02,1006.9732809485358
2008-03,938.5390827367173
2008-04,1025.122525862427
2008-05,1019.58222218352
2008-06,971.5475124787924
2008-07,957.3186268945574
2008-08,917.7438749745421
2008-09,784.70130943
2008-10,583.9166827220789
