Date,MSCI GOLDEN DRAGON (A ONSHORE exB) MID CAP
2009-12,1032.6813415050308
2010-01,970.3055583792467
2010-02,990.631848906564
2010-03,1033.949943323868
2010-04,1002.8309914010099
2010-05,914.6792555353691
2010-06,865.7286783848158
2010-07,961.3116725136562
2010-08,997.3273907511956
2010-09,1065.9939642705865
2010-10,1134.6798622073911
2010-11,1133.4970955476574
2010-12,1132.54360345747
2011-01,1094.9907919064146
2011-02,1123.6172850274281
2011-03,1126.837631501325
2011-04,1131.8030389281164
2011-05,1079.18080896665
2011-06,1082.2604083728534
2011-07,1092.309736537189
2011-08,1016.0137006750027
2011-09,857.319929177575
2011-10,922.9497585775049
2011-11,855.6931730950351
2011-12,797.9853045724905
2012-01,838.759883526291
2012-02,932.0075276789967
2012-03,865.9419461807589
2012-04,890.351803048832
2012-05,872.0161991124842
2012-06,838.6827888532631
2012-07,801.8927043183218
2012-08,798.5131123609293
2012-09,846.3428124369366
2012-10,842.2685453972192
2012-11,822.9883837121178
2012-12,899.5062126282971
2013-01,949.438932212187
2013-02,961.2372798164824
2013-03,923.7031687473238
2013-04,928.1042121712865
2013-05,993.0805799007086
2013-06,880.8274395550295
2013-07,914.9989576315407
2013-08,949.5848057581145
2013-09,989.483961560719
2013-10,986.4663925257413
2013-11,1021.6646372343796
2013-12,1009.7435773483575
2014-01,980.8638414015952
2014-02,993.396588127524
2014-03,964.9699532655313
2014-04,949.8348633882335
2014-05,971.2703124137782
2014-06,999.9522491595098
2014-07,1055.4841111757407
2014-08,1082.4817278286657
2014-09,1110.2011217428692
2014-10,1134.6440325050405
2014-11,1180.8605047551414
2014-12,1205.41710621005
2015-01,1246.441599695697
2015-02,1307.181889212925
2015-03,1487.8015520545707
2015-04,1694.7798284865542
2015-05,1864.4810321285938
2015-06,1674.3760395398122
2015-07,1473.8315717749135
2015-08,1263.7558417686
2015-09,1203.4470041783175
2015-10,1365.5263225364067
2015-11,1368.187167627061
2015-12,1392.3616808926245
2016-01,1049.8501402934767
2016-02,1042.4061529410512
2016-03,1190.846348389018
2016-04,1162.0384265767855
2016-05,1135.4869548303595
2016-06,1168.8949478991817
2016-07,1198.2300744322536
2016-08,1238.583525438116
2016-09,1226.2743441575017
2016-10,1226.8706765404702
2017-04,1206.215719
2017-05,1176.97239
2017-06,1228.976838
2017-07,1276.668753
2017-08,1330.233152
2017-09,1359.677758
2017-10,1360.794046
2017-11,1310.208282
2017-12,1336.975949
2018-01,1379.278155
2018-02,1328.059069
2018-03,1325.345853
2018-04,1274.5979865038164
2018-05,1280.9160484570853
2018-06,1149.3676161996148
2018-07,1117.3263746980438
2018-08,1041.1427834126164
2018-09,1021.5927449232645
2018-10,894.497760606693
2018-11,945.7907534569415
2018-12,911.7618216819925
2019-01,969.1550303237624
2019-02,1092.1488823887948
2019-03,1167.9313592972399
2019-04,1147.651015554799
2019-05,1048.9788903425363
2019-06,1091.8407751637983
2019-07,1083.350270752694
2019-08,1039.8812619612531
2019-09,1052.5240419072488
2019-10,1081.6078856394267
2019-11,1079.0920186909616
2019-12,1164.0607207079563
2020-01,1167.4265288603326
2020-02,1176.2950980373298
2020-03,1057.391815445222
2020-04,1151.673371720732
2020-05,1148.4191634392685
2020-06,1271.5504045883329
2020-07,1424.0730139459274
2020-08,1476.8828787048674
2020-09,1399.7630033471262
2020-10,1402.0527618431008
2020-11,1480.792694689301
2020-12,1545.705927230933
