Date,ARABIAN MARKETS COMBINED
2005-05,731.2299031
2005-06,854.0769459
2005-07,818.9748825
2005-08,946.387917
2005-09,989.8439208
2005-10,1003.690851
2005-11,1000.0
2005-12,1014.5647031610388
2006-01,1091.6116308666367
2006-02,1064.90633711784
2006-03,946.1276147080156
2006-04,825.1524172
2006-05,714.5927856171254
2006-06,766.4533664172477
2006-07,688.065425785883
2006-08,720.9194768299757
2006-09,731.4345070029522
2006-10,688.2858875791544
2006-11,616.8386626940462
2006-12,628.9593519914891
2007-01,608.2190857576716
2007-02,651.3296298397837
2007-03,654.8230702523998
2007-04,673.9127160795451
2007-05,727.6575024057328
2007-06,711.5834829974877
2007-07,748.4105034560222
2007-08,755.3675489628048
2007-09,770.2730842891217
2007-10,838.275577382401
2007-11,849.4383981492783
2007-12,957.4907828245236
2008-01,887.5391159581035
2008-02,948.1441610829418
2008-03,878.8546753896695
2008-04,954.4171882475201
2008-05,920.096831909669
2008-06,909.7304154188433
2008-07,871.3370437471926
2008-08,842.3293513432048
2008-09,717.7061543441879
2008-10,541.7733695590001
2008-11,446.09228973391123
2008-12,442.8685077561485
2009-01,399.84948297036306
2009-02,374.81147280918225
2009-03,402.19382706126925
2009-04,467.50690080204714
2009-05,510.2009781641599
2009-06,516.6234099412003
2009-07,535.679382399287
2009-08,553.6907146058255
2009-09,583.3437726560813
2009-10,580.3463633718469
2009-11,548.726424179243
2009-12,541.8821831146086
2010-01,541.8794892080524
2010-02,570.322150666575
2010-03,611.2512730897527
2010-04,623.9449575091113
2010-05,556.56553626
2010-06,546.9763815653903
2010-07,572.7131182934484
2010-08,571.4002637272895
2010-09,606.4525636187233
2010-10,616.7857881708062
2010-11,615.8459894658254
2010-12,646.4376105755302
2011-01,616.6251867900422
2011-02,583.544348486385
2011-03,617.2231248371152
2011-04,644.6386665344808
2011-05,634.5877977470426
2011-06,623.0016475020045
2011-07,610.4226938205028
2011-08,579.7666584749604
2011-09,576.5803453952458
2011-10,588.1872327533168
2011-11,571.7461688671806
2011-12,580.0389351595006
2012-01,598.8212662290604
2012-02,642.7697780451464
2012-03,677.3644037626601
2012-04,669.9387035685884
2012-05,629.5640471959296
2012-06,609.6920246637392
2012-07,623.8189153702647
2012-08,642.7110692142714
2012-09,638.5514826957193
2012-10,635.1678229759743
2012-11,619.7059124655398
2012-12,635.0808716221645
2013-01,662.7055186738174
2013-02,658.2094431823456
2013-03,671.720229341171
2013-04,684.3204809560807
2013-05,708.6761809226741
2013-06,699.1055956055358
2013-07,743.6668543383851
2013-08,731.7348921346337
2013-09,751.8624272245229
2013-10,768.3276896727627
2013-11,787.6205806584779
2013-12,811.1218018149297
2014-01,841.1149655674893
2014-02,879.4397554954452
2014-03,912.6728102075541
2014-04,937.3130978460886
2014-05,972.766514206965
2014-06,911.2566118819045
2014-07,991.3832490942398
2014-08,1048.6611505942428
2014-09,1041.6127145407286
2014-10,972.0519855345663
2014-11,899.0313238150935
2014-12,826.8658432979269
2015-01,850.4699689283746
2015-02,895.5527968469816
2015-03,848.358357986564
2015-04,943.3779565539876
2015-05,918.7898401498164
2015-06,883.5017333176232
2015-07,888.2045513376356
2015-08,781.9828958829145
2015-09,768.6227763972022
2015-10,747.7270212346325
2015-11,725.5107028433382
2015-12,711.4635993243965
2016-01,627.9214108601711
2016-02,665.1507637185193
2016-03,689.9633365299707
2016-04,737.883731199563
2016-05,699.8363660295582
2016-06,704.675859547112
2016-07,716.1659196586497
2016-08,710.4108025350365
2016-09,684.5477659587881
2016-10,709.2358651277469
2016-11,750.4316226188186
2016-12,778.9646085299444
2017-01,788.245461101715
2017-02,784.9472342393806
2017-03,783.4375684842202
2017-04,781.214709
2017-05,782.316536
2017-06,818.181614
2017-07,814.232723
2017-08,827.419328
2017-09,820.43134
2017-10,799.685459
2017-11,792.130778
2017-12,816.595669
