Date,MSCI AC PACIFIC ex JAPAN
1987-12,100.0
1988-01,99.6429
1988-02,99.5633
1988-03,110.9368
1988-04,116.7087
1988-05,124.324
1988-06,127.3466
1988-07,132.3211
1988-08,124.9125
1988-09,123.177
1988-10,130.6395
1988-11,129.9012
1988-12,130.4473
1989-01,144.0215
1989-02,133.635
1989-03,136.1281
1989-04,141.9863
1989-05,136.6487
1989-06,132.2274
1989-07,143.7284
1989-08,149.9149
1989-09,154.3731
1989-10,149.718
1989-11,151.3839
1989-12,158.3968
1990-01,157.5613
1990-02,155.8926
1990-03,154.7023
1990-04,147.018
1990-05,161.2675
1990-06,166.2004
1990-07,175.6205
1990-08,159.5986
1990-09,141.867
1990-10,140.6017
1990-11,137.5912
1990-12,139.6115
1991-01,147.5544
1991-02,162.8793
1991-03,168.1645
1991-04,172.544
1991-05,172.295
1991-06,170.058
1991-07,177.6416
1991-08,174.5734
1991-09,174.4752
1991-10,180.1516
1991-11,179.6961
1991-12,184.8411
1992-01,190.943
1992-02,195.925
1992-03,195.1071
1992-04,202.1726
1992-05,212.576
1992-06,212.6895
1992-07,207.678
1992-08,197.9015
1992-09,198.0347
1992-10,206.4902
1992-11,202.3848
1992-12,203.107
1993-01,205.627
1993-02,218.9426
1993-03,221.687
1993-04,236.1971
1993-05,245.2539
1993-06,239.4251
1993-07,247.0977
1993-08,265.3907
1993-09,271.0628
1993-10,316.2512
1993-11,309.5559
1993-12,375.6376
1994-01,363.443
1994-02,343.0797
1994-03,308.4129
1994-04,322.4624
1994-05,336.7784
1994-06,321.2443
1994-07,338.7685
1994-08,364.0204
1994-09,355.4605
1994-10,363.4301
1994-11,333.5407
1994-12,328.3335
1995-01,297.724067832762
1995-02,322.60728698054305
1995-03,323.5281282259875
1995-04,326.87934811298
1995-05,354.94024240960044
1995-06,349.88795441311794
1995-07,361.08044462487027
1995-08,348.9976043575466
1995-09,353.36999249278347
1995-10,347.9543218810435
1995-11,346.43474472895764
1995-12,361.16575545099215
1996-01,388.88769880531885
1996-02,390.49554045255405
1996-03,392.79818273500376
1996-04,405.1521978728735
1996-05,400.93218635679506
1996-06,392.5527368086894
1996-07,367.67105054295484
1996-08,383.0470944351862
1996-09,390.8252834320538
1996-10,388.4182115824456
1996-11,409.0763878945401
1996-12,406.8502966785382
1997-01,408.4993922850354
1997-02,411.2904461193669
1997-03,393.1536848661916
1997-04,387.4769819720738
1997-05,404.8597621349211
1997-06,416.505118329896
1997-07,417.33852194921377
1997-08,351.1349516207799
1997-09,353.23881713981723
1997-10,277.2811853927364
1997-11,262.88376837553835
1997-12,256.3138728142112
1998-01,246.1629881053341
1998-02,284.8320763103053
1998-03,279.9592111245248
1998-04,258.8094646128542
1998-05,226.87037352924673
1998-06,210.05846150523536
1998-07,206.54850853336228
1998-08,175.73783723500742
1998-09,191.3156763172956
1998-10,230.52988402509766
1998-11,249.29026694292557
1998-12,251.0028406493162
1999-01,251.16549313553114
1999-02,246.2641336256875
1999-03,267.1019348731626
1999-04,316.8766693077969
1999-05,298.1871775621704
1999-06,338.3768427741709
1999-07,329.37984215309547
1999-08,327.84498680659686
1999-09,308.96141590768536
1999-10,317.5700814791414
1999-11,344.97430095330793
1999-12,368.69430162582364
2000-01,358.85548258806887
2000-02,342.74564968049594
2000-03,354.0076853889362
2000-04,330.4881621654472
2000-05,307.61584114743374
2000-06,329.11329794246274
2000-07,315.4901436275873
2000-08,313.0559441865802
2000-09,282.3370420462242
2000-10,261.3352289939746
2000-11,253.40610338147096
2000-12,255.4068520843875
2001-01,283.2460400639082
2001-02,269.7399257214327
2001-03,241.50897362983042
2001-04,249.56389171062585
2001-05,248.69372965892532
2001-06,247.29211526204227
2001-07,237.1229105228616
2001-08,234.963680199625
2001-09,199.89099356726132
2001-10,212.38662590068114
2001-11,237.8057858053378
2001-12,252.87433797756418
2002-01,260.25547622447004
2002-02,261.20877005978394
2002-03,277.25807491695485
2002-04,279.01206011182785
2002-05,280.6889882808221
2002-06,266.353605157095
2002-07,252.7794600924704
2002-08,251.6571905165453
2002-09,228.82665537190192
2002-10,241.19408994573664
2002-11,251.13358934676853
2002-12,238.95371269694277
2003-01,242.45431260248915
2003-02,234.84718133573801
2003-03,232.00151070882237
2003-04,244.60439252242296
2003-05,260.4509330134922
2003-06,273.80298618654723
2003-07,286.932433541102
2003-08,302.4109232435606
2003-09,308.08368193983057
2003-10,333.88751737926566
2003-11,330.97088888903653
2003-12,352.51205553570827
2004-01,366.8312118212279
2004-02,381.77036768176373
2004-03,379.55445622129434
2004-04,357.39306491139905
2004-05,353.16133970465
2004-06,351.3981356148806
2004-07,346.4243021021908
2004-08,360.11096424156796
2004-09,377.23824327329095
2004-10,386.89182242817463
2004-11,420.3753975738109
2004-12,434.27628839198826
2005-01,437.7123136025106
2005-02,463.12666399886507
2005-03,442.49924790713385
2005-04,437.3000740703715
2005-05,443.3865072987832
2005-06,459.3105159782988
2005-07,482.56434441635804
2005-08,474.3946035034856
2005-09,502.1760248669599
2005-10,471.00855298258216
2005-11,498.5656911994017
2005-12,521.310026871859
2006-01,558.3793855389496
2006-02,554.8505579450217
2006-03,559.7999917315323
2006-04,603.5642070740214
2006-05,565.3239059933727
2006-06,564.3780815217384
2006-07,567.3673307196973
2006-08,584.5708471774427
2006-09,593.7611741693545
2006-10,620.5409247947093
2006-11,661.6683237748733
2006-12,688.8769752779108
2007-01,682.3355436026351
2007-02,693.8570380746876
2007-03,717.0553682345904
2007-04,749.2236628951176
2007-05,780.7910596576618
2007-06,816.4199940639407
2007-07,853.0291346988112
2007-08,841.7358050457176
2007-09,948.7642903230619
2007-10,1035.6549920462394
2007-11,945.5201013004537
2007-12,926.3572473856631
2008-01,811.3997172189399
2008-02,858.4311442503939
2008-03,812.7112416952381
2008-04,877.6039627229559
2008-05,869.1237166465137
2008-06,785.6968223987444
2008-07,760.3253149841591
2008-08,711.381269039245
2008-09,593.1158534617136
2008-10,449.75773830609046
2008-11,422.7514160541331
2008-12,460.6556409026213
2009-01,423.9556820356388
2009-02,400.8957418643545
2009-03,461.3238647231349
2009-04,530.252971745982
2009-05,598.2078879816004
2009-06,605.507534357093
2009-07,681.9093000261754
