Date,GOLDEN DRAGON (A ONSHORE exB) LARGE CAP
2009-12,1022.2570345584359
2010-01,931.7675530732145
2010-02,944.5973321524223
2010-03,984.2922514467539
2010-04,954.4778432797197
2010-05,882.7252301172192
2010-06,868.1496954470572
2010-07,937.1610575475333
2010-08,928.596932184748
2010-09,1001.3916218809552
2010-10,1076.8076485351987
2010-11,1046.7273894510872
2010-12,1074.8347794734323
2011-01,1077.244257833606
2011-02,1068.7149335532588
2011-03,1091.0212635875475
2011-04,1114.7183092214966
2011-05,1096.5309043283332
2011-06,1077.661118434821
2011-07,1072.5019461173067
2011-08,1003.1946846814467
2011-09,880.4699212669286
2011-10,961.6186421983052
2011-11,887.5863906502467
2011-12,888.6725229424799
2012-01,962.054769129406
2012-02,1025.9886142657879
2012-03,970.7196293819546
2012-04,997.9211756149595
2012-05,937.0296365144405
2012-06,934.4252032514977
2012-07,932.3931678482875
2012-08,910.2501007925207
2012-09,968.292740548977
2012-10,975.1888388614451
2012-11,983.9132030918487
2012-12,1055.1854448463228
2013-01,1100.8188071934278
2013-02,1080.6074071025123
2013-03,1035.9653065967805
2013-04,1048.6472642003107
2013-05,1061.603637589665
2013-06,976.9942726354338
2013-07,1000.3917482164763
2013-08,1023.2848206255361
2013-09,1071.7185689906585
2013-10,1090.6777516921877
2013-11,1115.81482080109
2013-12,1090.1612153613885
2014-01,1027.5679998932808
2014-02,1038.7622611941158
2014-03,1028.841112019672
2014-04,1029.550791379832
2014-05,1064.9810100605137
2014-06,1094.7684311801788
2014-07,1174.7634157482541
2014-08,1178.9675998549112
2014-09,1131.3339847418063
2014-10,1179.1728451362205
2014-11,1233.810399570651
2014-12,1344.3948385090598
2015-01,1341.246284466158
2015-02,1378.233405410019
2015-03,1460.4723445801637
2015-04,1669.3154038555635
2015-05,1643.9227086091319
2015-06,1564.6105187507542
2015-07,1394.2538297069336
2015-08,1224.8245750300573
2015-09,1185.1475412344375
2015-10,1290.1743318930428
2015-11,1260.837904785368
2015-12,1272.2497704601492
2016-01,1072.0111962032154
2016-02,1061.5193233430534
2016-03,1184.6922320045824
2016-04,1163.515903722623
2016-05,1157.2925950068525
2016-06,1168.0668984183822
2016-07,1213.646426072453
2016-08,1266.9895694714803
2016-09,1281.5076442642842
2016-10,1278.3573342874683
2017-04,1357.867888
2017-05,1409.827156
2017-06,1467.969363
2017-07,1549.615122
2017-08,1603.639175
2017-09,1594.705229
2017-10,1665.202361
2017-11,1666.992682
2017-12,1694.135664
2018-01,1868.062578
2018-02,1752.46746
2018-03,1707.011222
2018-04,1668.6354468677757
2018-05,1669.463942471858
2018-06,1568.6360786911514
2018-07,1561.0938883772715
2018-08,1510.2524381463818
2018-09,1518.4122044175701
2018-10,1355.48563011654
2018-11,1409.196235737018
2018-12,1354.8111629969974
2019-01,1475.2837054177062
2019-02,1580.7635542548426
2019-03,1628.0264955320633
2019-04,1664.5615897635291
2019-05,1492.3489274726974
2019-06,1600.2758380550965
2019-07,1604.759782472404
2019-08,1534.7226837704884
2019-09,1544.8486617735225
2019-10,1613.7196451401003
2019-11,1620.69689104802
2019-12,1747.0552283028223
2020-01,1682.818277907061
2020-02,1669.2631939487762
2020-03,1530.6282317007035
2020-04,1644.3652222888816
2020-05,1608.3078714089327
2020-06,1759.234023091075
2020-07,1964.6955601553386
2020-08,2051.3464803010993
2020-09,1994.733156949313
2020-10,2081.8819975859647
2020-11,2204.6242505339033
2020-12,2325.960862265321
