Date,G7 INDEX
1976-12,100.0
1977-01,96.65197703
1977-02,96.0468546
1977-03,95.49223722
1977-04,96.55880092
1977-05,95.42182067
1977-06,99.50121864
1977-07,98.56059542
1977-08,99.23661906
1977-09,100.52255853
1977-10,98.56304626
1977-11,99.95751057
1977-12,101.66929105
1978-01,98.24068027
1978-02,97.48017817
1978-03,102.22666599
1978-04,107.54990509
1978-05,108.91818614
1978-06,109.86291376
1978-07,118.09992056
1978-08,120.29241691
1978-09,121.99961358
1978-10,119.0778495
1978-11,116.1733847
1978-12,119.80648472
1979-01,122.63459678
1979-02,120.112428
1979-03,125.4188744
1979-04,125.5512624
1979-05,123.16805219
1979-06,127.06693126
1979-07,128.06200218
1979-08,133.27891709
1979-09,135.47608461
1979-10,125.21672683
1979-11,129.1365224
1979-12,132.1286467
1980-01,139.92803953
1980-02,140.16287222
1980-03,126.45708573
1980-04,134.10754517
1980-05,140.60245932
1980-06,147.03920408
1980-07,151.93021478
1980-08,154.91508547
1980-09,159.51177145
1980-10,163.72740345
1980-11,172.02760402
1980-12,168.65033481
1981-01,164.77338081
1981-02,165.68473728
1981-03,172.22133322
1981-04,172.86011755
1981-05,169.26313921
1981-06,169.14521168
1981-07,167.16863863
1981-08,163.91191815
1981-09,152.02452997
1981-10,156.90909141
1981-11,168.22102219
1981-12,164.76140042
1982-01,163.17581375
1982-02,154.0075664
1982-03,150.1759353
1982-04,157.44035311
1982-05,153.2121696
1982-06,147.34053372
1982-07,145.63649278
1982-08,157.75695603
1982-09,158.75405575
1982-10,170.83088598
1982-11,180.30320958
1982-12,187.75013545
1983-01,191.01585531
1983-02,195.41787753
1983-03,202.67578432
1983-04,217.12389249
1983-05,215.20651653
1983-06,222.41671846
1983-07,217.42698973
1983-08,219.14206366
1983-09,224.62850887
1983-10,222.35517814
1983-11,227.75370617
1983-12,230.4685236
1984-01,231.81564873
1984-02,227.05365645
1984-03,238.95629704
1984-04,238.53391114
1984-05,220.7509088
1984-06,223.68304999
1984-07,216.5349363
1984-08,238.8050954
1984-09,238.30271529
1984-10,241.57324281
1984-11,240.80809204
1984-12,247.0727644
1985-01,260.67591458
1985-02,262.43925395
1985-03,271.01723665
1985-04,269.78873078
1985-05,284.84380051
1985-06,290.26556087
1985-07,294.60937019
1985-08,297.54623806
1985-09,299.38094444
1985-10,315.07544757
1985-11,332.7968237
1985-12,348.99124019
1986-01,353.82373482
1986-02,387.16001567
1986-03,427.31575373
1986-04,436.95827399
1986-05,437.14651555
1986-06,455.79090252
1986-07,460.97894439
1986-08,500.26801194
1986-09,478.11780761
1986-10,467.76740856
1986-11,487.35825146
1986-12,496.51241065
1987-01,559.3724908
1987-02,576.90354882
1987-03,613.15247686
1987-04,651.38019308
1987-05,652.02396072
1987-06,648.59353596
1987-07,656.82178216
1987-08,696.84771322
1987-09,682.49437399
1987-10,575.13904692
1987-11,561.32354397
1987-12,585.95166955
1988-01,602.58465167
1988-02,638.77475947
1988-03,656.02314291
1988-04,664.02246076
1988-05,648.79520506
1988-06,647.85631765
1988-07,660.78825709
1988-08,623.88912072
1988-09,652.34079264
1988-10,694.83277259
1988-11,720.71565703
1988-12,727.44164909
1989-01,753.86412681
1989-02,750.13627332
1989-03,743.55421853
1989-04,759.99126516
1989-05,743.1488722
1989-06,731.52043362
1989-07,816.1998882
1989-08,793.92950126
1989-09,816.68612033
1989-10,790.09544504
1989-11,822.82343601
1989-12,846.40198526
1990-01,802.86694362
1990-02,766.44865899
1990-03,715.59414944
1990-04,706.14385073
1990-05,782.58911195
1990-06,773.69423347
1990-07,776.81901874
1990-08,704.11340911
1990-09,630.88401431
1990-10,694.53110585
1990-11,683.3014128
1990-12,699.95065609
1991-01,724.98673351
1991-02,792.37499395
1991-03,768.78456984
1991-04,775.86639215
1991-05,793.03839682
1991-06,742.98866575
1991-07,778.01233414
1991-08,775.91105856
1991-09,797.52549476
1991-10,811.74806463
1991-11,773.59680095
1991-12,831.99086207
1992-01,813.5833497
1992-02,796.77949092
1992-03,755.8149248
1992-04,765.64885944
1992-05,793.20742103
1992-06,763.94680027
1992-07,768.42605023
1992-08,793.38370645
1992-09,786.00108444
1992-10,766.58061514
1992-11,783.03224025
1992-12,788.72502466
1993-01,789.98538127
1993-02,807.85092243
1993-03,856.42303136
1993-04,897.67439856
1993-05,916.22945898
1993-06,910.03094308
1993-07,930.174115
1993-08,967.82448989
1993-09,945.27858914
1993-10,959.84342451
1993-11,901.65438754
1993-12,932.11930069
1994-01,999.36392092
1994-02,992.15182133
1994-03,953.07849301
1994-04,982.03587572
1994-05,984.6408731
1994-06,985.60677412
1994-07,1000.54073817
1994-08,1028.89165867
1994-09,1000.86085273
1994-10,1029.14352779
1994-11,986.55187416
1994-12,997.68186087
1995-01,986.65299193
1995-02,994.09905819
1995-03,1046.5422218
1995-04,1083.38084203
1995-05,1086.28269346
1995-06,1084.33618672
1995-07,1140.10265946
1995-08,1117.48694129
1995-09,1147.28564988
1995-10,1128.32740124
1995-11,1171.19000788
1995-12,1205.35867297
1996-01,1228.64783649
1996-02,1231.09028555
1996-03,1249.39688189
1996-04,1283.10275184
1996-05,1283.90828198
1996-06,1290.25439322
1996-07,1243.95856668
