Date,MSCI FM GCC COUNTRIES
2014-05,1000.0
2014-06,955.837297437242
2014-07,977.5035100166717
2014-08,991.8530505733754
2014-09,993.2735123790413
2014-10,951.0622235959812
2014-11,910.7332702686996
2014-12,846.8297385134513
2015-01,853.4588365519418
2015-02,885.013563847831
2015-03,822.9457426460093
2015-04,855.2929148579574
2015-05,815.0223284966075
2015-06,824.3168491589887
2015-07,820.8503410185723
2015-08,748.0659006711721
2015-09,755.4380535874953
2015-10,750.6977515570571
2015-11,734.4885204156844
2015-12,716.7787874664556
2016-01,646.8495749230896
2016-02,680.1284737882446
2016-03,703.9759547321486
2016-04,723.228403744751
2016-05,697.9245176973476
2016-06,679.7541418835236
2016-07,691.5098191887997
2016-08,680.9397569992864
2016-09,691.5703374811625
2016-10,694.9276775005334
2016-11,717.526760528636
2016-12,747.4677338108346
2017-01,829.8159049439943
2017-02,817.5061941453574
2017-03,817.4554697186699
2017-04,807.815049
2017-05,806.796554
2017-06,789.847219
2017-07,836.292388
2017-08,883.196927
2017-09,891.550441
2017-10,866.202113
2017-11,837.280631
2017-12,840.07174
2018-01,868.679527
2018-02,878.382702
2018-03,890.375594
2018-04,861.9496107960188
2018-05,846.2629477134673
2018-06,880.5889609222578
2018-07,946.984635218908
2018-08,941.5902126148832
2018-09,960.0559852204221
2018-10,937.4842667257573
2018-11,947.9880174158002
2018-12,938.5301564291713
2019-01,967.7990061622658
2019-02,979.4132586222798
2019-03,1067.9104697672599
2019-04,1109.6071487910679
2019-05,1146.6378613818156
2019-06,1172.3436860389427
2019-07,1242.9655127087794
2019-08,1211.8761688960792
2019-09,1144.8308398850106
2019-10,1156.3446927486018
2019-11,1203.3164641676358
2019-12,1292.17323497922
2020-01,1296.7376581700642
2020-02,1238.0072645404264
2020-03,959.1533804865222
2020-04,1010.0861673800798
2020-05,1037.9420075159424
2020-06,1070.7715262993654
2020-07,1046.6507623255106
2020-08,1146.3554419239958
2020-09,1164.859495807681
2020-10,1155.2763911115778
2020-11,1158.3005240469506
2020-12,1151.3541286482189
2021-01,1153.030717564278
2021-02,1156.2088227546974
2021-03,1156.3057333472232
2021-04,1203.131827953724
2021-05,1240.3002772794673
2021-06,1332.0108957140153
2021-07,1359.406874067944
2021-08,1418.2580080498349
2021-09,1485.8316310557407
2021-10,1539.138126118046
2021-11,1434.5815422474311
2021-12,1495.477763459789
2022-01,1535.4292942692275
2022-02,1614.1803269378593
2022-03,1783.7223753403887
2022-04,1850.3278550488658
2022-05,1686.459998127496
2022-06,1647.6228131918017
2022-07,1821.4018706503161
2022-08,1828.4119779396651
2022-09,1799.0747895284196
2022-10,1759.3219603710234
2022-11,1763.5014213448194
2022-12,1800.0992774880888
2023-01,1806.9698665092026
2023-02,1841.9925980847634
2023-03,1899.5527226294319
2023-04,1886.6038055203778
2023-05,1912.4043341217898
2023-06,1953.8482989821387
