Date,EFM LATIN AMERICA & CARIBBEAN INDEX
2009-05,1000.0
2009-06,979.0909660462588
2009-07,1067.3062417850729
2009-08,1090.7430376535697
2009-09,1221.1879821558264
2009-10,1241.9336166959783
2009-11,1345.6561730169763
2009-12,1373.5487925715784
2010-01,1252.3532014187895
2010-02,1304.175359724176
2010-03,1396.7322244417467
2010-04,1392.178472073458
2010-05,1272.5287709427807
2010-06,1230.7047924633573
2010-07,1377.547324542867
2010-08,1348.0791607434012
2010-09,1490.1207552669223
2010-10,1539.3286995596281
2010-11,1487.8254242666235
2010-12,1582.3920054560033
2011-01,1512.849310252816
2011-02,1541.489321885001
2011-03,1595.918229447728
2011-04,1603.7071595388434
2011-05,1561.8574261386116
2011-06,1557.4777799571302
2011-07,1504.5832683000965
2011-08,1423.0609205686292
2011-09,1174.5643434532456
2011-10,1378.6877479347495
2011-11,1297.2847234211963
2011-12,1276.852566666978
2012-01,1438.2320463133237
2012-02,1509.7674937716506
2012-03,1461.741691411263
2012-04,1404.9016879740645
2012-05,1220.6905437965427
2012-06,1267.735204809454
2012-07,1284.5915224910163
2012-08,1277.9212745098876
2012-09,1327.2063518881694
2012-10,1321.7087489228416
2012-11,1300.3807361679785
2012-12,1385.697958711148
2013-01,1438.4123376908226
2013-02,1397.6161813140693
2013-03,1398.5681843706318
2013-04,1395.4768850991843
2013-05,1299.7954872521154
2013-06,1183.2510742046302
2013-07,1171.9620863239977
2013-08,1136.3883069839417
2013-09,1234.2645359457485
2013-10,1293.8120004503637
2013-11,1238.5943818080707
2013-12,1207.9793111040344
2014-01,1092.3054886369666
2014-02,1114.0307221825435
2014-03,1213.2934098952028
2014-04,1246.7455173995297
2014-05,1246.7342147697725
2014-06,1299.423006446901
2014-07,1313.861179343297
2014-08,1415.446868909036
2014-09,1229.893223029341
2014-10,1229.023758198499
2014-11,1173.1180282272037
2014-12,1066.0590313941143
2015-01,1000.3625532956988
2015-02,1044.6996915303084
2015-03,969.3724773446801
2015-04,1067.5555847908483
2015-05,992.4268403299901
2015-06,1001.3128442715888
2015-07,917.4090690221428
2015-08,822.6461068586709
2015-09,758.0198341983498
2015-10,809.751480857357
2015-11,774.8490534388744
2015-12,742.1939398795001
2016-01,709.7624596211468
2016-02,737.5719700459018
2016-03,882.5229617017335
2016-04,934.9458544934611
2016-05,836.8221439291409
2016-06,930.5761903256961
2016-07,980.5105816594214
2016-08,986.7515026576559
2016-09,980.2604380401406
2016-10,1074.9350768583156
2016-11,961.4797075395046
2016-12,969.5278349920671
2017-01,1046.348120931889
2017-02,1083.1318443587857
2017-03,1093.1899968117013
2017-04,1094.622935
2017-05,1072.327653
2017-06,1077.871981
2017-07,1161.104771
2017-08,1217.570058
2017-09,1240.607699
2017-10,1200.490743
2017-11,1163.753712
2017-12,1217.490071
2018-01,1371.505675
2018-02,1321.622579
2018-03,1308.404337
2018-04,1290.2387257108053
2018-05,1105.3884437209958
2018-06,1063.0382769308344
2018-07,1163.0196733694856
2018-08,1059.7988684056152
2018-09,1109.5860687236982
2018-10,1146.258111295708
2018-11,1123.9373551286358
2018-12,1114.139926749897
2019-01,1282.4767110241457
2019-02,1232.3340555821935
2019-03,1199.2141236581353
2019-04,1201.9306462426568
2019-05,1184.230893083007
2019-06,1257.4364596489545
2019-07,1259.1623819363733
2019-08,1157.0355073470184
2019-09,1187.4597279355548
2019-10,1240.3952964353152
2019-11,1189.5085767145376
2019-12,1313.3769191377244
2020-01,1239.931575122014
2020-02,1090.6088185440215
2020-03,714.7945025950331
2020-04,760.0365523824627
2020-05,809.5717153108403
2020-06,852.1848466084049
2020-07,945.5668596126903
2020-08,886.970297170966
2020-09,841.688589421525
2020-10,832.2180816131723
2020-11,1014.4334626506234
2020-12,1135.6339540947333
2021-01,1059.395393919317
2021-02,1027.8489222106984
2021-03,1075.749084763099
2021-04,1115.8153183006743
2021-05,1205.3830363242105
2021-06,1238.0687524578232
2021-07,1187.963476130094
2021-08,1198.1202077346754
2021-09,1074.5127190570229
2021-10,1017.9143546064398
2021-11,988.1531591680873
2021-12,1047.8360612597323
2022-01,1125.219999853557
2022-02,1179.6929366016018
2022-03,1334.2444523676488
2022-04,1161.577751387498
2022-05,1257.3810819931243
2022-06,1044.253228025504
2022-07,1088.804340805467
2022-08,1119.3693286198566
2022-09,1083.0868204985711
2022-10,1187.988931070584
2022-11,1194.3159088428274
2022-12,1147.508769859616
2023-01,1261.148625204301
2023-02,1183.11456962191
2023-03,1193.8689622564789
2023-04,1226.276541044137
2023-05,1217.2775150945877
2023-06,1364.643102665235
