Date,AC ASIA PAC ex JP WITH CHINA ALL SHARES
2008-11,1057.7354264372498
2008-12,1142.2722343328057
2009-01,1068.713885163562
2009-02,1015.653554413179
2009-03,1165.7348441564914
2009-04,1332.9362257615003
2009-05,1513.959473936472
2009-06,1547.677255756637
2009-07,1746.6468529833426
2009-08,1702.1883236863018
2009-09,1862.0109856658007
2009-10,1866.9598711604167
2009-11,1924.047052834337
2009-12,1990.7342539742274
2010-01,1856.615108581891
2010-02,1882.3626821762352
2010-03,2016.6007403745148
2010-04,2028.987858806661
2010-05,1812.656360545147
2010-06,1817.64853137232
2010-07,1958.4863831908774
2010-08,1928.0102436963496
2010-09,2145.3170796856098
2010-10,2221.792343819776
2010-11,2169.303683951095
2010-12,2308.162830383701
2011-01,2279.035729063972
2011-02,2249.8089501373297
2011-03,2358.4538434657907
2011-04,2454.323103520691
2011-05,2394.248022000227
2011-06,2355.4239891986563
2011-07,2359.6066017734593
2011-08,2168.012656803467
2011-09,1883.1623996430762
2011-10,2120.8909060731985
2011-11,1955.7408691169278
2011-12,1950.8629265310972
2012-01,2143.131467004341
2012-02,2256.7272949406397
2012-03,2182.7160809919737
2012-04,2203.2938234845587
2012-05,1989.2117510883984
2012-06,2055.6242119281164
2012-07,2123.5300309360296
2012-08,2109.6440199398544
2012-09,2232.935256227244
2012-10,2241.417255943617
2012-11,2281.440756022778
2012-12,2380.5701877983397
2013-01,2451.590599400711
2013-02,2469.8941753783665
2013-03,2418.948027159868
2013-04,2472.1896207672985
2013-05,2392.972184766503
2013-06,2231.8214127263436
2013-07,2276.2769719979065
2013-08,2274.8593494661795
2013-09,2405.1898285218504
2013-10,2503.24900635228
2013-11,2488.4470326067217
2013-12,2451.5943813071926
2014-01,2327.3169662260148
2014-02,2415.9541003214044
2014-03,2448.3589972139494
2014-04,2470.3155161160857
2014-05,2543.4529756954444
2014-06,2588.674462513603
2014-07,2697.294548285544
2014-08,2716.8158163611115
2014-09,2549.940490349525
2014-10,2620.6967257995257
2014-11,2621.2815920270536
2014-12,2651.5246466078697
2015-01,2672.9136877400797
2015-02,2760.302105936694
2015-03,2820.9994210187983
2015-04,3056.462142535617
2015-05,3004.4741727534047
2015-06,2860.7576934180693
2015-07,2661.1558071596096
2015-08,2370.2382222755537
2015-09,2304.896481095092
2015-10,2496.3042595496067
2015-11,2442.581447500718
2015-12,2455.0870227122214
2016-01,2182.1920459834814
2016-02,2160.299710272872
2016-03,2418.1578717485368
2016-04,2405.557923294536
2016-05,2369.8316817388672
2016-06,2412.8630460554555
2016-07,2536.1304792688243
2016-08,2597.007858786021
2016-09,2625.7800350275193
2016-10,2593.229025159138
2016-11,2560.1969774886443
2016-12,2507.4224621726476
2017-01,2642.35671406305
2017-02,2729.8910849145936
2017-03,2798.2913432969826
2017-04,2832.7241496202864
2017-05,2902.424584121376
2017-06,2977.0135269678613
2017-07,3125.9269090613875
2017-08,3175.187425941981
2017-09,3169.118168975791
2017-10,3295.460351940041
2017-11,3298.702742102184
2017-12,3396.4383634515434
2018-01,3636.188299760147
2018-02,3452.2589802824964
2018-03,3375.855075806836
2018-04,3378.7413844886464
2018-05,3352.775881801481
2018-06,3195.5100945878544
2018-07,3217.9854346099387
2018-08,3160.436251604357
2018-09,3133.021114081708
2018-10,2813.0356095579627
2018-11,2926.814670346323
2018-12,2845.6583527080074
2019-01,3057.8249320333107
2019-02,3178.3733417132003
2019-03,3246.335454536644
2019-04,3295.919544612018
2019-05,3057.977861211839
2019-06,3250.9754906260646
2019-07,3218.738251179485
2019-08,3082.2537548948285
2019-09,3131.6813251508756
2019-10,3253.96176228962
2019-11,3260.4446156913446
2019-12,3460.922977942182
2020-01,3349.1199047256646
2020-02,3220.1028337358316
2020-03,2800.824571305488
2020-04,3064.079156389503
2020-05,3047.811331231096
2020-06,3307.2799252090426
2020-07,3608.004688937379
2020-08,3750.4315234035353
2020-09,3649.16513138204
2020-10,3744.2360691453996
2020-11,4067.8736913068947
2020-12,4341.756795267055
2021-01,4499.663118175892
2021-02,4543.91780607845
2021-03,4417.238105007501
2021-04,4551.405623033136
2021-05,4655.865758631779
2021-06,4634.226050548416
2021-07,4334.0394920505505
2021-08,4418.322872918995
2021-09,4279.903634877047
2021-10,4357.652551879122
2021-11,4203.494903
2021-12,4276.261481232927
2022-01,4069.24610588806
2022-02,4051.3997487324277
2022-03,3966.473752346116
2022-04,3729.419010262386
2022-05,3752.8189811698417
2022-06,3637.33280343729
2022-07,3598.4991514230933
2022-08,3567.165034864888
2022-09,3142.44366232726
2022-10,2982.2928000155566
2022-11,3472.9405535179644
2022-12,3473.8072100844406
2023-01,3781.880960485487
2023-02,3544.2118469422776
2023-03,3625.5435937365028
2023-04,3562.3031424224646
2023-05,3448.616761133435
2023-06,3533.9498771218914
