Date,MSCI ACWI ex TURKEY
1998-12,1000.0
1999-01,1019.9493511702364
1999-02,993.7001201681692
1999-03,1039.2377715015414
1999-04,1083.9549139420196
1999-05,1046.6886575229717
1999-06,1099.468182816617
1999-07,1094.3329813170492
1999-08,1093.4857262013043
1999-09,1081.5416750223064
1999-10,1135.6234351230357
1999-11,1170.471806967239
1999-12,1266.654042235904
2000-01,1197.3961278427182
2000-02,1201.4451153418875
2000-03,1281.359298046161
2000-04,1223.2567910345713
2000-05,1192.9359147874143
2000-06,1233.7313097102467
2000-07,1197.0949810195284
2000-08,1235.076394162172
2000-09,1167.3089380671793
2000-10,1143.6304108468546
2000-11,1073.298014666705
2000-12,1090.682904542979
2001-01,1118.1262163322913
2001-02,1024.7520573869626
2001-03,955.9346856513475
2001-04,1025.243336440082
2001-05,1013.9642297827979
2001-06,982.6567702128624
2001-07,967.5982371989733
2001-08,923.1367762108614
2001-09,839.0214162228824
2001-10,856.7217484547641
2001-11,909.2809999870485
2001-12,917.6802519533338
2002-01,892.4644601207999
2002-02,886.052011474411
2002-03,926.0303640146366
2002-04,896.6852986719792
2002-05,898.0553538957296
2002-06,843.3108242156378
2002-07,772.5531590665285
2002-08,774.5691867396134
2002-09,689.6123429958312
2002-10,740.3607286549957
2002-11,780.7328381427862
2002-12,743.6267567508235
2003-01,721.8649391738172
2003-02,709.1948842463268
2003-03,706.614893134678
2003-04,769.6398397019045
2003-05,814.4173198214859
2003-06,830.0741228962432
2003-07,848.513696249526
2003-08,868.6120917422735
2003-09,874.11607730676
2003-10,927.0983654320944
2003-11,941.3257971163177
2003-12,1000.9203393684911
2004-01,1018.1090909312904
2004-02,1036.8410890028529
2004-03,1031.2280062570867
2004-04,1007.6818750058519
2004-05,1016.2605685884889
2004-06,1036.7546574909761
2004-07,1003.8067219936088
2004-08,1010.3172640235706
2004-09,1031.5598321039513
2004-10,1056.9805412660196
2004-11,1115.077185788547
2004-12,1158.4024588910684
2005-01,1133.9586446017013
2005-02,1173.7126335214807
2005-03,1148.4843608088238
2005-04,1124.0079594045858
2005-05,1145.746777526531
2005-06,1157.7607493018936
2005-07,1200.7865232689178
2005-08,1210.4320481116824
2005-09,1247.1101042476132
2005-10,1213.7959194825614
2005-11,1258.3761486228973
2005-12,1289.6196822057477
2006-01,1353.205026147787
2006-02,1351.6208655357107
2006-03,1380.9809390689927
2006-04,1427.6061207722628
2006-05,1373.0613820827984
2006-06,1373.1399791296978
2006-07,1382.7196674238762
2006-08,1419.211097491049
2006-09,1436.2324539049207
2006-10,1490.2043003705787
