Date,EM GCC COUNTRIES
2014-05,1000.0
2014-06,769.655600394214
2014-07,883.6474213147
2014-08,887.9778534222564
2014-09,926.548503046447
2014-10,871.6577134766201
2014-11,875.2298376360972
2014-12,788.332792110277
2015-01,747.0524106642387
2015-02,798.0983877084159
2015-03,755.3494833940583
2015-04,815.3756227205961
2015-05,764.9025459894469
2015-06,786.4581493249998
2015-07,774.7485784894305
2015-08,735.340092999176
2015-09,721.7443456000465
2015-10,708.4911608892639
2015-11,622.487326246737
2015-12,639.69641043826
2016-01,579.4301611237025
2016-02,638.5324990138744
2016-03,678.4782086093153
2016-04,690.4879793923529
2016-05,638.7191590951178
2016-06,661.6348421215214
2016-07,708.4662556673757
2016-08,722.539699389993
2016-09,704.7555507228735
2016-10,682.4522771681623
2016-11,662.9130757608615
2016-12,701.9788199954072
2017-01,708.8856286232661
2017-02,719.4890839612032
2017-03,716.6614152767788
2017-04,712.720392
2017-05,706.361532
2017-06,681.622146
2017-07,722.556862
2017-08,699.997749
2017-09,674.11223
2017-10,674.494286
2017-11,630.885457
2017-12,670.186466
2018-01,700.920431
2018-02,664.553411
2018-03,674.150494
2018-04,699.152962467175
2018-05,678.0311163287403
2018-06,670.521237899118
2018-07,729.5205765879745
2018-08,734.3583767345467
2018-09,728.0560048601363
2018-10,758.3575205531871
2018-11,751.3496960921234
2018-12,747.6717662744978
2019-01,773.9873656069201
2019-02,759.6887090461084
2019-03,759.0257793313814
2019-04,795.3700874542577
2019-05,734.9938875379517
2019-06,745.7442498827214
2019-07,758.8293552458665
2019-08,710.6394958221733
2019-09,707.2904881205448
2019-10,685.2960074105113
2019-11,688.2451754759154
2019-12,721.3271025979411
2020-01,705.3962148443674
2020-02,652.2619098055919
2020-03,556.0461275366105
2020-04,610.9249624414601
2020-05,614.2289763343705
2020-06,626.1501665726355
2020-07,636.4236195243286
2020-08,668.7480159427693
2020-09,679.7330311684873
2020-10,665.2032021529703
2020-11,722.3352984097261
2020-12,723.5085451601855
2021-01,747.2653195605985
2021-02,760.4399885188457
2021-03,816.7902792670131
2021-04,858.0212578423865
2021-05,867.1083009808295
2021-06,889.8419511117668
2021-07,899.6218231032556
2021-08,939.4735941428984
2021-09,960.1434994778526
2021-10,988.893701850805
2021-11,941.0221112320273
2021-12,975.2724979354408
2022-01,1048.5532565264082
2022-02,1088.1825586776147
2022-03,1156.3504233182346
2022-04,1194.884225506857
2022-05,1110.2521024670693
2022-06,1005.4318960423171
2022-07,1061.7982287246248
2022-08,1072.964845043346
2022-09,999.0201475426767
2022-10,1027.942489094914
2022-11,987.4036373166721
2022-12,938.0385167142766
2023-01,945.7041345259855
2023-02,905.2967420183129
2023-03,919.936990637605
2023-04,967.443199703581
2023-05,933.7117281631118
2023-06,958.4943655596243
