Date,EM VOTING RIGHTS-ADJUSTED
2007-11,922.7978261657889
2007-12,925.4463419067266
2008-01,807.7029443657406
2008-02,867.0660829125547
2008-03,820.7678712167844
2008-04,887.6354753390314
2008-05,899.3687432861439
2008-06,808.6394802700366
2008-07,780.4820892122427
2008-08,725.0349535958565
2008-09,598.1286392697236
2008-10,435.5363882456005
2008-11,401.5290995287531
2008-12,434.9421204197199
2009-01,406.32557455634975
2009-02,383.1966334645429
2009-03,439.36048173819586
2009-04,511.5814865425859
2009-05,598.7650481823478
2009-06,590.6787622673137
2009-07,658.3144289274377
2009-08,654.1670387291185
2009-09,713.1397060480223
2009-10,713.3673443954851
2009-11,741.7343580184966
2009-12,771.6774610369843
2010-01,731.5539456231921
2010-02,732.6346126983799
2010-03,791.9450755060248
2010-04,802.2282523352432
2010-05,732.1435143484971
2010-06,728.6084138221967
2010-07,787.1437667903243
2010-08,772.6425229458573
2010-09,859.0077007214607
2010-10,883.2511035409739
2010-11,860.9793746923579
2010-12,922.7782803535887
2011-01,899.3260670235126
2011-02,888.3240917347221
2011-03,941.9539463728744
2011-04,973.0091441547883
2011-05,948.7365022701888
2011-06,932.3749203389939
2011-07,932.429986918654
2011-08,846.2041406759267
2011-09,723.3458309991506
2011-10,816.7121233535798
2011-11,761.5983252024893
2011-12,751.9411038970667
2012-01,838.6469616536547
2012-02,889.104285497944
2012-03,858.8279529013292
2012-04,849.8015296651048
2012-05,755.4311032456454
2012-06,784.4856235856712
2012-07,799.4744918365001
2012-08,797.3295450975615
2012-09,848.3800029194871
2012-10,843.644673609609
2012-11,855.680279855762
2012-12,898.3245684537832
2013-01,908.164172100371
2013-02,898.2277720438506
2013-03,881.7322442090763
2013-04,889.0350269499994
2013-05,867.7278422307252
2013-06,813.2309133073492
2013-07,823.0396348046668
2013-08,810.5038779297421
2013-09,861.708378983606
2013-10,903.6032268071269
2013-11,891.1384704546117
2013-12,878.2801156025363
2014-01,822.3710555316777
2014-02,849.992130415462
2014-03,874.5195787310689
2014-04,877.1178673224533
2014-05,909.793482391942
2014-06,933.7549319203395
2014-07,950.8043504026659
2014-08,968.8588335541064
2014-09,901.2263389632807
2014-10,911.2358860270949
2014-11,901.6295738660311
2014-12,862.6932782497843
2015-01,869.2992851249966
2015-02,895.9665827192592
2015-03,885.5465281998777
2015-04,953.716207791526
2015-05,918.0329566181332
2015-06,892.9164312565133
2015-07,832.5354190138253
2015-08,757.955524974911
2015-09,736.6957260587343
2015-10,788.2727791530524
2015-11,757.0804540174357
2015-12,742.4640206179121
2016-01,694.463832791854
2016-02,692.9612377603751
2016-03,782.2097581827819
2016-04,786.0973404121945
2016-05,758.7244859251502
2016-06,789.4149293004676
2016-07,830.26994883587
2016-08,850.244469771022
2016-09,861.2172303547155
2016-10,859.9309154315678
2016-11,823.1632875663843
2016-12,825.3484913862593
2017-01,869.2614881520111
2017-02,895.6544362423352
2017-03,919.2974966508473
2017-04,937.7172728306607
2017-05,966.9646921119804
2017-06,979.1741535649766
2017-07,1034.2259143751985
2017-08,1056.92410561976
2017-09,1051.946591378718
2017-10,1091.7113117933854
2017-11,1093.3379887047156
2017-12,1133.2099010776285
2018-01,1225.3109618834249
2018-02,1166.6651170517114
2018-03,1148.051238525745
2018-04,1143.0988962506424
2018-05,1107.4070359925997
2018-06,1060.0651741466797
2018-07,1083.8530600952324
2018-08,1059.2308328707243
2018-09,1053.7068080740628
2018-10,959.1216352197017
2018-11,1000.0
2018-12,974.1413455949546
2019-01,1055.3592061505974
2019-02,1060.1876888238617
2019-03,1070.2905689254783
2019-04,1092.9567609992303
2019-05,1015.1143419734475
2019-06,1078.6777512797812
2019-07,1067.0979198269204
2019-08,1015.5196496077199
2019-09,1036.1395367367033
2019-10,1079.30033909467
2019-11,1078.3385315213657
2019-12,1158.091080920954
2020-01,1103.9589421958494
2020-02,1046.3449117410855
2020-03,888.2201658698428
2020-04,971.7888914361965
2020-05,975.6361671458044
2020-06,1044.7860355041862
2020-07,1140.3383173911789
2020-08,1162.7027784234965
2020-09,1146.1685030228884
2020-10,1166.337394349074
2020-11,1268.582782399035
2020-12,1360.3616692285432
2021-01,1401.628893057331
2021-02,1414.490963249032
2021-03,1401.8364286196534
2021-04,1441.057448826028
2021-05,1477.7008949811807
2021-06,1477.0827762921112
2021-07,1388.2884863271463
2021-08,1426.0326733983572
2021-09,1372.5109767557121
2021-10,1384.042403482796
2021-11,1327.750112
2021-12,1358.3832246971845
2022-01,1332.6577350036366
2022-02,1295.3455940852427
2022-03,1267.2298234889822
2022-04,1196.2408809739193
2022-05,1199.0895503575
2022-06,1115.5964245881205
2022-07,1116.4940444308513
2022-08,1120.589369382553
2022-09,990.3128483400442
2022-10,964.3475763513746
2022-11,1104.788667861957
2022-12,1088.9621281580407
2023-01,1173.9470192567758
2023-02,1100.410701470427
2023-03,1134.6470281745737
2023-04,1124.8900076692341
2023-05,1108.1300414496288
2023-06,1147.5324368059764
