Date,MSCI ACWI WITH BRAZIL ADR
2003-05,1000.0
2003-06,1019.2390698750826
2003-07,1041.8135414549101
2003-08,1066.5374305576247
2003-09,1073.4417945446908
2003-10,1138.420260114358
2003-11,1155.782945948568
2003-12,1229.0934350600253
2004-01,1250.2417176108577
2004-02,1273.3046617105592
2004-03,1266.4562896697444
2004-04,1237.4549607123818
2004-05,1247.9233280712695
2004-06,1273.1423262460328
2004-07,1232.5903652768227
2004-08,1240.5790824180754
2004-09,1266.6744274716245
2004-10,1297.942142069866
2004-11,1369.2002727074216
2004-12,1422.5570767703978
2005-01,1392.6976690261208
2005-02,1441.421164224633
2005-03,1410.3006357297738
2005-04,1380.1938110371336
2005-05,1406.9546686965418
2005-06,1421.8427714364507
2005-07,1474.7275511289454
2005-08,1486.5320018250975
2005-09,1531.305597417071
2005-10,1490.5373087116657
2005-11,1545.4225547751141
2005-12,1583.9861464988749
2006-01,1662.0551011011323
2006-02,1659.884178844914
2006-03,1695.8557098273227
2006-04,1752.9619345123333
2006-05,1685.747052341658
2006-06,1685.4449829293794
2006-07,1697.3819865711248
2006-08,1742.2192683244366
2006-09,1763.0943818190963
2006-10,1829.5330579332417
2006-11,1882.0434670699847
2006-12,1924.2813279532566
2007-01,1943.9631955882066
2007-02,1934.358376903313
2007-03,1973.7215480114305
2007-04,2062.4652056231976
2007-05,2125.5503676368953
2007-06,2119.701115087642
2007-07,2087.7918311015083
2007-08,2083.2337791979435
2007-09,2195.523984913129
2007-10,2281.385144736564
2007-11,2181.4676752433656
2007-12,2157.7309348142794
2008-01,1982.2810731859595
2008-02,1987.406807174644
2008-03,1959.628395932191
2008-04,2069.8825831756485
2008-05,2103.2875115679526
2008-06,1931.253110596874
2008-07,1882.1244303635006
2008-08,1843.4647881058997
2008-09,1615.5077668312642
2008-10,1295.942249011385
2008-11,1211.6201354365926
2008-12,1256.6154383704563
2009-01,1148.9952751225105
2009-02,1036.9848761373978
2009-03,1122.674853480226
2009-04,1255.7400711561081
2009-05,1381.9245590686457
2009-06,1374.7748584272813
2009-07,1496.0937000332972
2009-08,1550.0340323330033
2009-09,1621.3370348023163
2009-10,1596.392414136593
2009-11,1663.0478545128653
2009-12,1697.6845696856826
2010-01,1624.703271500195
2010-02,1645.9342981503412
2010-03,1752.6691228524737
2010-04,1756.3332473122982
2010-05,1590.7710592349176
2010-06,1542.7385666727546
2010-07,1668.0918074694257
2010-08,1610.2235171664627
2010-09,1765.1644965019416
2010-10,1829.3942485529747
2010-11,1790.0505929247613
2010-12,1922.3613403753939
2011-01,1953.9695259657553
2011-02,2011.5122968634057
2011-03,2009.6202493177489
2011-04,2093.588125935813
2011-05,2050.5508904844933
2011-06,2018.8244985130054
2011-07,1987.1286905127374
2011-08,1842.3250103609341
2011-09,1670.012253869197
2011-10,1848.2936187111845
2011-11,1794.8760911695654
2011-12,1792.1307747221426
2012-01,1895.3825633386436
2012-02,1991.1676366408965
2012-03,2006.5285410555393
2012-04,1985.3177724424302
2012-05,1809.9469629442315
2012-06,1900.6804583488033
2012-07,1927.1299803897564
2012-08,1970.0853162653548
2012-09,2033.0359624708417
2012-10,2019.8987736565693
2012-11,2046.931905569541
2012-12,2094.0652333816065
2013-01,2190.969945553868
2013-02,2191.546633551874
2013-03,2233.343662223856
2013-04,2298.9923315636156
2013-05,2295.300041269296
2013-06,2230.17565087944
2013-07,2338.5167328568914
2013-08,2290.953117348284
2013-09,2409.5172640146143
2013-10,2506.419793939493
2013-11,2544.164600058051
2013-12,2589.8623101462176
2014-01,2487.2694467355186
2014-02,2608.827012691195
2014-03,2620.2856693622944
2014-04,2646.6213156360836
2014-05,2705.607575097987
2014-06,2757.0489511265664
2014-07,2724.5526838756596
2014-08,2784.522073654717
2014-09,2697.834877694926
2014-10,2716.8376687551263
2014-11,2764.303654462613
2014-12,2712.9665897667196
2015-01,2671.4404783926307
2015-02,2821.9833168371106
2015-03,2780.562036249114
2015-04,2861.6653444293734
2015-05,2861.209973503318
2015-06,2794.3792251448203
2015-07,2820.808602328462
2015-08,2629.3505894865198
2015-09,2535.767819237482
2015-10,2735.462534867651
2015-11,2714.250091912064
2015-12,2666.4569797208387
2016-01,2506.3348981034233
2016-02,2489.9968355818237
2016-03,2674.962506628559
2016-04,2715.7350463402654
2016-05,2722.17254909475
2016-06,2705.6877633422296
2016-07,2822.702553803215
2016-08,2833.7842334843613
2016-09,2852.541337813327
2016-10,2803.6030726871686
2016-11,2827.879234537057
2016-12,2889.7724491611907
2017-01,2969.1630864985977
2017-02,3053.4184973504666
2017-03,3093.5294414822024
2017-04,3143.0473019326455
2017-05,3215.861242262165
2017-06,3232.0541406778602
2017-07,3322.7603860945587
2017-08,3336.539246178338
2017-09,3401.8645072841177
2017-10,3474.1037820028223
2017-11,3543.396895870168
2017-12,3601.812809789755
2018-01,3804.569141047061
2018-02,3646.3726813965327
2018-03,3570.6334655910773
2018-04,3607.4755678484453
2018-05,3617.046548523902
2018-06,3599.4245994379557
2018-07,3708.6369413075136
2018-08,3740.916319146486
2018-09,3757.982061617591
2018-10,3474.688903711729
2018-11,3527.502852846676
2018-12,3279.614542483304
2019-01,3538.137057968904
2019-02,3635.306710241701
2019-03,3684.24829888684
2019-04,3811.174537779919
2019-05,3586.7204609850587
2019-06,3823.3803753429197
2019-07,3834.7793252414986
2019-08,3746.3381597095686
2019-09,3826.9040139255076
2019-10,3932.0629126154004
2019-11,4030.5648909569154
2019-12,4172.894559592433
2020-01,4128.092462910012
2020-02,3797.0358369567716
2020-03,3290.608740754899
2020-04,3644.9583204401956
2020-05,3805.359529183594
2020-06,3928.1644288126163
2020-07,4135.892968556494
2020-08,4392.675492766446
2020-09,4253.428312966584
2020-10,4151.131642264988
2020-11,4664.008656635183
2020-12,4881.391752411983
2021-01,4861.159993088365
2021-02,4976.402661523677
2021-03,5112.414894220136
2021-04,5338.025718595472
2021-05,5423.245353832736
2021-06,5496.274091
2021-07,5536.430221765892
2021-08,5677.4523789247105
2021-09,5446.744306767628
2021-10,5728.022043919604
2021-11,5591.980256
2021-12,5817.863792221505
2022-01,5531.6575943050275
2022-02,5389.990199199797
2022-03,5508.035094218614
2022-04,5070.4536572254265
2022-05,5079.20466523327
2022-06,4654.58080092906
2022-07,4981.367058317415
2022-08,4798.680162555379
2022-09,4340.687182265338
2022-10,4602.944228759195
2022-11,4964.445832085836
2022-12,4770.789309273807
2023-01,5114.1026950119585
2023-02,4970.157900379869
2023-03,5127.093753115645
2023-04,5202.649701583098
2023-05,5150.31838035877
2023-06,5450.486203594697
