Date,MSCI ACWI ex THAILAND
1998-12,1000.0
1999-01,1019.8856842605139
1999-02,994.0340795255205
1999-03,1039.655524337293
1999-04,1084.0692489768621
1999-05,1046.7411691822483
1999-06,1099.185005048401
1999-07,1094.4627333691292
1999-08,1093.4560809527609
1999-09,1082.010485145812
1999-10,1136.0023320409364
1999-11,1171.0841796607647
1999-12,1268.1760063953802
2000-01,1199.0496511657684
2000-02,1203.4028342378201
2000-03,1283.0538137180517
2000-04,1225.6396164290165
2000-05,1195.2007967762313
2000-06,1235.6384278942216
2000-07,1199.0960234872384
2000-08,1236.7369197406572
2000-09,1168.786634553298
2000-10,1145.4427846556375
2000-11,1074.3176144352547
2000-12,1091.887653073833
2001-01,1119.337132273244
2001-02,1025.220876963328
2001-03,956.3534499738895
2001-04,1026.0548625479419
2001-05,1014.6131740394161
2001-06,983.209186598488
2001-07,968.0771020270585
2001-08,923.4056870081231
2001-09,839.1642390537678
2001-10,857.0248352178961
2001-11,909.6614047059255
2001-12,918.205389617097
2002-01,892.9135126358385
2002-02,886.2764272904284
2002-03,926.3368434134769
2002-04,896.9643522066107
2002-05,898.132353588533
2002-06,843.319481560279
2002-07,772.5811305223233
2002-08,774.5977733809676
2002-09,689.6362083531084
2002-10,740.4061634174957
2002-11,780.9161963308308
2002-12,743.6666142222377
2003-01,721.888726684399
2003-02,709.262745611189
2003-03,706.5645294950228
2003-04,769.6897324834611
2003-05,814.4461776841584
2003-06,830.028675438696
2003-07,848.4451884538665
2003-08,868.5184552476786
2003-09,874.0199045615789
2003-10,927.0408411849402
2003-11,941.2094395989046
2003-12,1000.6682626591801
2004-01,1017.9644071001366
2004-02,1036.7527813427776
2004-03,1031.2744040678656
2004-04,1007.5825899617596
2004-05,1016.106415515012
2004-06,1036.6589057795052
2004-07,1003.7962819013624
2004-08,1010.3311053629467
2004-09,1031.5978660327326
2004-10,1057.0971287879013
2004-11,1115.1012302078577
2004-12,1158.5612186896171
2005-01,1134.1391981564325
2005-02,1173.885762113058
2005-03,1148.617947682265
2005-04,1124.0635299559688
2005-05,1145.942078396734
2005-06,1158.051324286279
2005-07,1201.212407792096
2005-08,1210.8266549591992
2005-09,1247.5805005247719
2005-10,1214.2763008807563
2005-11,1259.1853247126294
2005-12,1290.362756915693
2006-01,1354.0380556492041
2006-02,1352.6579938486418
2006-03,1381.7534745224991
2006-04,1428.354472180373
2006-05,1373.3409672464054
2006-06,1373.373814031169
2006-07,1383.0180252882076
2006-08,1419.5843141938085
2006-09,1436.5138856548103
2006-10,1490.6073796897456
2006-11,1533.4432605343166
2006-12,1568.2987700007645
2007-01,1584.2591749237909
2007-02,1576.4045199685286
2007-03,1608.784776490905
2007-04,1681.0627066530183
2007-05,1732.5398678014412
2007-06,1727.9598977294177
2007-07,1701.6240179639085
2007-08,1697.7813564389526
2007-09,1789.4531376590612
2007-10,1859.4584097464062
2007-11,1778.0671546488836
2007-12,1758.769371119344
2008-01,1615.0806963652315
2008-02,1620.0754453701632
2008-03,1597.052624511612
2008-04,1687.4200974511207
2008-05,1715.8418018661444
2008-06,1575.5989497565106
2008-07,1535.4417134345535
2008-08,1502.9387990215491
2008-09,1315.6891538677776
2008-10,1055.5560278126281
2008-11,986.8490088434794
2008-12,1022.9901692135489
2009-01,935.8324154123443
2009-02,844.712335582701
2009-03,914.8169620281402
2009-04,1023.553412124596
2009-05,1126.653846458561
2009-06,1120.6033594037347
2009-07,1219.7307292327134
2009-08,1263.8861535554313
2009-09,1322.1181966874512
2009-10,1302.0631409521302
2009-11,1356.2672222679591
2009-12,1384.6355193136585
2010-01,1325.0921298415676
2010-02,1342.3914946345026
2010-03,1429.217280978663
2010-04,1432.4431053975727
2010-05,1297.7243626424063
2010-06,1258.0358380374803
2010-07,1360.8514979986796
2010-08,1313.4742770911876
2010-09,1439.4584467322568
2010-10,1491.8328956901971
2010-11,1459.1670949277207
2010-12,1566.5890866767454
2011-01,1591.914111924727
2011-02,1638.826130347372
2011-03,1637.584580749101
2011-04,1705.4225327402469
2011-05,1670.443025740202
2011-06,1644.868508987373
2011-07,1618.1261596542242
2011-08,1500.5881577521732
2011-09,1359.7559452615055
2011-10,1505.7447564523561
2011-11,1461.4247857255918
2011-12,1458.8859312332688
2012-01,1544.0352576729515
2012-02,1622.2193796886197
2012-03,1633.8323310992394
2012-04,1616.0002785100653
2012-05,1472.679025520165
2012-06,1546.2188414747536
2012-07,1567.8480256626667
2012-08,1602.7961956024524
2012-09,1653.7463810420045
2012-10,1643.1997127698326
2012-11,1664.9967199573168
2012-12,1703.320654547314
2013-01,1782.2108182755999
2013-02,1782.6007178804496
2013-03,1816.0601468343934
2013-04,1869.1417326585567
2013-05,1865.99562046958
2013-06,1812.3446673148026
2013-07,1900.1371336628722
2013-08,1861.8456464210346
2013-09,1958.4968289655976
2013-10,2037.5260092003866
2013-11,2067.8291083169347
2013-12,2104.714846213111
2014-01,2020.9019181514811
2014-02,2119.5558245397415
2014-03,2129.8908273902166
2014-04,2151.128675675433
2014-05,2199.030348095283
2014-06,2241.1429464164726
2014-07,2214.4848159143608
2014-08,2264.133174153043
2014-09,2191.3777403882555
2014-10,2207.3749382678816
2014-11,2245.2644391920244
2014-12,2203.1851185540277
2015-01,2168.9585860788598
2015-02,2290.9780173356476
2015-03,2256.858498623227
2015-04,2323.6033382441415
2015-05,2322.588839243543
2015-06,2268.793872883107
2015-07,2289.793321539957
2015-08,2133.701747197171
2015-09,2057.4198927016146
2015-10,2219.5569938074364
2015-11,2202.3484529759958
2015-12,2163.825740051449
2016-01,2033.406205860485
2016-02,2020.3261800872406
2016-03,2171.4367590692686
2016-04,2204.810328874151
2016-05,2209.4565641232803
2016-06,2197.117443557878
2016-07,2292.3133767621584
2016-08,2300.9554682386124
2016-09,2316.2974801544933
2016-10,2277.571842368769
2016-11,2296.123138420741
2016-12,2346.6443025875456
2017-01,2411.2549359981485
2017-02,2480.1002049199797
2017-03,2511.9269833930653
2017-04,2552.327619
2017-05,2611.012851
2017-06,2623.925823
2017-07,2698.215187
2017-08,2709.601258
2017-09,2762.893289
2017-10,2820.874829
2017-11,2876.78652
2017-12,2923.883951
2018-01,3089.223347
2018-02,2960.121509
2018-03,2898.503457
2018-04,2927.925212312265
2018-05,2934.544044688756
2018-06,2920.6293020767444
2018-07,3009.3046487950737
2018-08,3034.1832095181103
2018-09,3048.4116263295364
2018-10,2820.6203445930014
2018-11,2863.3504377378035
2018-12,2662.504575
2019-01,2873.4183591232477
2019-02,2951.8433784533954
2019-03,2991.045155147574
2019-04,3093.737150085805
2019-05,2912.464382190387
2019-06,3104.2336602780883
2019-07,3114.7158827086837
2019-08,3042.2676545626746
2019-09,3108.003934127397
2019-10,3194.3128915321054
2019-11,3273.9375721738593
2019-12,3390.8705020534603
2020-01,3355.066866005803
2020-02,3085.782457249846
2020-03,2671.4004170138005
2020-04,2958.5466406975333
2020-05,3089.0062668829
2020-06,3189.153591766756
2020-07,3359.8182610977483
2020-08,3567.4389996461196
2020-09,3454.262980972859
2020-10,3371.1302566270806
2020-11,3786.9827294549486
2020-12,3964.375171869553
2021-01,3947.2525959430486
2021-02,4039.908075623183
2021-03,4149.9842349323835
2021-04,4333.691240379131
2021-05,4403.6826643487075
2021-06,4463.61313
2021-07,4496.369520115561
2021-08,4609.545832458414
2021-09,4421.37754528153
2021-10,4648.377813828139
2021-11,4538.175634
2021-12,4720.959319657442
2022-01,4489.531971872227
2022-02,4374.217165010777
2022-03,4471.867436796145
2022-04,4115.29812584949
2022-05,4122.844240274318
2022-06,3777.0022526036487
2022-07,4042.8478313965184
2022-08,3894.8186296060076
2022-09,3523.3112799099263
2022-10,3737.2419103685056
2022-11,4028.5920071671303
2022-12,3870.9482469287295
2023-01,4149.711892799461
2023-02,4032.8804683611424
2023-03,4159.9072503644475
2023-04,4222.145123617423
2023-05,4180.123760820715
2023-06,4425.39527282363
