Date,MSCI ARABIAN MARKETS DOMESTIC
2002-05,259.44613366043296
2002-06,270.3581424284091
2002-07,269.7405865722263
2002-08,273.2761831608914
2002-09,268.11594620208604
2002-10,266.84922088746004
2002-11,268.53885396653857
2002-12,279.721465553396
2003-01,282.67959848643045
2003-02,277.31388195470606
2003-03,292.65337860954577
2003-04,317.3709667883916
2003-05,337.3365766924851
2003-06,358.7068303660181
2003-07,381.16800311650553
2003-08,402.6224619547609
2003-09,414.8968291988622
2003-10,406.2649694785192
2003-11,421.7971868109433
2003-12,434.6811162158191
2004-01,446.81627035582983
2004-02,451.5097845224132
2004-03,455.24349005931873
2004-04,463.5553893937783
2004-05,466.0135196458748
2004-06,473.08655810384084
2004-07,501.6326343346832
2004-08,509.20018351395345
2004-09,530.9523818554899
2004-10,564.102328992975
2004-11,634.5869671013407
2004-12,645.5708705721638
2005-01,687.1603249120761
2005-02,785.7403885922204
2005-03,894.892906881926
2005-04,908.4823340089779
2005-05,894.7816682737072
2005-06,1056.4698886669164
2005-07,1010.9111581145587
2005-08,1171.9812247629288
2005-09,1227.527940576633
2005-10,1245.3012451123675
2005-11,1235.646920269257
2005-12,1256.848731810271
2006-01,1340.2181680100628
2006-02,1302.7542850064742
2006-03,1160.1435616442145
2006-04,994.8846901764925
2006-05,876.5335957453688
2006-06,944.0987278448092
2006-07,848.5000832979232
2006-08,882.6216890706244
2006-09,889.8310459018254
2006-10,840.5018759481106
2006-11,742.3477354960027
2006-12,759.5723438771571
2007-01,731.9822738881497
2007-02,777.9183235194979
2007-03,776.7139924167774
2007-04,796.9788921360317
2007-05,866.118926009862
2007-06,850.2160495606075
2007-07,885.0637516720274
2007-08,895.4857483991906
2007-09,913.6776425483032
2007-10,989.0662618226307
2007-11,1000.0000000000001
2007-12,1104.609139260246
2008-01,1059.8493464762394
2008-02,1126.5340970305194
2008-03,1050.353191562549
2008-04,1130.8809362546983
2008-05,1108.6030239213358
2008-06,1096.0166249628887
2008-07,1060.4373757523365
2008-08,1001.6611525741228
2008-09,864.62138875
2008-10,656.2763315320481
2008-11,539.561095519528
2008-12,527.3895818543064
2009-01,467.39518588316474
2009-02,441.3285015382439
2009-03,476.632638634901
2009-04,546.8316025536653
2009-05,600.0115483241393
2009-06,608.155192036711
2009-07,632.7599175345833
2009-08,655.1549128344319
2009-09,690.6273660675779
2009-10,684.7766911106447
2009-11,646.421425457377
2009-12,636.0718045527944
2010-01,628.6331008867812
2010-02,664.1952290544712
2010-03,715.6272923475966
2010-04,729.0334818139564
2010-05,652.88937872
2010-06,642.2898686178571
2010-07,670.7845589633415
2010-08,674.0115100937986
2010-09,718.9364401750408
2010-10,731.4778779547838
2010-11,730.5332933495465
2010-12,768.0993072072163
2011-01,735.6359699685058
2011-02,696.2577916516651
2011-03,735.8226359154351
2011-04,768.383323530403
2011-05,753.290580594574
2011-06,739.6136867491103
2011-07,725.828686889047
2011-08,695.5203450986301
2011-09,691.4874401865954
2011-10,707.4744452157495
2011-11,690.1323481491439
2011-12,699.272795983445
2012-01,717.3293641569919
2012-02,763.7198842086892
2012-03,800.7474642689986
2012-04,792.0372723483174
2012-05,747.8938067733338
2012-06,724.0810717025471
2012-07,741.0785461794221
2012-08,762.1111324444981
2012-09,759.2249475460809
2012-10,756.9553206974166
2012-11,741.2919777891472
2012-12,757.1903575253905
2013-01,793.1089510696638
2013-02,788.4424350849213
2013-03,804.1660165097437
2013-04,822.8892502372388
2013-05,854.2550687506713
2013-06,842.0843394787411
2013-07,896.3968266874167
2013-08,879.9801700153088
2013-09,903.3663964510279
2013-10,923.3212729200317
2013-11,947.1412734005362
2013-12,978.4718789990568
2014-01,1018.343678923136
2014-02,1067.0247803664583
2014-03,1106.1640453786338
2014-04,1142.3444997744705
2014-05,1191.3993749517008
2014-06,1089.7060233791917
2014-07,1197.1879448767434
2014-08,1265.5175996543655
2014-09,1262.9954493797227
2014-10,1180.649708496756
2014-11,1107.8562314360997
2014-12,1013.9000866715575
2015-01,1036.7189725151604
2015-02,1091.7876326532112
2015-03,1034.2151922726857
2015-04,1150.8632912520031
2015-05,1117.6181190114664
2015-06,1081.5395822008254
2015-07,1085.5954604755595
2015-08,960.5477387673526
2015-09,944.6049569252149
2015-10,920.6240274500309
2015-11,888.8884519540735
2015-12,873.9472944312997
2016-01,765.7646884008922
2016-02,814.2789542325803
2016-03,844.2371024920852
2016-04,899.6370408398253
2016-05,854.0961042258363
2016-06,858.6554585272719
2016-07,874.9060567180011
2016-08,868.1388679656066
2016-09,834.9187838791255
2016-10,864.4147779878809
2016-11,912.9651296127455
2016-12,951.2743838263223
2017-01,965.0397866585173
2017-02,961.0030811141402
2017-03,956.809398880021
2017-04,953.335295
2017-05,955.140039
2017-06,997.663341
2017-07,993.423486
2017-08,1009.098854
2017-09,1003.714246
2017-10,979.491093
2017-11,969.356362
2017-12,995.882849
2018-01,1053.613029
2018-02,1026.624043
2018-03,1082.230551
2018-04,1124.5987408092747
2018-05,1122.3756058494923
2018-06,1133.7378973745315
2018-07,1168.9682535536774
2018-08,1142.4907704017544
2018-09,1138.0113936898051
2018-10,1142.8119810216836
2018-11,1119.0023449480982
2018-12,1128.7264354144215
2019-01,1210.360542731262
2019-02,1207.558594529053
2019-03,1249.4140335577329
2019-04,1326.9427337562447
2019-05,1246.5753407243915
2019-06,1275.4378701098587
2019-07,1295.0351447226149
2019-08,1217.8910298359287
2019-09,1205.9154729500035
2019-10,1178.9386706703626
2019-11,1188.2986717612291
2019-12,1250.6947059246509
2020-01,1234.9279936493508
2020-02,1149.798043922827
2020-03,956.7757852233633
2020-04,1045.9575168539427
2020-05,1046.918674595074
2020-06,1073.0205366521666
2020-07,1087.367809420623
2020-08,1154.2846492826177
2020-09,1176.4074928110308
2020-10,1155.968588230242
2020-11,1249.8388745541836
2020-12,1256.4118666741965
