Date,MSCI HONG KONG-LISTED SOUTHBOUND + CHINA A
2004-11,1000.0
2004-12,995.4329061120229
2005-01,959.9215797615047
2005-02,1006.8412303691891
2005-03,946.7336270354501
2005-04,961.2798619737107
2005-05,953.5720823712771
2005-06,978.1592699803265
2005-07,1018.2908068289398
2005-08,1020.9619543996657
2005-09,1047.6770086666052
2005-10,983.9424481815646
2005-11,1018.6858705375773
2005-12,1037.5571669934884
2006-01,1115.1050613061361
2006-02,1142.0617253274381
2006-03,1154.2400325450844
2006-04,1212.9273903747526
2006-05,1219.67677006422
2006-06,1235.207255131053
2006-07,1246.6521269317102
2006-08,1278.9561540600187
2006-09,1308.2637111217518
2006-10,1363.3743470634051
2006-11,1464.1935243786152
2006-12,1600.0361227668686
2007-01,1637.9521369138724
2007-02,1634.2434223470675
2007-03,1704.540722824785
2007-04,1888.4735543616155
2007-05,2010.4649759988959
2007-06,2047.8730580465433
2007-07,2274.8022080060273
2007-08,2457.618936086856
2007-09,2729.6667612477736
2007-10,2970.591642031078
2007-11,2601.0039250073414
2007-12,2689.857482168796
2008-01,2303.476595155536
2008-02,2405.0300445324647
2008-03,2137.762124733149
2008-04,2323.8088828738764
2008-05,2215.711252160599
2008-06,1897.1201872676206
2008-07,1939.5047016714332
2008-08,1758.6228065528626
2008-09,1538.1826919871478
2008-10,1176.3391724027604
2008-11,1220.293724899699
2008-12,1247.9840302621783
2009-01,1232.931937407953
2009-02,1229.3976293991172
2009-03,1359.0234353986696
2009-04,1508.5960211211345
2009-05,1710.7837837577463
2009-06,1815.8519523321493
2009-07,2081.4807560050026
2009-08,1826.240830166182
2009-09,1941.4324792515295
2009-10,2052.3209243341043
2009-11,2139.398863644047
2009-12,2157.0555408643695
2010-01,1973.7294197472986
2010-02,2027.5757363325301
2010-03,2078.323671423979
2010-04,2003.2827889201062
2010-05,1848.9228123752837
2010-06,1808.9774889354467
2010-07,1964.0196299973975
2010-08,1962.6657000751031
2010-09,2096.2819727371516
2010-10,2255.7293338964796
2010-11,2192.2903145559394
2010-12,2191.638535920062
2011-01,2174.227619727412
2011-02,2228.8988016758135
2011-03,2245.0074176876933
2011-04,2265.9985678934154
2011-05,2205.959324446
2011-06,2182.271007942611
2011-07,2171.915276383095
2011-08,2031.8014945019052
2011-09,1763.7972290596372
2011-10,1936.6887747407434
2011-11,1781.1612920156822
2011-12,1747.8516328855305
2012-01,1880.1835386371254
2012-02,2021.9729567894278
2012-03,1899.4795222063976
2012-04,1982.2595051047147
2012-05,1864.4316788763767
2012-06,1862.2304860862826
2012-07,1828.9021914901011
2012-08,1782.2330224731036
2012-09,1894.9762767601242
2012-10,1939.859306006877
2012-11,1923.8748977333903
2012-12,2090.3464729456987
2013-01,2211.5139286528624
2013-02,2174.3141043104765
2013-03,2074.1862254045345
2013-04,2088.1110350498006
2013-05,2149.376397162863
2013-06,1941.8616524595316
2013-07,2009.4585210239609
2013-08,2057.690069407765
2013-09,2156.9130653512716
2013-10,2172.362475428912
2013-11,2245.8298223113907
2013-12,2182.5905554243054
2014-01,2064.8682638506643
2014-02,2086.750810683718
2014-03,2037.4563537167107
2014-04,2025.9565361997736
2014-05,2090.457610689003
2014-06,2126.46236476496
2014-07,2304.6030424882792
2014-08,2309.5165715596586
2014-09,2267.5911221282763
2014-10,2351.7223655868684
2014-11,2459.007500279768
2014-12,2663.41511029362
2015-01,2672.479354023039
2015-02,2745.5847383983987
2015-03,2984.9967669501066
2015-04,3457.3472874727436
2015-05,3503.5327437577075
2015-06,3270.4276819254064
2015-07,2902.8370075507014
2015-08,2516.9268953709434
2015-09,2418.616345856999
2015-10,2672.6150395327836
2015-11,2639.034392196257
2015-12,2678.7996296421766
2016-01,2157.3061648158023
2016-02,2111.685139214072
2016-03,2373.389176443252
2016-04,2347.5757740806657
2016-05,2315.748534310892
2016-06,2336.890414653785
2016-07,2411.9558103964846
2016-08,2522.2045574626877
2016-09,2513.9156795811905
2016-10,2512.0334706820813
2016-11,2551.440996924801
2016-12,2413.9132478560014
2017-01,2512.0977771270673
2017-02,2572.389504701151
2017-03,2586.6156433046276
2017-04,2588.75088
2017-05,2646.511065
2017-06,2758.173018
2017-07,2897.605914
2017-08,3002.044306
2017-09,3016.599632
2017-10,3106.364371
2017-11,3103.097158
2017-12,3165.910553
2018-01,3433.461293
2018-02,3219.335701
2018-03,3135.7937181431157
2018-04,3071.4142971569486
2018-05,3057.2936559937957
2018-06,2814.55082629959
2018-07,2763.892243779845
2018-08,2640.298011395973
2018-09,2660.7278125272333
2018-10,2383.329027021398
2018-11,2499.823919301992
2018-12,2415.3387410315704
2019-01,2616.630277637945
2019-02,2834.956760687187
2019-03,2947.3741844945253
2019-04,2983.589348386807
2019-05,2715.5958420539473
2019-06,2883.610980573666
2019-07,2869.8614464306866
2019-08,2710.4477814254305
2019-09,2739.4550239859536
2019-10,2823.5795906303065
2019-11,2792.6164436231966
2019-12,3021.5352280695984
2020-01,2930.648009186097
2020-02,2914.3245005746567
2020-03,2669.552944235783
2020-04,2839.410679196735
2020-05,2759.630689821764
2020-06,3024.7169448100635
2020-07,3341.110532947257
2020-08,3472.167452746544
2020-09,3300.998838024408
2020-10,3436.8694726180997
2020-11,3680.556885066667
2020-12,3877.8740871300092
2021-01,4057.4898633279954
2021-02,4057.2034445340623
2021-03,3861.700318169807
2021-04,3982.105710584866
2021-05,4177.328485128415
2021-06,4099.191143218507
2021-07,3805.267490181858
2021-08,3860.0870314245676
2021-09,3798.516824099295
2021-10,3873.345659430435
2021-11,3808.295416
2021-12,3822.1774648608994
2022-01,3612.4725250014294
2022-02,3616.6781044355507
2022-03,3332.846372331529
2022-04,3066.8093126458966
2022-05,3147.609343463816
2022-06,3379.9438132658684
