Date,ACWI FM ex USA
2002-05,401.7237257097321
2002-06,384.2061828459797
2002-07,347.53313890385357
2002-08,348.20428300364074
2002-09,311.3191813082207
2002-10,328.3050882106122
2002-11,343.822926941196
2002-12,332.6872467733034
2003-01,320.5390512634804
2003-02,314.3702131252604
2003-03,308.2442648793043
2003-04,337.6567156099157
2003-05,358.7877591752788
2003-06,368.39762334275724
2003-07,377.56839456306784
2003-08,388.17999532603017
2003-09,399.04924961581736
2003-10,424.49305573324267
2003-11,433.4866741823318
2003-12,466.43203376143595
2004-01,473.6992225760773
2004-02,485.7067694041709
2004-03,488.73580652575845
2004-04,473.47758835355893
2004-05,475.3660272985116
2004-06,485.35453381819343
2004-07,471.2588200009689
2004-08,475.03271176426085
2004-09,489.79123242963453
2004-10,507.16718529905154
2004-11,541.450028772024
2004-12,564.4474726432277
2005-01,554.100107223258
2005-02,581.4670474372537
2005-03,566.5116145858013
2005-04,553.4066131376392
2005-05,556.6988766921158
2005-06,567.8163797788985
2005-07,588.4650726603659
2005-08,603.8476792148367
2005-09,635.3411850280668
2005-10,613.4294472222513
2005-11,633.424141148162
2005-12,663.281555576622
2006-01,708.3633418082158
2006-02,705.9595807463788
2006-03,725.2674119763159
2006-04,762.2125772470891
2006-05,728.1485500496351
2006-06,727.8659080566097
2006-07,736.250121322839
2006-08,757.2750715049597
2006-09,757.3910231871063
2006-10,787.8937066945505
2006-11,814.91299774647
2006-12,839.8670736919461
2007-01,842.4969939780633
2007-02,847.79540183396
2007-03,870.6634802512891
2007-04,910.8712261244442
2007-05,936.2389355946061
2007-06,944.436089017884
2007-07,941.9840197418633
2007-08,927.4843136018524
2007-09,988.9550520960028
2007-10,1044.728874887001
2007-11,1000.0
2007-12,985.5475706893702
2008-01,890.6896330465438
2008-02,916.7488734816342
2008-03,896.5926770500232
2008-04,951.7630586620324
2008-05,969.1392610253496
2008-06,890.3759490510007
2008-07,858.6066345276442
2008-08,818.3275871675311
2008-09,695.7969653017922
2008-10,542.4454154071288
2008-11,510.90260397955905
2008-12,539.2887116643141
2009-01,491.3109622678639
2009-02,445.7110892300806
2009-03,481.70194108450573
2009-04,547.8434606193792
2009-05,623.0321929385328
2009-06,616.5750667625474
2009-07,676.5803113172011
2009-08,701.8699991647973
2009-09,737.9318447246807
2009-10,728.7435836249583
2009-11,749.2361461930949
2009-12,764.9976570089016
2010-01,727.8642777515958
2010-02,728.2865862181948
2010-03,778.2654116787727
2010-04,771.9980983708765
2010-05,691.6934358966072
2010-06,683.0320566829045
2010-07,744.7269853550301
2010-08,724.597567826951
2010-09,796.7096147197785
2010-10,823.9660353131862
2010-11,792.5413266780091
2010-12,854.5175277236755
2011-01,863.0078659670331
2011-02,885.3010094469114
2011-03,883.715592024012
2011-04,927.5574073938761
2011-05,901.7953641500756
2011-06,889.0379378106794
2011-07,877.1175068427523
2011-08,802.327711743056
2011-09,713.6682181592456
2011-10,788.4735694935598
2011-11,748.5325383092907
2011-12,740.2949498700407
2012-01,790.34806586727
2012-02,834.8003405608401
2012-03,823.9472675053294
2012-04,811.7297712982748
2012-05,720.7165124644371
2012-06,763.214645296956
2012-07,774.2088003153591
2012-08,790.5660821890832
2012-09,820.4006561863919
2012-10,823.6303897513783
2012-11,839.4164838172079
2012-12,868.5920682758745
2013-01,904.2762444026255
2013-02,894.989523552592
2013-03,897.245921437806
2013-04,931.1051002660253
2013-05,910.8799736634423
2013-06,871.5937344230554
2013-07,910.0057094082393
2013-08,897.5725513953147
2013-09,959.9532047510851
2013-10,995.2056660152458
2013-11,997.1954856038244
2013-12,1006.2598997969438
2014-01,961.0984662309673
2014-02,1009.5150003161353
2014-03,1012.9477594852128
2014-04,1027.4106325441842
2014-05,1048.7914147950523
2014-06,1066.725231693913
2014-07,1056.5599846565947
2014-08,1062.5135056615413
2014-09,1011.737708786416
2014-10,1001.6140167719828
2014-11,1008.6746080694578
2014-12,972.6249140520575
2015-01,971.1021781871074
2015-02,1023.0233685317863
2015-03,1007.2387990498797
2015-04,1058.742385751301
2015-05,1043.0330089483482
2015-06,1014.510739583366
2015-07,1011.7679745267328
2015-08,934.7098057071851
2015-09,891.8434458162183
2015-10,958.1529916205108
2015-11,938.3810944733685
2015-12,921.0613131494064
2016-01,858.5183656174383
2016-02,849.1706412500185
2016-03,918.6017469389175
2016-04,943.6052457378746
2016-05,928.7164455095163
2016-06,914.9325106916311
