Date,MSCI ZHONG HUA ex B + OVERSEAS CHINA
2008-05,1000.0
2008-06,881.5835596293251
2008-07,890.9191604977601
2008-08,832.4952017146836
2008-09,669.5506928571057
2008-10,521.0833471861993
2008-11,527.8460526213653
2008-12,570.229809499191
2009-01,537.8598880420207
2009-02,517.978349372335
2009-03,573.696060479516
2009-04,649.4991088286495
2009-05,763.7163718565042
2009-06,782.3194867314924
2009-07,873.8310717889098
2009-08,813.4423798781596
2009-09,862.7323561937784
2009-10,903.9754435948212
2009-11,918.7365384241358
2009-12,926.5908229329692
2010-01,851.8298524907581
2010-02,879.2631284593502
2010-03,928.1941893449454
2010-04,921.9690461565013
2010-05,873.2220658236473
2010-06,885.7739184729053
2010-07,931.4589425082612
2010-08,915.855238595431
2010-09,1017.2759783333797
2010-10,1053.186385793516
2010-11,1040.3253785045233
2010-12,1034.5127877194127
2011-01,1041.5515749860751
2011-02,1022.3284482814146
2011-03,1068.5666847138589
2011-04,1095.1971638036125
2011-05,1093.2389927624342
2011-06,1054.6537518497053
2011-07,1061.76452965534
2011-08,974.7877570166271
2011-09,804.7067558777305
2011-10,926.1157088669491
2011-11,849.9420129052093
2011-12,863.4275372255217
2012-01,953.4972790176685
2012-02,1021.0817087203975
2012-03,963.827770231249
2012-04,983.7326039987347
2012-05,883.0545499756881
2012-06,906.1945730429921
2012-07,922.4272851955133
2012-08,905.5279214249529
2012-09,969.1904413002538
2012-10,1005.5648578617522
2012-11,1023.9423818744951
2012-12,1060.3175215590645
2013-01,1109.5011257445399
2013-02,1074.4598323568407
2013-03,1037.5953629810558
2013-04,1054.5710860820454
2013-05,1048.285770994652
2013-06,984.3094927433273
2013-07,1034.7737943333163
2013-08,1049.1049763951987
2013-09,1112.7749694245879
2013-10,1138.5212421433405
2013-11,1177.8822067900753
2013-12,1158.0651810834422
2014-01,1081.725184150408
2014-02,1122.2919753895358
2014-03,1095.4716588708513
2014-04,1085.9191877962191
2014-05,1139.2401831685995
2014-06,1172.5849243465366
2014-07,1260.3651938712446
2014-08,1258.5259709466216
2014-09,1177.8625922578415
2014-10,1242.6954594902572
2014-11,1263.049275650933
2014-12,1244.957722790338
2015-01,1276.962376467549
2015-02,1296.3138075460993
2015-03,1323.4447121234873
2015-04,1499.7788559593134
2015-05,1466.4846227504331
2015-06,1401.5825033622293
2015-07,1288.1320564560874
2015-08,1128.9931688378372
2015-09,1102.1448594306767
2015-10,1226.853574730255
2015-11,1203.3647760889667
2015-12,1191.3575062705422
2016-01,1049.7788250565586
2016-02,1032.6174586078607
2016-03,1148.272029646512
2016-04,1149.8961278557833
2016-05,1142.569405342069
2016-06,1155.5239697617471
2016-07,1206.9863266149318
2016-08,1273.4086310413684
2016-09,1309.7079428465202
2016-10,1287.408189132223
2016-11,1270.4831147329678
2016-12,1210.3699171420126
2017-01,1295.7652550693724
2017-02,1336.3379352428376
2017-03,1368.972282782609
2017-04,1407.155993
2017-05,1474.101157
2017-06,1501.887159
2017-07,1615.456792
2017-08,1673.547595
2017-09,1685.064853
2017-10,1737.080552
2017-11,1772.151656
2017-12,1809.486025
2018-01,2000.052837
2018-02,1887.039585
2018-03,1828.26249405994
2018-04,1842.6056060242174
2018-05,1871.4602961397757
2018-06,1774.6018585841246
2018-07,1749.191110399391
2018-08,1689.4545791022938
2018-09,1670.776133252436
2018-10,1479.997392753216
2018-11,1589.129693459272
2018-12,1516.162147259363
2019-01,1671.532075593693
2019-02,1738.9650813463907
2019-03,1776.6531207796709
2019-04,1811.6426497550033
2019-05,1603.1826537053728
2019-06,1728.8742626089827
2019-07,1708.2304730885924
2019-08,1619.8257431249651
2019-09,1617.259379991645
2019-10,1685.153452877758
2019-11,1703.3587104838168
2019-12,1830.4039100847622
2020-01,1743.5327340987894
2020-02,1752.532736457776
2020-03,1618.0440632480982
2020-04,1723.2327058408898
2020-05,1690.584285695522
2020-06,1848.659932606058
2020-07,1994.0237279534433
2020-08,2113.683040092457
2020-09,2048.6648394887475
2020-10,2137.854336772136
2020-11,2221.849806789068
2020-12,2290.051739700871
2021-01,2440.8273032281886
2021-02,2434.905264931737
2021-03,2305.640300557877
2021-04,2343.921607996728
2021-05,2364.554358260613
2021-06,2360.5327637512046
2021-07,2072.1964790762195
2021-08,2070.45917109332
2021-09,1962.767833542472
2021-10,2019.1513627645336
2021-11,1900.4350123865809
2021-12,1850.0602332598573
2022-01,1804.87087885828
2022-02,1739.7347214276776
2022-03,1625.146378522601
2022-04,1554.3303934983899
2022-05,1578.580932302034
2022-06,1666.2713477741536
2022-07,1527.7069654559727
2022-08,1521.0522628884066
2022-09,1308.661445748101
2022-10,1100.065264562787
2022-11,1415.7621385043258
2022-12,1495.2071486298712
2023-01,1651.4620021815665
2023-02,1491.524804650405
2023-03,1550.4423912351729
2023-04,1484.4705840602157
2023-05,1360.7289547435284
2023-06,1415.191728551832
