Date,Price
1969-12,100.0
1970-01,93.640908
1970-02,98.756159
1970-03,99.416308
1970-04,90.757554
1970-05,85.481814
1970-06,82.649762
1970-07,88.733453
1970-08,92.361423
1970-09,95.711129
1970-10,94.990069
1970-11,100.067003
1970-12,105.565441
1971-01,110.294455
1971-02,111.432498
1971-03,115.959764
1971-04,119.999728
1971-05,115.561777
1971-06,116.295352
1971-07,112.599931
1971-08,117.191101
1971-09,115.810365
1971-10,111.614422
1971-11,112.173911
1971-12,119.518393
1972-01,122.221267
1972-02,125.722063
1972-03,127.644099
1972-04,127.946769
1972-05,128.339407
1972-06,126.503686
1972-07,125.976202
1972-08,130.840738
1972-09,131.193448
1972-10,132.699121
1972-11,137.829745
1972-12,140.417766
1973-01,137.649754
1973-02,131.793418
1973-03,130.51463
1973-04,125.705506
1973-05,123.628248
1973-06,124.070694
1973-07,129.003343
1973-08,125.069862
1973-09,129.519404
1973-10,130.66723
1973-11,117.304194
1973-12,119.264205
1974-01,117.990944
1974-02,118.466331
1974-03,115.729026
1974-04,111.228556
1974-05,107.473713
1974-06,105.711029
1974-07,98.396758
1974-08,89.829992
1974-09,79.926252
1974-10,93.184463
1974-11,88.842114
1974-12,87.519364
1975-01,98.481214
1975-02,104.210059
1975-03,106.337077
1975-04,110.637159
1975-05,115.367072
1975-06,120.560877
1975-07,113.526034
1975-08,111.282297
1975-09,107.634869
1975-10,113.997246
1975-11,117.756816
1975-12,116.59986
1976-01,129.886669
1976-02,129.263509
1976-03,133.852878
1976-04,132.758383
1976-05,131.43721
1976-06,136.542661
1976-07,135.744685
1976-08,135.516511
1976-09,136.933468
1976-10,133.276837
1976-11,132.309651
1976-12,140.358302
1977-01,133.434982
1977-02,131.095374
1977-03,129.995665
1977-04,130.225197
1977-05,127.937336
1977-06,133.864995
1977-07,132.460646
1977-08,130.015618
1977-09,130.301928
1977-10,125.450836
1977-11,128.901021
1977-12,130.424713
1978-01,123.918554
1978-02,122.308022
1978-03,125.590789
1978-04,136.993563
1978-05,138.380649
1978-06,137.208384
