Date,MSCI WORLD ex AUSTRALIA
1969-12,100.0
1970-01,94.477535
1970-02,97.599068
1970-03,98.003376
1970-04,88.96781
1970-05,83.446486
1970-06,81.220136
1970-07,86.40376
1970-08,89.423438
1970-09,92.461024
1970-10,91.345494
1970-11,93.624211
1970-12,98.435863
1971-01,103.191583
1971-02,104.431909
1971-03,109.085686
1971-04,112.88773
1971-05,110.309594
1971-06,111.522213
1971-07,109.876067
1971-08,112.478669
1971-09,111.669986
1971-10,107.471892
1971-11,108.514601
1971-12,118.145043
1972-01,122.708327
1972-02,127.396367
1972-03,129.214473
1972-04,131.092197
1972-05,133.80867
1972-06,130.688065
1972-07,132.959075
1972-08,136.87954
1972-09,134.9288
1972-10,136.026228
1972-11,143.306394
1972-12,146.00656
1973-01,146.365048
1973-02,147.457079
1973-03,147.763741
1973-04,140.451183
1973-05,139.937338
1973-06,140.988279
1973-07,144.460356
1973-08,138.728049
1973-09,142.978996
1973-10,144.413922
1973-11,125.690584
1973-12,124.765298
1974-01,125.540319
1974-02,127.408583
1974-03,124.403063
1974-04,122.495649
1974-05,117.933355
1974-06,114.398743
1974-07,107.932763
1974-08,97.511093
1974-09,88.855222
1974-10,97.286859
1974-11,95.805351
1974-12,94.378189
1975-01,108.132721
1975-02,117.94318
1975-03,118.990345
1975-04,124.157707
1975-05,127.075818
1975-06,128.886817
1975-07,121.813398
1975-08,120.101492
1975-09,114.982327
1975-10,123.112937
1975-11,126.517478
1975-12,126.682373
1976-01,138.289047
1976-02,137.337432
1976-03,139.17387
1976-04,138.215981
1976-05,135.977376
1976-06,140.335131
1976-07,138.884739
1976-08,138.698987
1976-09,140.243926
1976-10,135.532686
1976-11,135.634463
1976-12,145.897238
1977-01,141.035358
1977-02,140.61619
1977-03,139.750841
1977-04,141.480279
1977-05,139.578963
1977-06,145.081797
1977-07,143.388544
1977-08,144.189618
1977-09,146.169087
1977-10,143.650231
1977-11,145.70514
1977-12,148.606123
1978-01,144.442545
1978-02,143.617432
1978-03,150.273722
1978-04,157.168384
1978-05,159.245691
1978-06,161.047243
1978-07,172.867873
1978-08,176.918972
1978-09,179.079263
1978-10,175.876796
1978-11,169.911821
1978-12,175.586491
1979-01,180.254231
1979-02,176.933055
1979-03,184.578031
1979-04,184.638206
1979-05,181.511277
1979-06,187.10225
1979-07,188.658525
1979-08,196.197505
1979-09,200.670793
1979-10,185.727984
1979-11,191.904689
1979-12,196.904057
1980-01,208.378415
1980-02,208.59963
1980-03,186.780206
1980-04,199.249001
1980-05,208.910161
1980-06,219.061765
1980-07,226.237321
1980-08,230.724978
1980-09,237.748244
1980-10,244.709582
1980-11,255.721649
1980-12,250.333782
1981-01,243.886468
1981-02,245.160196
1981-03,253.755952
1981-04,254.226889
1981-05,249.434698
1981-06,249.400384
1981-07,246.04887
1981-08,241.344817
1981-09,223.581052
1981-10,231.17884
1981-11,248.526803
1981-12,243.500006
1982-01,240.714234
1982-02,226.587668
1982-03,220.838867
1982-04,231.624413
1982-05,225.977507
1982-06,216.207921
1982-07,213.748522
1982-08,229.68239
1982-09,230.905178
1982-10,247.278588
1982-11,260.890599
1982-12,272.838689
1983-01,278.54422
1983-02,285.058442
1983-03,295.719101
1983-04,316.717922
1983-05,313.496936
1983-06,323.86613
1983-07,317.64502
1983-08,319.417918
1983-09,325.99093
1983-10,322.417884
1983-11,330.593302
1983-12,334.994511
1984-01,338.091208
1984-02,332.881699
1984-03,348.811711
1984-04,347.799812
1984-05,322.526938
1984-06,331.178165
1984-07,314.243983
1984-08,345.988935
1984-09,344.94765
1984-10,348.695941
1984-11,347.534805
1984-12,355.290304
1985-01,375.32982
1985-02,376.848394
1985-03,390.170094
1985-04,389.36241
1985-05,409.725022
1985-06,417.305435
1985-07,425.195036
1985-08,429.155889
1985-09,432.131043
1985-10,455.739592
1985-11,482.28607
1985-12,505.291376
1986-01,512.132401
1986-02,559.688149
1986-03,614.491581
1986-04,630.892114
1986-05,629.185659
1986-06,656.02519
1986-07,662.870761
1986-08,721.082772
1986-09,691.646372
1986-10,678.728472
1986-11,707.868796
1986-12,721.471611
1987-01,807.499007
1987-02,833.322391
1987-03,884.553615
1987-04,936.916388
1987-05,937.951258
1987-06,937.263782
1987-07,954.836082
1987-08,1010.8845
1987-09,992.533964
1987-10,829.151599
1987-11,807.904697
1987-12,843.14411
1988-01,864.83477
1988-02,915.685839
1988-03,942.00403
1988-04,953.432267
1988-05,932.323123
1988-06,931.663012
1988-07,948.704728
1988-08,896.297526
1988-09,935.63631
1988-10,998.022585
1988-11,1033.815981
1988-12,1043.5874
1989-01,1080.638863
1989-02,1076.445503
1989-03,1069.342738
1989-04,1094.316822
1989-05,1067.674236
1989-06,1055.47216
1989-07,1175.281342
1989-08,1145.255558
1989-09,1178.279975
1989-10,1139.303086
1989-11,1186.030097
1989-12,1223.997522
1990-01,1166.345989
1990-02,1116.949023
1990-03,1049.107588
1990-04,1034.974563
1990-05,1144.329496
1990-06,1135.555654
1990-07,1145.433375
1990-08,1037.139677
1990-09,927.023232
1990-10,1016.731816
1990-11,999.943266
1990-12,1021.740715
1991-01,1058.979934
1991-02,1157.471691
1991-03,1122.792988
1991-04,1130.55254
1991-05,1157.276483
1991-06,1084.713554
1991-07,1135.846651
1991-08,1132.484974
1991-09,1162.153744
1991-10,1180.490941
1991-11,1129.371845
1991-12,1213.160565
1992-01,1191.06424
1992-02,1170.238669
1992-03,1114.264973
1992-04,1129.5455809999999
1992-05,1175.215712
1992-06,1136.0545929999998
1992-07,1139.667181
1992-08,1169.617217
1992-09,1159.800919
1992-10,1129.265124
1992-11,1149.8475779999999
1992-12,1157.9090800000001
1993-01,1162.6299279999998
1993-02,1189.421474
1993-03,1258.943347
1993-04,1318.302592
1993-05,1349.7035839999999
1993-06,1338.8631619999999
1993-07,1365.159353
1993-08,1428.0242819999999
1993-09,1401.995497
1993-10,1439.0037097382797
1993-11,1357.9591233592228
1993-12,1423.2940355299975
1994-01,1516.3773924464758
1994-02,1498.0296952905323
1994-03,1434.4735537178738
1994-04,1478.9339259674116
1994-05,1481.9022697660619
1994-06,1479.2434701236014
1994-07,1506.860938402313
1994-08,1552.054551749157
1994-09,1512.2479673540713
1994-10,1555.548420354162
1994-11,1488.2002626456824
1994-12,1502.5863875752507
1995-01,1481.4228572995048
1995-02,1502.883584468914
1995-03,1577.0309529808312
1995-04,1631.499929073379
1995-05,1646.5571945808522
1995-06,1646.6258334188742
1995-07,1728.240897930114
1995-08,1688.9077220601685
1995-09,1739.398158393757
1995-10,1712.5666065305443
1995-11,1772.7152638523917
1995-12,1825.0853729794846
1996-01,1858.0807141923724
1996-02,1869.0003896750331
1996-03,1901.0298785874757
1996-04,1945.3172443993262
1996-05,1947.5846382227608
1996-06,1958.9468064357766
1996-07,1890.4036331693605
1996-08,1910.9256164322642
1996-09,1987.2685050327432
1996-10,2000.479503952459
1996-11,2113.4157864475565
1996-12,2079.46106303806
1997-01,2106.635659536364
1997-02,2130.631908951406
1997-03,2088.2826982354636
1997-04,2157.070564903828
1997-05,2292.0808888908837
1997-06,2407.3401439556615
1997-07,2520.46331223537
1997-08,2352.2703560009622
1997-09,2480.630674757263
1997-10,2353.3269300239535
1997-11,2396.5030957411605
1997-12,2425.5441536734475
1998-01,2492.260509484665
1998-02,2662.961218754465
1998-03,2777.162727192237
1998-04,2805.5562981041912
1998-05,2772.329884614332
1998-06,2839.2024627341766
1998-07,2835.181297992348
1998-08,2457.5566057998403
1998-09,2499.9873422023165
1998-10,2726.535239741155
1998-11,2888.998534366308
1998-12,3032.6691673562304
1999-01,3098.045936878528
1999-02,3015.9919494414903
1999-03,3141.9603730891777
1999-04,3263.601967539352
1999-05,3146.8591954386798
1999-06,3293.919232464052
1999-07,3284.3639513803923
1999-08,3281.3923447554557
1999-09,3249.4356371621384
1999-10,3421.8062806703365
1999-11,3517.505221855744
1999-12,3803.707286665307
2000-01,3585.3042945124807
2000-02,3596.558756276793
2000-03,3848.9339566229223
2000-04,3685.9486310110074
2000-05,3593.4742723444065
2000-06,3710.0597924051763
2000-07,3607.6613235545906
2000-08,3726.4472185929676
2000-09,3528.2967680554525
2000-10,3471.6371202891546
2000-11,3257.955449901049
2000-12,3310.3039407742144
2001-01,3373.714073988352
2001-02,3087.2334072017647
2001-03,2886.6699835489094
2001-04,3099.1401040771852
2001-05,3059.884689065246
2001-06,2961.7396575635603
2001-07,2924.3918458777275
2001-08,2782.3766350164256
2001-09,2539.047383736653
2001-10,2585.4636128542284
2001-11,2738.072294718615
2001-12,2755.399430269706
2002-01,2670.805794494581
2002-02,2647.447533607246
2002-03,2765.4154660614254
2002-04,2671.565466546905
2002-05,2675.0865740636077
2002-06,2512.70363560029
2002-07,2300.7990137130682
2002-08,2304.604942669248
2002-09,2049.221782025538
2002-10,2201.6497014476818
