Date,MSCI GCC COUNTRIES DOMESTIC ex SA
2002-05,268.84697195357825
2002-06,271.1306604571804
2002-07,274.1980358578939
2002-08,281.8820416737517
2002-09,272.63714626834206
2002-10,276.1470971990534
2002-11,289.0033385174058
2002-12,301.5224425223138
2003-01,306.7293363939392
2003-02,298.38903724958
2003-03,312.17348213262846
2003-04,343.4134555536067
2003-05,352.4392964241757
2003-06,349.08891811976383
2003-07,367.1650317631541
2003-08,374.5944664349375
2003-09,393.7687303866859
2003-10,401.2189465533626
2003-11,415.05229097401315
2003-12,425.7580922178538
2004-01,431.2245550492369
2004-02,436.7431258135911
2004-03,414.3388053932915
2004-04,406.77910165447474
2004-05,401.28509753549685
2004-06,403.67364720939923
2004-07,422.91426589770657
2004-08,431.6613367072326
2004-09,445.91781705298047
2004-10,448.3685347908316
2004-11,485.2579912265717
2004-12,516.3885730298931
2005-01,568.6594775534469
2005-02,671.2448171092778
2005-03,752.0661896986675
2005-04,800.6897572889214
2005-05,749.08607302469
2005-06,916.3136589972655
2005-07,861.036768282341
2005-08,989.5769612229805
2005-09,1076.6845803329934
2005-10,1087.1203399302597
2005-11,1057.183840456601
2005-12,1009.6209898641149
2006-01,976.1996652471354
2006-02,903.8099029547534
2006-03,864.7745025687686
2006-04,840.378980946258
2006-05,765.0414353429079
2006-06,739.9474014313942
2006-07,728.6100399686898
2006-08,769.2903995328701
2006-09,767.7559191916813
2006-10,795.2729211125423
2006-11,694.2499774564035
2006-12,741.1305347716186
2007-01,733.0425194328755
2007-02,751.7157804239641
2007-03,766.160078440519
2007-04,797.7988009330746
2007-05,916.0920075353426
2007-06,924.0568215815831
2007-07,936.9112934234929
2007-08,940.4261200682076
2007-09,964.995778131301
2007-10,1034.9629743607309
2007-11,1000.0
2007-12,1062.514214397084
2008-01,1077.959541197257
2008-02,1139.1629426961063
2008-03,1067.198411702279
2008-04,1133.2684274759345
2008-05,1129.4223829474845
2008-06,1120.9752846353533
2008-07,1104.417802871661
2008-08,1000.9900351417087
2008-09,879.8880991328772
2008-10,672.87312943152
2008-11,564.4243468780163
2008-12,510.8556925753076
2009-01,424.44174313912345
2009-02,397.1692208566581
2009-03,442.04551194907265
2009-04,491.2991083066712
2009-05,551.2223883713773
2009-06,568.9744879698914
2009-07,588.5771693341799
2009-08,627.7862028137068
2009-09,647.5505237182056
2009-10,618.1899450284926
2009-11,569.1616798216468
2009-12,556.1400380542724
2010-01,523.7586806424013
2010-02,575.3928285025343
2010-03,627.5359003250637
2010-04,628.9824879307507
2010-05,568.21538443
2010-06,560.847062031655
2010-07,591.132925312318
2010-08,613.8200825316129
2010-09,672.1738496890194
2010-10,692.2762813775332
2010-11,684.4418700116346
2010-12,721.8639987163062
2011-01,709.9193675991722
2011-02,665.6503491185341
2011-03,684.5624495300672
2011-04,731.2266540673626
2011-05,694.9993322456486
2011-06,683.5878193856306
2011-07,669.1251467566508
2011-08,658.7132096187746
2011-09,651.9487996132427
2011-10,672.1510337228083
2011-11,663.830479706427
2011-12,662.7347933560887
2012-01,659.8379057735134
2012-02,679.7553270285205
2012-03,693.1413006432175
2012-04,687.9739862693514
2012-05,662.7771776383219
2012-06,654.0904016520392
2012-07,655.3169133825119
2012-08,662.9762918770631
2012-09,681.8765143106865
2012-10,681.5210818009642
2012-11,692.4315664154001
2012-12,682.6960665272771
2013-01,731.7285202809686
2013-02,732.8654270742064
2013-03,737.9265972246297
2013-04,783.0755510137194
2013-05,819.2474134573785
2013-06,790.524678862645
2013-07,838.8693985110767
2013-08,819.2610376754607
2013-09,841.8356093592049
2013-10,856.3488259098085
2013-11,864.2365278071292
2013-12,904.1781189630465
2014-01,955.7060204644833
2014-02,1013.3597360531797
2014-03,1051.8757144706185
2014-04,1129.8165439044742
2014-05,1216.489161392617
2014-06,1014.7750961216717
2014-07,1133.240821045538
2014-08,1166.2637558883832
2014-09,1195.9334853330136
2014-10,1131.2916665850962
2014-11,1126.5193423739524
2014-12,1015.0594999657562
2015-01,983.2251987429767
2015-02,1039.049120614198
2015-03,979.3772838321811
2015-04,1058.7648640997927
2015-05,999.0464576755227
2015-06,1024.1627300541331
2015-07,1012.1655930275796
2015-08,946.8720805616747
2015-09,936.5618659555579
2015-10,924.1766529861368
2015-11,840.3990569917391
2015-12,853.779028649502
2016-01,756.7793058235507
2016-02,829.2972290703925
2016-03,872.6230248951657
2016-04,886.6728082349024
2016-05,832.246691924499
2016-06,844.2906250509238
2016-07,895.1324636260342
2016-08,904.4465517482098
2016-09,885.4774743383526
2016-10,866.5745343662901
2016-11,855.8922678621473
2016-12,910.1946395771057
2017-01,947.9534289662623
2017-02,953.3321058889823
2017-03,945.2529380033438
2017-04,936.930348
2017-05,932.216674
2017-06,905.317615
2017-07,956.873226
2017-08,951.985593
2017-09,939.463716
2017-10,932.276551
2017-11,883.496001
2017-12,912.744024
2018-01,953.443524
2018-02,926.130885
2018-03,932.713771
2018-04,954.7870616252371
2018-05,932.6790126665172
2018-06,934.9278469352975
2018-07,1004.886549271628
2018-08,1004.4115272416316
2018-09,1003.8407361800133
2018-10,1015.3570945778655
2018-11,1007.4293470995858
2018-12,999.8599921066788
2019-01,1033.491318114704
2019-02,1029.7303572514354
2019-03,1062.2288308991142
2019-04,1107.154272932501
2019-05,1080.8413626608087
2019-06,1087.554879495934
2019-07,1148.8424800285918
2019-08,1110.2704393744002
2019-09,1079.197042513995
2019-10,1078.4950859908618
2019-11,1084.5450739600435
2019-12,1128.772984192538
2020-01,1137.1466441530065
2020-02,1070.2931659222666
2020-03,853.8736913140491
2020-04,921.3816133276523
2020-05,923.6272499714348
2020-06,949.4331911675265
2020-07,949.9650482328227
2020-08,1016.725603333649
2020-09,1028.5174315858044
2020-10,1025.9508745268133
2020-11,1078.203835159787
2020-12,1094.425892305623
2021-01,1152.2429161103
2021-02,1119.7761897488679
2021-03,1160.281108251605
2021-04,1206.6509755713444
2021-05,1251.8240069161163
2021-06,1266.7442918389115
2021-07,1281.6980754705353
2021-08,1328.2460933579378
2021-09,1348.6708993060558
2021-10,1379.4286277507765
2021-11,1371.8554351054208
2021-12,1398.510963003935
2022-01,1465.305035696903
2022-02,1546.7545850144356
2022-03,1698.2758885115559
2022-04,1721.4150350688285
2022-05,1614.2092049895787
2022-06,1504.9410346712239
2022-07,1585.3842312361483
