Date,MSCI GOLDEN DRAGON (A ONSHORE) IMI
2009-12,1028.7234896437933
2010-01,950.9191795690866
2010-02,969.9161971965918
2010-03,1014.1125505478478
2010-04,983.8734210370873
2010-05,904.7915107071341
2010-06,879.7101294631535
2010-07,959.2642982666179
2010-08,966.7199436554615
2010-09,1041.018048295254
2010-10,1113.8513957117204
2010-11,1096.0886809065717
2010-12,1118.0756649071034
2011-01,1108.1249143326236
2011-02,1111.9389813928638
2011-03,1129.1573372435491
2011-04,1146.770247308688
2011-05,1116.9539847651363
2011-06,1103.752354539994
2011-07,1103.7146637692892
2011-08,1029.4466531446128
2011-09,892.8006004222385
2011-10,969.1718780150148
2011-11,895.9559240666396
2011-12,870.879054410038
2012-01,931.8374206306065
2012-02,1010.8351613633073
2012-03,952.0708199606381
2012-04,979.7485393650339
2012-05,932.3150385144335
2012-06,916.7796131597679
2012-07,899.2395188420519
2012-08,888.382410606333
2012-09,939.7734730375946
2012-10,942.4739153037956
2012-11,937.8416223847597
2012-12,1015.0744555114704
2013-01,1064.00158343385
2013-02,1057.8591303126816
2013-03,1019.2250760064582
2013-04,1027.4374683489032
2013-05,1066.705911675213
2013-06,965.553116785479
2013-07,995.8141585996102
2013-08,1028.2525265784864
2013-09,1075.3790162990665
2013-10,1086.3777266043653
2013-11,1118.6284608440392
2013-12,1097.9545247018698
2014-01,1053.879081954869
2014-02,1070.2789426570864
2014-03,1051.7031535231883
2014-04,1043.53515539133
2014-05,1075.1355602773074
2014-06,1107.220207884308
2014-07,1181.0703674181957
2014-08,1199.399890370092
2014-09,1195.476809954073
2014-10,1231.5465133446985
2014-11,1281.1190726302161
2014-12,1342.4163261401736
2015-01,1359.4266530876096
2015-02,1407.345509381376
2015-03,1542.289428229867
2015-04,1769.1996289105855
2015-05,1860.049086146888
2015-06,1729.0206932652534
2015-07,1509.9921316909815
2015-08,1314.167155909612
2015-09,1267.508099307004
2015-10,1412.66347504175
2015-11,1412.6558075575376
2015-12,1437.8037143474437
2016-01,1162.8105805501207
2016-02,1154.5978194150216
2016-03,1299.0631507581236
2016-04,1277.606377354659
2016-05,1259.0486614312535
2016-06,1280.1127971559515
2016-07,1317.7672088765833
2016-08,1374.7874051027293
2016-09,1384.2269141156246
2016-10,1385.086891502145
2017-04,1421.959359
2017-05,1439.782174
2017-06,1497.281967
2017-07,1567.878182
2017-08,1625.687148
2017-09,1629.766831
2017-10,1676.304509
2017-11,1652.167641
2017-12,1675.187165
2018-01,1804.187521
2018-02,1701.709006
2018-03,1674.33858
2018-04,1626.4040394091053
2018-05,1627.7964344087777
2018-06,1506.085237470882
2018-07,1490.4859483771174
2018-08,1426.5940510076796
2018-09,1424.8226452496635
2018-10,1266.4527236152285
2018-11,1323.6852697578956
2018-12,1273.8180756338575
2019-01,1371.6826398790035
2019-02,1495.9030246401667
2019-03,1559.017968001592
2019-04,1574.0695447607766
2019-05,1421.9098969060833
2019-06,1505.0295547383894
2019-07,1502.732988320682
2019-08,1437.7013558320816
2019-09,1449.2300831455318
2019-10,1505.4060369298795
2019-11,1505.6170330993914
2019-12,1623.542012278349
2020-01,1582.2868600966613
2020-02,1576.8740216277708
2020-03,1439.746282758738
2020-04,1545.9529622423352
2020-05,1523.1895854839431
2020-06,1668.8566691317476
2020-07,1867.854525930888
2020-08,1947.1167611468952
2020-09,1875.7312615374387
2020-10,1936.0873729585298
2020-11,2047.5738646991906
2020-12,2139.8715368941043
