Date,MSCI EM 50
2008-05,1000.0
2008-06,901.6524021324046
2008-07,850.7687216055973
2008-08,781.2422683774123
2008-09,652.7099310975861
2008-10,474.84593631933905
2008-11,434.5203595596248
2008-12,459.4300658612094
2009-01,425.23827991731133
2009-02,405.60816210077957
2009-03,467.67064825166534
2009-04,535.5955075528033
2009-05,622.8096819945786
2009-06,611.3361274308716
2009-07,677.7662758148781
2009-08,672.4005489711968
2009-09,736.4408144016376
2009-10,742.5659305956195
2009-11,774.2884782522734
2009-12,800.810411022039
2010-01,737.1020492995698
2010-02,739.3118403761106
2010-03,795.0365685975728
2010-04,807.8460675155884
2010-05,730.3422211584217
2010-06,718.2540280475663
2010-07,779.9794005739889
2010-08,751.5619517791667
2010-09,823.771742417411
2010-10,849.1532630017148
2010-11,840.6188734264324
2010-12,906.9040272585127
2011-01,893.9516643728118
2011-02,896.9367900349021
2011-03,943.8505247305749
2011-04,965.758906928522
2011-05,936.5072739861535
2011-06,916.3226266364636
2011-07,903.0363984102618
2011-08,824.5424063434682
2011-09,718.433405141621
2011-10,815.8499532910467
2011-11,771.6134295818173
2011-12,765.7628091416492
2012-01,844.3893254020221
2012-02,889.8092240071547
2012-03,860.776669768022
2012-04,856.7717866911262
2012-05,755.4870988980304
2012-06,779.6587171714592
2012-07,798.8619957962763
2012-08,791.0636011868542
2012-09,842.5626877738139
2012-10,837.5309487994385
2012-11,847.132555019939
2012-12,889.7776370802824
2013-01,897.1123224222322
2013-02,881.645548011485
2013-03,856.6790020636223
2013-04,858.1332527384411
2013-05,842.5315533564147
2013-06,794.1955298371614
2013-07,813.0997397147083
2013-08,818.1985524746955
2013-09,874.404233445528
2013-10,911.2455747988599
2013-11,915.6727807040487
2013-12,901.5668834799412
2014-01,839.1607684952196
2014-02,868.3031603215314
2014-03,882.2705161362344
2014-04,877.490077216682
2014-05,923.4013388043126
2014-06,952.3632166242635
2014-07,979.4170336455501
2014-08,1001.6943072214054
2014-09,915.1933467155872
2014-10,934.3570345767778
2014-11,922.342876672921
2014-12,889.0440612817582
2015-01,895.5861420380453
2015-02,927.072826344098
2015-03,914.9313106636077
2015-04,1003.066813467194
2015-05,952.7990746566761
2015-06,935.7667922877954
2015-07,856.7255617211039
2015-08,775.4549467489288
2015-09,749.7184679768294
2015-10,816.5118701617696
2015-11,792.9017406530699
2015-12,765.8351135097995
2016-01,710.8751996707146
2016-02,705.7369826314176
2016-03,803.0737544107278
2016-04,804.0299601419586
2016-05,788.2778706767373
2016-06,819.8960754942786
2016-07,857.6175225636018
2016-08,901.1932403166779
2016-09,927.9369779615781
2016-10,928.781194711479
2016-11,892.1744606201963
2016-12,890.0538242640672
2017-01,949.0290065322382
2017-02,974.8608583605942
2017-03,1001.9889215279329
2017-04,1030.502575
2017-05,1070.082553
2017-06,1091.966343
2017-07,1175.463008
2017-08,1207.139927
2017-09,1210.678524
2017-10,1271.401559
2017-11,1280.764893
2017-12,1309.659991
2018-01,1443.042007
2018-02,1369.452576
2018-03,1341.1240495438515
2018-04,1323.1793293777896
2018-05,1288.9774563099304
2018-06,1243.8327320747082
2018-07,1261.3763668710274
2018-08,1222.9692784176013
2018-09,1221.6534618855794
2018-10,1097.8735479557351
2018-11,1140.6465290354056
2018-12,1095.5442080448
2019-01,1220.8533365199582
2019-02,1223.0938270524696
2019-03,1238.4808129175376
2019-04,1281.3667783848935
2019-05,1151.8498696545312
2019-06,1248.198967559592
2019-07,1245.0491899511742
2019-08,1180.0657809704405
2019-09,1212.0208825725479
2019-10,1262.4020863083997
2019-11,1283.6246873065315
2019-12,1408.107258221683
2020-01,1344.6235230894767
2020-02,1294.2674847630642
2020-03,1148.476588646136
2020-04,1229.1726860849499
2020-05,1233.7978509154182
2020-06,1348.1298573166603
2020-07,1501.3782109804165
2020-08,1563.7023047848004
2020-09,1551.0462839132683
2020-10,1618.3633231842277
2020-11,1714.198676827263
2020-12,1828.658114218555
2021-01,1961.4271598457813
2021-02,1954.6007099938954
2021-03,1873.1867223554857
2021-04,1908.918903717103
2021-05,1912.9813198924192
2021-06,1930.2755170440444
2021-07,1742.5385267149743
2021-08,1740.9289148974538
2021-09,1644.5657000162714
2021-10,1694.5776367704182
2021-11,1605.884414983981
2021-12,1630.341301355513
2022-01,1611.8529044883194
2022-02,1476.7780528514118
2022-03,1421.7704966970966
2022-04,1331.39175703507
2022-05,1354.7158355256606
2022-06,1266.5524403430827
2022-07,1244.180289362985
2022-08,1246.7785661192256
2022-09,1062.5793330848137
2022-10,971.7758544634468
2022-11,1185.6189060766944
2022-12,1181.4253109674291
2023-01,1338.9598955077738
2023-02,1221.3812955254284
2023-03,1287.4211999060756
2023-04,1217.4594568808081
2023-05,1214.961875272949
2023-06,1265.455808033087
