Date,MSCI EAFE
1969-12,100.0
1970-01,98.92
1970-02,96.682
1970-03,98.234
1970-04,90.098
1970-05,85.658
1970-06,87.566
1970-07,91.099
1970-08,91.521
1970-09,92.213
1970-10,91.491
1970-11,87.601
1970-12,89.488
1971-01,93.15
1971-02,94.017
1971-03,98.104
1971-04,101.922
1971-05,103.865
1971-06,106.353
1971-07,110.901
1971-08,109.363
1971-09,107.739
1971-10,104.363
1971-11,107.826
1971-12,117.415
1972-01,124.253
1972-02,132.409
1972-03,136.776
1972-04,140.059
1972-05,144.615
1972-06,140.785
1972-07,148.39
1972-08,150.05
1972-09,145.169
1972-10,146.706
1972-11,156.375
1972-12,161.561
1973-01,164.348
1973-02,177.943
1973-03,179.071
1973-04,169.046
1973-05,173.165
1973-06,177.458
1973-07,175.28
1973-08,166.387
1973-09,165.286
1973-10,168.861
1973-11,144.578
1973-12,138.673
1974-01,139.62
1974-02,144.271
1974-03,140.555
1974-04,144.349
1974-05,138.737
1974-06,132.476
1974-07,125.79
1974-08,112.856
1974-09,104.696
1974-10,105.654
1974-11,109.043
1974-12,107.96
1975-01,127.257
1975-02,144.063
1975-03,142.545
1975-04,149.308
1975-05,148.207
1975-06,142.461
1975-07,136.615
1975-08,136.433
1975-09,130.25
1975-10,141.505
1975-11,144.882
1975-12,148.016
1976-01,155.855
1976-02,154.68
1976-03,152.083
1976-04,151.399
1976-05,147.312
1976-06,149.792
1976-07,148.046
1976-08,148.146
1976-09,145.602
1976-10,136.324
1976-11,138.006
1976-12,153.551
1977-01,152.66
1977-02,156.049
1977-03,156.558
1977-04,161.153
1977-05,160.507
1977-06,164.115
1977-07,161.667
1977-08,168.83
1977-09,173.87
1977-10,178.249
1977-11,176.773
1977-12,183.378
1978-01,185.78
1978-02,187.965
1978-03,201.713
1978-04,200.31
1978-05,204.467
1978-06,213.757
1978-07,232.444
1978-08,237.232
1978-09,244.38
1978-10,258.529
1978-11,234.568
1978-12,246.278
1979-01,247.841
1979-02,246.604
1979-03,252.371
1979-04,251.438
1979-05,246.267
1979-06,250.721
1979-07,253.72
1979-08,259.893
1979-09,271.362
1979-10,249.76
1979-11,252.921
1979-12,261.505
1980-01,274.173
1980-02,273.073
1980-03,244.082
1980-04,267.178
1980-05,279.649
1980-06,297.509
1980-07,296.037
1980-08,306.32
1980-09,317.047
1980-10,330.402
1980-11,323.738
1980-12,325.389
1981-01,320.948
1981-02,316.701
1981-03,328.147
1981-04,337.058
1981-05,322.872
1981-06,325.175
1981-07,312.035
1981-08,319.419
1981-09,287.693
1981-10,292.477
1981-11,325.029
1981-12,322.03
1982-01,319.915
1982-02,299.57
1982-03,285.041
1982-04,303.578
1982-05,299.643
1982-06,277.265
1982-07,274.065
1982-08,274.242
1982-09,272.512
1982-10,273.676
1982-11,295.659
1982-12,319.265
1983-01,316.575
1983-02,325.398
1983-03,338.103
1983-04,357.471
1983-05,355.788
1983-06,363.972
1983-07,364.884
1983-08,359.133
1983-09,373.162
1983-10,372.931
1983-11,381.876
1983-12,397.839
1984-01,415.705
1984-02,419.578
1984-03,459.091
1984-04,451.593
1984-05,405.869
1984-06,405.505
1984-07,379.642
1984-08,411.946
1984-09,408.449
1984-10,418.804
1984-11,420.528
1984-12,429.126
1985-01,438.908
1985-02,436.447
1985-03,470.444
1985-04,468.979
1985-05,489.052
1985-06,501.767
1985-07,527.844
1985-08,544.96
1985-09,577.023
1985-10,616.459
1985-11,641.95
1985-12,672.543481
1986-01,689.598828
1986-02,766.200446
1986-03,874.157255
1986-04,931.631561
1986-05,890.421829
1986-06,951.36165
1986-07,1010.25424
1986-08,1110.079762
1986-09,1098.944037
1986-10,1025.779157
1986-11,1085.135357
1986-12,1142.915458
1987-01,1264.555826
1987-02,1302.723903
1987-03,1409.793486
1987-04,1559.210031
1987-05,1559.489696
1987-06,1510.091277
1987-07,1507.718302
1987-08,1621.08068
1987-09,1595.857171
1987-10,1372.544
1987-11,1386.374007
1987-12,1427.881802
1988-01,1453.699518
1988-02,1550.972677
1988-03,1646.629796
1988-04,1670.863384
1988-05,1617.675068
1988-06,1575.367911
1988-07,1625.118018
1988-08,1519.772877
1988-09,1586.482214
1988-10,1722.597576
1988-11,1825.569108
1988-12,1836.072005
1989-01,1868.754194
1989-02,1878.721465
1989-03,1842.209274
1989-04,1859.658669
1989-05,1758.804197
1989-06,1729.587658
1989-07,1947.143048
1989-08,1859.935042
1989-09,1945.000034
1989-10,1867.233943
1989-11,1961.482255
1989-12,2034.327266
1990-01,1959.045268
1990-02,1822.729015
1990-03,1633.217729
1990-04,1620.691311
1990-05,1806.109027
1990-06,1790.633655
1990-07,1816.319251
1990-08,1640.430571
1990-09,1412.291381
1990-10,1632.806254
1990-11,1536.954634
1990-12,1562.4521
1991-01,1613.428127
1991-02,1786.859996
1991-03,1680.021518
1991-04,1697.008409
1991-05,1715.216201
1991-06,1589.628593
1991-07,1668.161609
1991-08,1634.693473
1991-09,1727.312897
1991-10,1752.232069
1991-11,1670.895269
1991-12,1757.7093745999998
1992-01,1720.6799360999998
1992-02,1659.5653232999998
1992-03,1550.4668849
1992-04,1558.2296400999999
1992-05,1663.0100787
1992-06,1584.6819985
1992-07,1544.6317844999999
1992-08,1642.0385274999999
1992-09,1610.1347097999999
1992-10,1526.1650769
1992-11,1540.9952836999998
1992-12,1549.4317010999998
1993-01,1549.704722
1993-02,1596.974514
1993-03,1736.6416009999998
1993-04,1901.931052
1993-05,1942.5643539999999
1993-06,1912.704166
1993-07,1980.098293
1993-08,2087.4390989999997
1993-09,2040.909565
1993-10,2104.2541142593254
1993-11,1920.7618820377486
1993-12,2059.8905050907515
1994-01,2234.488617777874
1994-02,2228.7592975612624
1994-03,2133.238112352257
1994-04,2224.2235709923934
1994-05,2211.9285531520013
1994-06,2243.6833078773707
1994-07,2265.755154161405
1994-08,2319.896099238302
1994-09,2247.338475921792
1994-10,2322.6988880165727
1994-11,2211.5802257013493
1994-12,2225.945779811597
1995-01,2140.9639401961745
1995-02,2135.367667961866
1995-03,2269.151544520948
1995-04,2355.097078588335
1995-05,2327.630054871465
1995-06,2287.429243331492
1995-07,2430.4584561171228
1995-08,2338.334638951704
1995-09,2384.611069958532
1995-10,2321.1236413974243
1995-11,2386.3131431293514
1995-12,2483.068449985899
1996-01,2493.852418687121
1996-02,2502.905109786384
1996-03,2556.6909486053373
1996-04,2631.6515603157713
1996-05,2583.8529723603897
