Date,ACWI WITH USA GROSS
2001-09,1000.0
2001-10,1021.048503557561
2001-11,1083.758966835425
2001-12,1093.8770799693584
2002-01,1063.8829775293468
2002-02,1056.1763297465143
2002-03,1103.8550640093913
2002-04,1068.9940616778847
2002-05,1070.4767702905024
2002-06,1005.1453934399768
2002-07,920.7511166640869
2002-08,923.1923925603328
2002-09,821.897749654411
2002-10,882.506335634538
2002-11,930.7568075942398
2002-12,886.3829113541351
2003-01,860.3699599646264
2003-02,845.2884106118016
2003-03,842.132002712608
2003-04,917.4196714040534
2003-05,970.6972443727793
2003-06,989.2622846652738
2003-07,1011.166571203334
2003-08,1035.072682349456
2003-09,1041.7007863190838
2003-10,1104.7555993856104
2003-11,1121.6693552773756
2003-12,1192.6646581982575
2004-01,1213.1334682878094
2004-02,1235.3836724454452
2004-03,1228.8945911537123
2004-04,1200.9013968917911
2004-05,1210.9360931147921
2004-06,1235.4422153178248
2004-07,1196.2823891115434
2004-08,1204.0851878945405
2004-09,1229.3214037509215
2004-10,1259.6946418676403
2004-11,1328.8335597523744
2004-12,1380.7270516089595
2005-01,1351.7115027247535
2005-02,1399.0988869795588
2005-03,1368.9062384803112
2005-04,1339.603423110464
2005-05,1365.650220070768
2005-06,1379.9940926904574
2005-07,1431.247375881971
2005-08,1442.9016648921722
2005-09,1486.6517314351283
2005-10,1447.1092409627151
2005-11,1500.5229831640195
2005-12,1537.8137556951176
2006-01,1613.5877749000056
2006-02,1611.8231436975252
2006-03,1646.372154206057
2006-04,1701.9319394557551
2006-05,1636.3765998187623
2006-06,1636.340214749131
2006-07,1647.8545518753986
2006-08,1691.3783557414279
2006-09,1711.5724644104707
2006-10,1776.0541461647706
2006-11,1826.8275974155756
2006-12,1867.6693046006706
2007-01,1886.9474951426928
2007-02,1877.7887676659875
2007-03,1916.1704700838302
2007-04,2002.3206871389677
2007-05,2063.2659224051727
2007-06,2057.402902136331
2007-07,2025.8849201491064
2007-08,2020.9531443254082
2007-09,2129.1212329253926
2007-10,2211.883024306539
2007-11,2116.072376375151
2007-12,2093.4586464799227
2008-01,1923.430900193324
2008-02,1929.1969372857463
2008-03,1902.5301001175103
2008-04,2009.5630791214287
2008-05,2043.5880944187434
2008-06,1876.471310818554
2008-07,1828.3316416357939
2008-08,1789.7234295906444
2008-09,1566.7559134088626
2008-10,1256.6861845059843
2008-11,1174.9226265887607
2008-12,1218.095480895428
2009-01,1114.3865527812488
2009-02,1005.963206585731
2009-03,1089.379792621828
2009-04,1218.9726752734884
2009-05,1341.8796582801556
2009-06,1334.8948892132005
2009-07,1452.8701235486537
2009-08,1505.440578752468
2009-09,1574.9891080318573
2009-10,1550.9698868188405
2009-11,1615.449343171448
2009-12,1649.3791859097664
2010-01,1578.421964284684
2010-02,1599.1116863992154
2010-03,1702.7733019421157
2010-04,1706.5264194425083
2010-05,1546.2386444575527
2010-06,1499.1467881931896
2010-07,1621.6052256088276
2010-08,1565.5644546031388
2010-09,1715.8880602685724
2010-10,1778.2496750811003
2010-11,1739.4166779333464
2010-12,1867.3093636045573
2011-01,1897.0385699833055
2011-02,1953.0554498824056
2011-03,1951.91854528918
2011-04,2032.899909272009
2011-05,1991.1023502973433
2011-06,1960.5024248898699
2011-07,1929.2159884478983
2011-08,1789.0799741070055
2011-09,1620.8204237794198
