Date,MSCI PAN-EURO
1996-12,606.53540091
1997-01,608.68663418
1997-02,616.8522632
1997-03,637.56699137
1997-04,636.37133767
1997-05,663.88327383
1997-06,699.04153689
1997-07,734.19020997
1997-08,690.36501462
1997-09,759.28305303
1997-10,721.32074338
1997-11,733.6915244
1997-12,762.97442556
1998-01,796.83176374
1998-02,859.33670845
1998-03,919.17092183
1998-04,936.29103019
1998-05,954.86388742
1998-06,971.95078933
1998-07,994.06206663
1998-08,869.49512264
1998-09,835.03184807
1998-10,904.05159223
1998-11,955.99964041
1998-12,1000.0
1999-01,996.2229599651006
1999-02,970.5147909519334
1999-03,981.3440566410892
1999-04,1008.7128687998204
1999-05,958.756627187492
1999-06,975.9336972300554
1999-07,983.0411862423094
1999-08,994.0300341482716
1999-09,987.2555116550467
1999-10,1029.9218174033892
1999-11,1063.0318507789714
1999-12,1177.207209201781
2000-01,1091.3185112144886
2000-02,1153.7290177899188
2000-03,1181.547275992953
2000-04,1129.8105195752958
2000-05,1120.1461428946807
2000-06,1142.688493802703
2000-07,1122.2094986274965
2000-08,1108.0775598031635
2000-09,1054.159181563635
2000-10,1048.7694708339686
2000-11,1007.9646164569257
2000-12,1078.1682123033363
2001-01,1077.7025204072122
2001-02,975.096743871693
2001-03,905.3822208417034
2001-04,973.6996154789235
2001-05,923.2983630757982
2001-06,889.7242304190037
2001-07,891.5402043321512
2001-08,866.0285236995081
2001-09,783.9206911538407
2001-10,807.472393302375
2001-11,838.0584158912318
2001-12,859.7116106167972
2002-01,812.4010359827178
2002-02,811.9598957505019
2002-03,853.6601362410436
2002-04,846.2041718953091
2002-05,843.214283723039
2002-06,814.0809282442849
2002-07,724.1629376280123
2002-08,724.7429324930994
2002-09,629.3133104614853
2002-10,692.4091388358909
2002-11,725.2612113064779
2002-12,698.1028797925856
2003-01,664.0807699894872
2003-02,643.0388651542413
2003-03,633.7970659137028
2003-04,720.3486576930476
2003-05,765.8215562551733
2003-06,773.1095064520593
2003-07,785.8569666079019
2003-08,781.1164219098222
2003-09,796.1456792392721
2003-10,847.2834988034549
2003-11,883.9489940527876
2003-12,959.27553319831
2004-01,966.998947615464
2004-02,993.5705685783886
2004-03,961.4518652448742
2004-04,954.8806321204951
2004-05,971.3727955674285
2004-06,983.1614496987497
2004-07,956.393229441846
2004-08,956.7190437443421
2004-09,994.5729449364992
2004-10,1030.3373979149437
2004-11,1103.9203021757119
2004-12,1148.8132378732957
2005-01,1125.3682937098997
2005-02,1180.9202566661456
2005-03,1152.3063127199305
2005-04,1126.7988378104235
2005-05,1130.5020495180363
2005-06,1146.350236829995
2005-07,1187.8052279769047
2005-08,1204.337948115395
2005-09,1232.9194676126037
2005-10,1196.7533708529681
2005-11,1216.1754478428015
2005-12,1257.5727440160579
2006-01,1338.0477714529238
2006-02,1336.3868070973833
2006-03,1387.372309160286
2006-04,1459.6895263152592
2006-05,1423.413001168225
2006-06,1429.6532117706245
2006-07,1452.7695426349967
2006-08,1497.8460078785447
2006-09,1508.4414809747216
2006-10,1571.8496917033856
2006-11,1624.5184846925413
2006-12,1673.395292157223
2007-01,1682.52506939901
2007-02,1674.903785837453
2007-03,1732.6755927496138
2007-04,1849.6033393524847
2007-05,1886.4821036610722
2007-06,1893.0997583153173
2007-07,1853.1920699644015
2007-08,1837.2592777894329
2007-09,1937.2885458562357
2007-10,2027.365173012476
2007-11,1971.689471639995
2007-12,1939.3269501614807
2008-01,1733.7068887184967
2008-02,1759.612237287476
2008-03,1764.8006882654763
2008-04,1852.1940455917895
2008-05,1863.12177609267
2008-06,1705.3776204452615
2008-07,1665.240941341901
2008-08,1592.9262938708225
2008-09,1359.9309946733704
2008-10,1082.412220180051
2008-11,1007.056642040296
2008-12,1061.5253925283255
2009-01,938.9687346300815
2009-02,842.4641814677063
2009-03,902.2648671293106
2009-04,1024.6826572345265
2009-05,1152.8189087189305
2009-06,1131.927064439189
2009-07,1251.7298060767976
2009-08,1329.2117479116666
2009-09,1387.5770455347918
2009-10,1375.2980896336308
2009-11,1415.900948001608
2009-12,1437.0594224367076
2010-01,1347.1259858563742
2010-02,1321.675095024168
2010-03,1404.77871158154
2010-04,1363.5267042790447
2010-05,1202.4782581889733
2010-06,1192.922525535584
2010-07,1330.8980585167492
2010-08,1284.8664893550924
2010-09,1419.7586491005075
2010-10,1482.7199370769815
2010-11,1367.5316174104287
2010-12,1479.7745488867358
2011-01,1540.6665816564855
2011-02,1591.1221922645705
2011-03,1574.7497768998549
2011-04,1706.1830014072523
2011-05,1652.6818178799517
2011-06,1625.2055356261674
2011-07,1573.8612235611627
2011-08,1414.443240904331
2011-09,1265.464937035569
2011-10,1421.159215260196
2011-11,1359.7600020591767
2011-12,1340.274579189688
2012-01,1399.5124076160785
2012-02,1486.5181392239288
2012-03,1475.1470821622017
2012-04,1444.8408126700463
2012-05,1272.512679330211
2012-06,1377.0985822046591
2012-07,1393.2046851253128
2012-08,1454.68045744455
2012-09,1495.408758715755
2012-10,1518.2509965680772
2012-11,1556.3713340990812
2012-12,1599.4446662439577
2013-01,1696.7060011668482
2013-02,1645.1777077554316
2013-03,1642.4870884867375
2013-04,1718.3542983521713
2013-05,1722.1270507578122
2013-06,1636.5714459175797
2013-07,1751.8179489755244
2013-08,1728.1679342188922
2013-09,1854.2437299922392
2013-10,1934.5852908431389
2013-11,1959.6749046574498
2013-12,2000.5645474741889
2014-01,1916.4193641464171
2014-02,2053.6764196178497
2014-03,2035.5844038979847
2014-04,2093.4963345471324
2014-05,2117.0615573784794
2014-06,2118.7182240865286
2014-07,2042.0870549999481
2014-08,2052.3906903396955
2014-09,1982.815476163345
2014-10,1925.8331767680047
2014-11,1974.2113752725118
2014-12,1880.2900553958116
2015-01,1878.576936551007
2015-02,1995.3487020748275
2015-03,1944.9620850411118
2015-04,2030.053721200189
2015-05,2013.6654976596276
2015-06,1949.5796669804733
2015-07,2012.3275157669946
2015-08,1862.1170211472743
2015-09,1772.1481136339182
2015-10,1901.4685228052515
2015-11,1863.2563423699391
2015-12,1811.168552930022
2016-01,1694.8720091792281
2016-02,1662.1354714634642
2016-03,1760.555404503885
2016-04,1809.7652809486267
2016-05,1803.1841624590631
2016-06,1735.2722336733657
2016-07,1800.6807789521256
2016-08,1805.2162100967294
2016-09,1819.5258641344349
2016-10,1767.2551334053514
2016-11,1727.5360640954186
2016-12,1823.9265187829906
2017-01,1855.7926075849007
2017-02,1878.4205567778813
2017-03,1958.4927615791769
2017-04,2022.977528
2017-05,2128.0083
2017-06,2105.979835
2017-07,2163.776446
2017-08,2162.561837
2017-09,2235.230237
2017-10,2242.605838
2017-11,2250.735418
2017-12,2282.35897
2018-01,2406.004985
2018-02,2258.282865
2018-03,2234.990693
2018-04,2304.798491444481
2018-05,2223.3435927567975
2018-06,2213.535945799055
2018-07,2289.943627694689
2018-08,2214.6953972329243
2018-09,2230.304450763505
2018-10,2072.3834216971286
2018-11,2063.6733167035613
2018-12,1971.3627790174091
2019-01,2093.7597992864467
2019-02,2164.7581905742413
2019-03,2186.118575395684
2019-04,2264.1535242122904
2019-05,2148.8836827572313
2019-06,2294.337313273549
2019-07,2249.1221745062608
2019-08,2190.9141040141394
2019-09,2251.88646248939
2019-10,2318.3433120150503
2019-11,2347.1811511034366
2019-12,2437.02964906463
2020-01,2374.2206623400243
2020-02,2149.884290424036
2020-03,1863.3202518981761
2020-04,1962.6527272710205
2020-05,2043.5836474580585
2020-06,2132.1761925777773
2020-07,2205.5536400313904
2020-08,2284.169441446535
2020-09,2204.8124854640264
2020-10,2072.5534769520305
2020-11,2427.087499664557
2020-12,2532.6315796367853
2021-01,2492.9102227665157
2021-02,2559.081967517458
2021-03,2647.4393014548036
2021-04,2765.396413245816
2021-05,2887.7545214648926
2021-06,2850.6062880027544
2021-07,2894.738450422035
2021-08,2941.9088530277854
2021-09,2812.8340719882394
2021-10,2948.20312048842
2021-11,2793.422015103366
2021-12,2984.833362977661
2022-01,2872.810318021213
2022-02,2794.285159704261
2022-03,2799.5247219299476
2022-04,2648.2906418067228
2022-05,2683.8923931159497
2022-06,2428.338581198392
2022-07,2542.4729231293736
2022-08,2393.7691328768146
2022-09,2198.10694682859
2022-10,2352.0810652155665
2022-11,2621.5449938346005
2022-12,2618.343602647012
2023-01,2836.1538503533507
2023-02,2819.2792914468114
2023-03,2902.7854586833746
2023-04,3031.7601197964786
2023-05,2865.240010271135
2023-06,3011.4244677354836
