Date,MSCI FM EMEA
2002-05,239.50485773647654
2002-06,245.0125484399962
2002-07,241.32581220541604
2002-08,249.52207428256386
2002-09,241.024099588115
2002-10,243.04608165394856
2002-11,256.7881014366265
2002-12,266.5908601698561
2003-01,272.65005401713455
2003-02,265.9877546689676
2003-03,274.1874652801401
2003-04,301.43212083107954
2003-05,311.3585057558945
2003-06,307.76148951953826
2003-07,320.23601114569806
2003-08,325.04171374883845
2003-09,348.25809183671396
2003-10,356.04932666123125
2003-11,367.0774214568926
2003-12,383.4770160469359
2004-01,394.1478518260717
2004-02,398.66855719400024
2004-03,379.61313321578655
2004-04,384.96940847550394
2004-05,389.15851190865664
2004-06,394.59638531305256
2004-07,403.67970947517074
2004-08,404.0715774558503
2004-09,415.54634234907144
2004-10,420.48865219865485
2004-11,451.2316535001175
2004-12,470.56965054333654
2005-01,502.3247188693478
2005-02,574.0292817225971
2005-03,619.5861028896717
2005-04,665.8556849930127
2005-05,631.6400298871024
2005-06,743.3627827550483
2005-07,706.1798898241149
2005-08,780.9187335923796
2005-09,845.0182041372386
2005-10,856.0520710313607
2005-11,845.5731129270088
2005-12,813.5570727425013
2006-01,805.6272403886854
2006-02,757.6201629108157
2006-03,733.8240528775178
2006-04,722.5830918183229
2006-05,678.471438903568
2006-06,662.1265532558244
2006-07,657.4974350441162
2006-08,705.6870459123929
2006-09,710.4517913767212
2006-10,742.4685341161936
2006-11,690.3624108545707
2006-12,739.1594986644895
2007-01,752.5408900565177
2007-02,776.5483759524934
2007-03,800.4409104931849
2007-04,833.2335079209821
2007-05,908.3764864031498
2007-06,936.4490103149665
2007-07,954.3376016926711
2007-08,938.5077002692808
2007-09,971.9439143569066
2007-10,1015.0983090796784
2007-11,1000.0
2007-12,1058.4625018173388
2008-01,1048.9148949759303
2008-02,1099.346287581493
2008-03,1047.2334038724928
2008-04,1083.2681171995614
2008-05,1088.6723310716457
2008-06,1073.2040223944089
2008-07,1040.6254709472264
2008-08,951.1031459844281
2008-09,823.6483506965873
2008-10,618.844406598422
2008-11,541.5159603859687
2008-12,486.2618063211807
2009-01,395.8092140658987
2009-02,370.8401640363952
2009-03,401.14491033943165
2009-04,445.01125084491866
2009-05,526.1234028249374
2009-06,538.5185714200858
2009-07,546.5054690858268
2009-08,574.0804145326161
2009-09,589.8102922672007
2009-10,569.015326247237
2009-11,534.5904424171594
2009-12,526.7869582005902
2010-01,514.7457396135185
2010-02,548.6838141727703
2010-03,592.34252132543
2010-04,590.6444051321507
2010-05,535.83251531
2010-06,527.9018541427597
2010-07,557.4196747567441
2010-08,560.6790182474673
2010-09,602.9072934064537
2010-10,624.0893932024878
2010-11,614.2864056865234
2010-12,643.9134405305736
