Date,MSCI EM EASTERN EUROPE ex RUSSIA
2000-12,1000.0
2001-01,1025.43357459708
2001-02,887.9710936507838
2001-03,811.0573487383803
2001-04,841.6366355374529
2001-05,866.109952724301
2001-06,794.2887836036517
2001-07,738.2463330015407
2001-08,711.3176941317921
2001-09,662.4078795152001
2001-10,784.7282512219447
2001-11,818.5663051721825
2001-12,836.6826340481665
2002-01,921.6590690178692
2002-02,875.3368979683875
2002-03,898.5811792547961
2002-04,970.6721272190736
2002-05,981.4060426868131
2002-06,886.0539568582715
2002-07,836.4707089572207
2002-08,896.9679422454992
2002-09,849.4278981451597
2002-10,921.1627794868147
2002-11,987.1253910358853
2002-12,999.1045287291363
2003-01,968.1521600274588
2003-02,949.2754602834415
2003-03,944.0016640946674
2003-04,1056.871951501755
2003-05,1147.274471582068
2003-06,1064.1298078828427
2003-07,1148.5532248045972
2003-08,1279.105331157004
2003-09,1245.8521634208805
2003-10,1299.900238662279
2003-11,1254.5744744012736
2003-12,1394.315125958368
2004-01,1427.1776658114188
2004-02,1526.698617980157
2004-03,1618.9248629739675
2004-04,1574.3585359502983
2004-05,1610.684338133989
2004-06,1658.855197797653
2004-07,1663.2906828880118
2004-08,1724.4467603205594
2004-09,1871.794596791133
2004-10,2012.4594497561525
2004-11,2262.8404109081016
2004-12,2480.072077252777
2005-01,2442.463828902941
2005-02,2922.9316222391944
2005-03,2632.4792326921392
2005-04,2419.0545197460924
2005-05,2423.346737121097
2005-06,2634.524716145939
2005-07,2873.859272157723
2005-08,3089.5890824617145
2005-09,3326.9872860100263
2005-10,2984.47200828363
2005-11,3059.2084396298023
2005-12,3146.7225823361437
2006-01,3432.922176987184
2006-02,3455.0548194211674
2006-03,3392.372426940535
2006-04,3757.407936126656
2006-05,3364.6714461768333
2006-06,3325.0973686229445
2006-07,3704.8823359221574
2006-08,3522.1309660329025
2006-09,3460.2584512562034
2006-10,3776.314785638115
2006-11,4122.150047101261
2006-12,4304.432847695188
2007-01,4293.6176702905905
2007-02,4134.57490391077
2007-03,4517.004132329822
2007-04,4895.196664802088
2007-05,4981.866324098968
2007-06,5312.748865297278
2007-07,5340.184226596429
2007-08,5068.860918192403
2007-09,5467.079651682297
2007-10,5940.593008615342
2007-11,5615.236231963504
2007-12,5602.56191571732
2008-01,4886.778781435025
2008-02,5102.554195456812
2008-03,5299.874317734066
2008-04,5307.4085958898995
2008-05,5600.832775574343
2008-06,5272.317368024217
2008-07,5682.913336660561
2008-08,5018.767939934484
2008-09,4263.47224916359
2008-10,2776.631708590403
2008-11,2503.1987027582304
2008-12,2608.4590129411067
2009-01,2007.2067331276103
2009-02,1652.6755126927862
2009-03,1916.8221566908537
2009-04,2376.9030337292575
2009-05,2613.521070750844
2009-06,2720.4873037222433
2009-07,3359.8202180998633
2009-08,3585.2524152876704
2009-09,3629.5883097034566
2009-10,3733.2577893500516
2009-11,3957.096228060145
2009-12,3851.5121556369427
2010-01,3848.3437273773484
2010-02,3658.3576106678993
2010-03,4062.786411620749
2010-04,4061.1125774012953
2010-05,3395.1451819204462
2010-06,3153.480278043899
2010-07,3703.6040386338127
2010-08,3564.4070258511824
2010-09,4121.387875334349
2010-10,4288.060066045739
2010-11,3785.574943117528
2010-12,4151.007876432408
2011-01,4321.445471588682
2011-02,4360.786567051459
2011-03,4579.5695939855805
2011-04,5077.893050044536
2011-05,4858.714440696782
2011-06,4765.226385578159
2011-07,4598.753791535026
2011-08,4032.8021619593915
2011-09,3193.409986070423
2011-10,3586.3440784201566
2011-11,3279.973659533705
2011-12,3038.215866799248
2012-01,3468.8817067883674
2012-02,3642.90262275002
2012-03,3549.430770558203
2012-04,3453.485339352148
2012-05,2861.464465878927
2012-06,3318.9078871337083
2012-07,3277.486302372176
2012-08,3487.0699975715092
2012-09,3725.6836661413963
2012-10,3692.1789776521223
2012-11,3771.847434468911
2012-12,4021.05798357255
2013-01,3941.318475456287
2013-02,3780.9642927432305
2013-03,3565.2722574147015
2013-04,3626.654446162302
2013-05,3727.9579053025327
2013-06,3463.2369513347912
2013-07,3703.5728669944797
2013-08,3759.686245990399
2013-09,3972.5623670374275
2013-10,4255.606249748186
2013-11,4253.513611414374
2013-12,4078.536581047213
2014-01,3862.597944693797
2014-02,4230.1110515909195
2014-03,4180.079538796587
2014-04,4178.220640840833
2014-05,4227.469257597701
2014-06,4182.028937513417
2014-07,3929.3654859476237
2014-08,4006.5254901634885
2014-09,4078.0565048170265
2014-10,3901.4129378011207
2014-11,3854.0042573497276
2014-12,3507.1540403661397
2015-01,3355.8640710620393
2015-02,3466.412420995194
2015-03,3456.9210753668563
2015-04,3845.829817153759
2015-05,3597.571784139497
