Date,ACWI WITH PARTIAL A SHARES
2008-11,1036.34564756576
2008-12,1074.3998984773625
2009-01,982.9923431479351
2009-02,887.4150762940016
2009-03,961.0161708665735
2009-04,1075.293648398675
2009-05,1183.6697483309945
2009-06,1177.6457161932258
2009-07,1281.8050602562566
2009-08,1327.8714427463308
2009-09,1389.2518533209616
2009-10,1368.1606041376458
2009-11,1425.0746389584135
2009-12,1455.0094340841347
2010-01,1392.3669724488664
2010-02,1410.6812357546132
2010-03,1502.112986503825
2010-04,1505.3841398459763
2010-05,1363.9568190057464
2010-06,1322.4303755869842
2010-07,1430.5066600029386
2010-08,1381.0831291150707
2010-09,1513.6301251361385
2010-10,1568.7517420435909
2010-11,1534.5241376171903
2010-12,1647.2577817152364
2011-01,1673.4369572855383
2011-02,1722.8205653380096
2011-03,1721.8116282697442
2011-04,1793.2348670982942
2011-05,1756.4042460799199
2011-06,1729.4533536379522
2011-07,1701.8742293876815
2011-08,1578.2792730460444
2011-09,1429.8433599113876
2011-10,1583.3543775380858
2011-11,1536.7200502616806
2011-12,1534.128126733827
2012-01,1623.7122009450618
2012-02,1706.2169653388908
2012-03,1718.3200229775014
2012-04,1699.847512964696
2012-05,1549.03505111204
2012-06,1626.2185503176356
2012-07,1648.958727537981
2012-08,1685.5521142084688
2012-09,1739.3727836462565
2012-10,1728.2441851975716
2012-11,1751.1227378537128
2012-12,1791.9063936828722
2013-01,1874.9949017916078
2013-02,1875.5173147874782
2013-03,1910.532306968641
2013-04,1966.3439914963105
2013-05,1962.773062675185
2013-06,1905.9205809097164
2013-07,1997.6827450771711
2013-08,1957.0819410559468
2013-09,2058.8894542675393
2013-10,2142.0429071149633
2013-11,2173.360981348436
2013-12,2211.5304166776828
2014-01,2123.5843707803874
2014-02,2227.051426995285
2014-03,2238.0112009290365
2014-04,2260.3994617221633
2014-05,2310.427844379865
2014-06,2354.9830451507864
2014-07,2327.417088958065
2014-08,2379.762640022105
2014-09,2303.621731114409
2014-10,2320.428613965244
2014-11,2360.3955024516245
2014-12,2316.318120990041
2015-01,2280.6199324344097
2015-02,2408.4698632173167
2015-03,2373.300087393312
2015-04,2444.6101162550285
2015-05,2443.471578630259
2015-06,2386.5295251279604
2015-07,2407.200389342684
2015-08,2242.7420334023345
2015-09,2162.5478130253196
2015-10,2333.0074055684686
2015-11,2314.7439140573856
2015-12,2273.9894605749982
2016-01,2136.0624030416434
2016-02,2122.58698930916
2016-03,2281.813552886363
2016-04,2316.666398492253
2016-05,2321.5472754700672
2016-06,2308.762207239055
2016-07,2408.878333245927
2016-08,2418.5454992583736
2016-09,2434.360517840332
2016-10,2393.6807344299855
2017-04,2682.106032
2017-05,2743.644721
2017-06,2757.43886
2017-07,2835.661392
2017-08,2848.156946
2017-09,2904.227202
2017-10,2965.265109
2017-11,3023.661369
2017-12,3073.593615
2018-01,3248.025324
2018-02,3112.655861
2018-03,3048.0388175689254
2018-04,3078.6949551857847
2018-05,3085.3823804907147
2018-06,3069.6874534382514
2018-07,3163.1528190676468
2018-08,3189.287878024024
2018-09,3204.465403744316
2018-10,2965.0105635896775
2018-11,3009.7905734225637
2018-12,2799.029004736475
2019-01,3020.8889330624734
2019-02,3103.138422636924
2019-03,3144.1366167672068
2019-04,3251.9221644906365
2019-05,3061.725336235673
2019-06,3263.6023123373307
2019-07,3274.2585242692544
2019-08,3198.1979575593373
2019-09,3267.057614261764
2019-10,3357.276689555894
2019-11,3440.9762859515354
2019-12,3563.009831858997
2020-01,3524.699075470854
2020-02,3240.3682752437617
2020-03,2804.0495137664843
2020-04,3106.3266602941076
2020-05,3244.131210715736
2020-06,3348.2458329135834
2020-07,3525.2699712391354
2020-08,3742.569846162648
2020-09,3623.4552499741203
2020-10,3535.33186650673
2020-11,3973.47525345174
2020-12,4158.813062259217
