Date,MSCI ACWI ex HONG KONG
1998-12,1000.0
1999-01,1020.7294906938429
1999-02,994.4969050752387
1999-03,1039.3851318699735
1999-04,1082.3900246543117
1999-05,1045.598823067172
1999-06,1097.7013556133784
1999-07,1093.0891223326978
1999-08,1091.9091854194396
1999-09,1080.498469100731
1999-10,1134.5134609274694
1999-11,1168.4116911664335
1999-12,1265.3396824543265
2000-01,1196.7443729769398
2000-02,1199.9694057604902
2000-03,1279.9675376791197
2000-04,1223.3314178041614
2000-05,1193.7343857234366
2000-06,1233.6256458217908
2000-07,1195.7925065716388
2000-08,1233.6770991843448
2000-09,1166.074171879556
2000-10,1143.2751269188484
2000-11,1072.0847137165392
2000-12,1088.7718489762199
2001-01,1116.3273882591675
2001-02,1021.8508853213206
2001-03,953.5095068376548
2001-04,1023.655037580429
2001-05,1012.2578264899756
2001-06,981.1813670331321
2001-07,965.8872457642331
2001-08,921.7098860932601
2001-09,838.048148579766
2001-10,855.7439942369376
2001-11,907.871099520311
2001-12,916.0966413344122
2002-01,890.9268449545045
2002-02,884.5943783790261
2002-03,924.4365769365181
2002-04,894.5180459250728
2002-05,896.0995317634699
2002-06,841.4114944132307
2002-07,770.6164051833211
2002-08,772.8764609158046
2002-09,687.917353325786
2002-10,738.7452507629978
2002-11,779.1170336695906
2002-12,742.1150886030861
2003-01,720.2665167322085
2003-02,707.6376081278307
2003-03,705.1928391210652
2003-04,768.5774602360318
2003-05,813.1840624332533
2003-06,828.8287147165934
2003-07,847.0187173727904
2003-08,866.6053299211057
2003-09,871.8762429967994
2003-10,924.8776392030398
2003-11,939.1551407817308
2003-12,999.0324559693998
2004-01,1015.6261471867737
2004-02,1034.268336406007
2004-03,1029.1371841771636
2004-04,1005.6951765501886
2004-05,1014.2102823003062
2004-06,1034.8416738217836
2004-07,1001.7484865055916
2004-08,1007.819355576252
2004-09,1029.0809929138175
2004-10,1054.6800141120957
2004-11,1112.3494474285746
2004-12,1155.8340317515479
2005-01,1131.7349433853888
2005-02,1171.4814516009803
2005-03,1146.23138345454
2005-04,1121.2108043210203
2005-05,1143.1348161373812
2005-06,1154.9927793955046
2005-07,1197.8396680253604
2005-08,1207.657886426521
2005-09,1244.3205550068208
2005-10,1211.3857132760936
2005-11,1256.196614754411
2005-12,1287.533318510607
2006-01,1351.1563209872954
2006-02,1349.692857112057
2006-03,1378.738767109345
2006-04,1425.1112590207686
2006-05,1370.310435966635
2006-06,1370.2498915635006
2006-07,1379.814075185311
