Date,MSCI WORLD ex UK
1969-12,100.0
1970-01,94.053417
1970-02,97.938241
1970-03,98.116199
1970-04,89.112386
1970-05,83.462735
1970-06,80.93877
1970-07,86.252275
1970-08,89.495545
1970-09,92.22831
1970-10,90.837815
1970-11,93.883814
1970-12,98.506216
1971-01,103.57128
1971-02,105.049805
1971-03,109.318934
1971-04,112.114873
1971-05,108.818317
1971-06,109.924819
1971-07,107.302101
1971-08,109.830663
1971-09,108.73495
1971-10,104.567171
1971-11,105.329187
1971-12,115.054158
1972-01,119.120236
1972-02,123.491512
1972-03,125.43278699999999
1972-04,126.944551
1972-05,130.150239
1972-06,128.120083
1972-07,129.72526
1972-08,133.776992
1972-09,133.029123
1972-10,134.340714
1972-11,141.279375
1972-12,144.310208
1973-01,145.635589
1973-02,146.647841
1973-03,146.969042
1973-04,138.941048
1973-05,138.229107
1973-06,139.31927
1973-07,143.926948
1973-08,138.199099
1973-09,142.43816
1973-10,143.681645
1973-11,125.385704
1973-12,124.937072
1974-01,126.505273
1974-02,128.038448
1974-03,126.362762
1974-04,123.525431
1974-05,119.231301
1974-06,116.127077
1974-07,109.3961
1974-08,99.311139
1974-09,90.30583
1974-10,99.400244
1974-11,98.75154
1974-12,97.034296
1975-01,109.286484
1975-02,117.736509
1975-03,119.586269
1975-04,123.674777
1975-05,126.622854
1975-06,130.096733
1975-07,122.934013
1975-08,119.939584
1975-09,114.757618
1975-10,122.885453
1975-11,126.821865
1975-12,126.592913
1976-01,137.93035
1976-02,137.316098
1976-03,139.850377
1976-04,138.87393
1976-05,137.592764
1976-06,142.227697
1976-07,141.242721
1976-08,141.469594
1976-09,143.830315
1976-10,139.65324
1976-11,138.544436
1976-12,148.022022
1977-01,142.055374
1977-02,141.299299
1977-03,140.176908
1977-04,141.620827
1977-05,139.428878
1977-06,144.898187
1977-07,143.128731
1977-08,142.542404
1977-09,143.588782
1977-10,140.842961
1977-11,143.656975
1977-12,146.058459
1978-01,141.881406
1978-02,141.588691
1978-03,148.40662
1978-04,155.866681
1978-05,157.629593
1978-06,159.666358
1978-07,170.947246
1978-08,174.986741
1978-09,177.178683
1978-10,173.20773
1978-11,167.479019
1978-12,173.154259
1979-01,178.285333
1979-02,173.526447
1979-03,179.07218
1979-04,178.048304
1979-05,176.250854
1979-06,181.992108
1979-07,183.544425
1979-08,191.418222
1979-09,196.022744
1979-10,182.238928
1979-11,187.830512
1979-12,193.597208
1980-01,204.612172
1980-02,203.784466
1980-03,182.618525
1980-04,194.530656
1980-05,205.165185
1980-06,213.673856
1980-07,220.410553
1980-08,224.872894
1980-09,231.921828
1980-10,237.521576
1980-11,249.309641
1980-12,244.745839
1981-01,237.330557
1981-02,239.163728
1981-03,248.484449
1981-04,248.260203
1981-05,245.139354
1981-06,245.886455
1981-07,242.36898
1981-08,236.583679
1981-09,221.250151
1981-10,227.859348
1981-11,242.874682
1981-12,238.427846
1982-01,233.891016
1982-02,220.215732
1982-03,213.529695
1982-04,224.765527
1982-05,218.109452
1982-06,208.906534
1982-07,205.44386
1982-08,221.780504
1982-09,222.12136
1982-10,238.739241
1982-11,253.509135
1982-12,265.739965
1983-01,272.460209
1983-02,278.752249
1983-03,289.261775
1983-04,308.574201
1983-05,304.771021
1983-06,315.192739
1983-07,310.292456
1983-08,312.566133
1983-09,319.685691
1983-10,316.299546
1983-11,324.247536
1983-12,328.927734
1984-01,331.081675
1984-02,324.320101
1984-03,340.047198
1984-04,339.106239
1984-05,314.758476
1984-06,317.771148
1984-07,307.481238
1984-08,338.55579
1984-09,337.885711
1984-10,342.129499
1984-11,340.440611
1984-12,347.712323
1985-01,368.324294
1985-02,370.818532
1985-03,380.472066
1985-04,378.749013
1985-05,398.437029
1985-06,407.57049
1985-07,412.615753
1985-08,414.454783
1985-09,419.496433
1985-10,440.15391
1985-11,464.009184
1985-12,490.059983
1986-01,498.147298
1986-02,537.749
1986-03,590.924
1986-04,605.627
1986-05,608.704248
1986-06,631.146277
1986-07,641.914245
1986-08,699.499459
1986-09,674.420288
1986-10,661.055497
1986-11,689.522376
1986-12,701.61222
1987-01,784.433804
1987-02,804.684668
1987-03,855.557752
1987-04,905.268413
1987-05,902.131977
1987-06,898.661187
1987-07,916.733654
1987-08,978.656054
1987-09,955.357404
1987-10,797.82552
1987-11,780.211127
1987-12,808.375747
1988-01,830.839603
1988-02,884.294917
1988-03,909.7475
1988-04,920.174459
1988-05,902.744321
1988-06,904.357826
1988-07,922.295383
1988-08,872.846517
1988-09,909.543327
1988-10,969.214164
1988-11,1005.245379
1988-12,1016.908213
1989-01,1047.12834
1989-02,1042.642293
1989-03,1034.928989
1989-04,1059.861891
1989-05,1038.378277
1989-06,1025.12633
1989-07,1137.776246
1989-08,1110.333899
1989-09,1145.333194
1989-10,1113.59957
1989-11,1157.014558
1989-12,1187.706911
1990-01,1126.714898
1990-02,1076.910317
1990-03,1008.716302
1990-04,999.475241
1990-05,1100.757982
1990-06,1085.839064
1990-07,1092.003561
1990-08,985.121279
1990-09,879.55266
1990-10,963.166033
1990-11,939.617412
1990-12,962.822142
1991-01,998.081882
1991-02,1092.069014
1991-03,1063.097704
1991-04,1074.222851
1991-05,1100.736861
1991-06,1035.796793
1991-07,1076.890956
1991-08,1069.945671
1991-09,1096.680157
1991-10,1120.370999
1991-11,1072.225326
1991-12,1148.8670574
1992-01,1126.6363542
1992-02,1106.5819517999998
1992-03,1055.9555615
1992-04,1057.2583176
1992-05,1097.0289089
1992-06,1061.1656805
1992-07,1069.9760271
1992-08,1099.9876163
1992-09,1091.3668056
1992-10,1069.3142188
1992-11,1089.3261089999999
1992-12,1093.9617907
1993-01,1101.236759
1993-02,1133.898193
1993-03,1197.9031109999999
1993-04,1255.977177
1993-05,1287.385114
1993-06,1277.085903
1993-07,1306.934104
1993-08,1363.6398829999998
1993-09,1337.6253749999998
1993-10,1372.988872682138
1993-11,1286.138334687133
1993-12,1345.3326321887107
1994-01,1437.8069375557072
1994-02,1425.771403264782
1994-03,1368.4774953566955
1994-04,1410.2653068606892
1994-05,1422.3409460863722
1994-06,1417.7818125141746
1994-07,1440.0863825702793
1994-08,1479.6832256550636
1994-09,1444.2197068403761
1994-10,1481.132966738535
1994-11,1417.1880742713595
1994-12,1432.4942704254086
1995-01,1411.3003383787782
1995-02,1433.4889484789985
1995-03,1498.8433377284416
1995-04,1554.7815899279863
1995-05,1565.987594933635
1995-06,1565.5974362981146
1995-07,1643.279802736802
1995-08,1607.223375297892
1995-09,1654.1719239502304
1995-10,1625.8824724598294
1995-11,1687.7031312610866
1995-12,1737.8671348877137
1996-01,1773.263403124344
1996-02,1784.0368498527623
1996-03,1818.1862507598767
1996-04,1862.0492635587545
1996-05,1861.9943525950307
1996-06,1873.8223174384964
1996-07,1800.061634838542
1996-08,1813.5904591580668
1996-09,1888.1164307904085
1996-10,1893.58915677939
1996-11,1999.877855147787
1996-12,1957.1073371311609
1997-01,1990.448115227147
1997-02,2009.4033480508624
1997-03,1963.2425017744058
1997-04,2031.0408818047708
1997-05,2160.494561361468
1997-06,2277.079560014345
1997-07,2382.1486559651867
1997-08,2210.66189899921
1997-09,2323.2746671346713
1997-10,2197.5170529264346
1997-11,2240.0215990567563
1997-12,2261.248381498382
1998-01,2319.2779039325237
1998-02,2476.104397678604
1998-03,2578.037314963262
1998-04,2605.9559288699966
1998-05,2581.0842720763562
1998-06,2645.383096096557
1998-07,2647.418063569411
1998-08,2275.9198988925464
1998-09,2327.553028067393
1998-10,2546.6835681252173
1998-11,2702.9591891591404
1998-12,2840.780177385168
1999-01,2913.9071960002666
1999-02,2820.9023520326273
1999-03,2942.3060214939273
1999-04,3058.8446831920187
1999-05,2954.3893608286385
1999-06,3107.753501806431
1999-07,3092.5044788887944
1999-08,3088.266273768444
1999-09,3061.014151388039
1999-10,3228.247955304652
1999-11,3325.0235111457837
1999-12,3603.0696084982146
2000-01,3409.980421946335
2000-02,3430.745397666932
2000-03,3666.8604643429344
2000-04,3512.064953287771
2000-05,3426.8358008257987
2000-06,3551.7237326875297
2000-07,3439.4771138915394
2000-08,3559.8997556574905
2000-09,3361.7693731638687
2000-10,3297.5780623258993
2000-11,3097.172618098044
2000-12,3130.6869706429934
2001-01,3204.0215446792026
2001-02,2927.3245403050014
2001-03,2729.0983281223325
2001-04,2934.9554694782005
2001-05,2905.2061127000725
2001-06,2815.505627011004
2001-07,2774.1250070071696
2001-08,2629.8908129064257
2001-09,2391.7682544067825
2001-10,2437.808038701654
2001-11,2593.1626861857235
2001-12,2604.5833792282965
2002-01,2529.6324921394034
2002-02,2507.046722384516
