Date,MSCI ZHONG HUA
1992-12,100.0
1993-01,104.22027229321635
1993-02,114.94930248576429
1993-03,115.23018098992671
1993-04,123.92364589287602
1993-05,134.4751292252609
1993-06,129.69623478508214
1993-07,127.13747280170057
1993-08,136.56053211762676
1993-09,139.49699744383437
1993-10,171.6399737429871
1993-11,169.4906520375616
1993-12,215.92545326550947
1994-01,207.4162592007632
1994-02,185.89557075757597
1994-03,165.59980804417484
1994-04,166.21635173116795
1994-05,177.6416586767073
1994-06,163.16157136379186
1994-07,176.28719076566682
1994-08,186.27985497127412
1994-09,178.54427416109547
1994-10,179.71500178839284
1994-11,157.8493743027086
1994-12,152.5673989921639
1995-01,134.55576035608513
1995-02,155.0566349768626
1995-03,158.92738018297632
1995-04,154.14089653517408
1995-05,174.6075574952459
1995-06,171.81398478657687
1995-07,175.42475089357035
1995-08,169.51367274648464
1995-09,179.22496680169877
1995-10,179.3533053882541
1995-11,179.567718034614
1995-12,185.16490552861714
1996-01,209.11397209344977
1996-02,206.941414475939
1996-03,206.94609049823663
1996-04,207.21342374828367
1996-05,213.49056199380502
1996-06,208.6899120412909
1996-07,199.22880460190925
1996-08,205.61970888135357
1996-09,219.2950004824119
1996-10,228.22089129633497
1996-11,247.06017276754613
1996-12,246.61898176753996
1997-01,241.31656537096916
1997-02,241.09728432496598
1997-03,225.32923522174164
1997-04,229.67128513875528
1997-05,257.7939693828183
1997-06,270.811219928545
1997-07,288.2137974127792
1997-08,251.8340560223539
1997-09,265.98928619537514
1997-10,190.03766509270775
1997-11,186.579747736556
1997-12,189.0631248925262
1998-01,162.22365891556953
1998-02,194.87781079838058
1998-03,190.8018858549272
1998-04,170.64926713862693
1998-05,147.4062983229569
1998-06,138.91948276374148
1998-07,128.03449728900273
1998-08,118.54878943328899
1998-09,138.911115062866
1998-10,183.95743311856626
1998-11,183.82508079475667
1998-12,180.2607115348407
1999-01,167.66381930035192
1999-02,169.11895663956045
1999-03,191.32498675103787
1999-04,234.12186529813823
1999-05,215.83156976579943
1999-06,238.5350477491891
1999-07,230.1086869680905
1999-08,232.09538237077516
1999-09,222.8180140221331
1999-10,233.5846838724839
1999-11,262.96892062878055
1999-12,285.2149873231215
2000-01,263.73548898858417
2000-02,277.9058441735556
2000-03,285.36368571656186
2000-04,259.51905990643263
2000-05,230.56498225013524
2000-06,252.01350712065985
2000-07,262.9275330144059
2000-08,261.7272707337683
2000-09,237.56868864149257
2000-10,222.896463310045
2000-11,208.7457075388429
2000-12,224.45950410656445
2001-01,237.65822100103816
2001-02,227.73162685020569
2001-03,200.34281339433053
2001-04,205.40084861522743
2001-05,205.22049494815624
2001-06,199.1692629351676
2001-07,190.9043997530156
2001-08,170.25371527642488
2001-09,148.7695210698602
2001-10,153.58001564944394
2001-11,172.43986428343536
2001-12,179.04729528839198
2002-01,172.37927170588287
2002-02,167.62997173517437
2002-03,177.61769671493687
2002-04,187.11358002318832
2002-05,182.058780769007
