Date,MSCI GOLDEN DRAGON (A ONSHORE exB) SMALL CAP
2009-12,1051.269623569434
2010-01,1009.4179225508573
2010-02,1052.120337430583
2010-03,1117.084498351062
2010-04,1086.1331048736195
2010-05,986.7721572544068
2010-06,942.677486222377
2010-07,1046.2370699240817
2010-08,1087.1635635303567
2010-09,1174.7350048378644
2010-10,1238.0002173300068
2010-11,1255.9931320547062
2010-12,1278.2520033781943
2011-01,1245.2070072587742
2011-02,1274.895561436979
2011-03,1285.5878672708247
2011-04,1292.4917848244645
2011-05,1238.851722129681
2011-06,1232.4202317229137
2011-07,1240.9025207873487
2011-08,1148.868773291398
2011-09,979.4759085439887
2011-10,1046.9635654492338
2011-11,972.075422781258
2011-12,879.1270369230883
2012-01,913.557361477393
2012-02,1035.9149356942564
2012-03,971.1126107224812
2012-04,1002.9329964469396
2012-05,977.0503626705536
2012-06,930.9529752168833
2012-07,877.8629556972971
2012-08,899.8179293056578
2012-09,930.9834051587582
2012-10,924.5514920754866
2012-11,884.7023674794501
2012-12,982.1651534404753
2013-01,1037.6080566783073
2013-02,1062.802545127555
2013-03,1044.8536932630354
2013-04,1041.9247684696497
2013-05,1148.599936232763
2013-06,1003.9031241492077
2013-07,1053.98239672204
2013-08,1115.6758786534235
2013-09,1166.1045275030901
2013-10,1165.203142665277
2013-11,1217.9282561756345
2013-12,1205.408871900206
2014-01,1206.2748007141508
2014-02,1244.6450693394615
2014-03,1207.481959035901
2014-04,1176.8766280581426
2014-05,1207.1167295526554
2014-06,1248.7574118207651
2014-07,1321.394936077192
2014-08,1373.3633904358735
2014-09,1469.2587621105333
2014-10,1482.2309884221315
2014-11,1519.2647022666488
2014-12,1455.7578008539733
2015-01,1513.4579916603363
2015-02,1582.7581835150504
2015-03,1844.3585964425185
2015-04,2144.5431671941597
2015-05,2538.619923933128
2015-06,2297.718465648648
2015-07,1898.6065643641698
2015-08,1634.1146441349206
2015-09,1578.7745916424528
2015-10,1840.004988158849
2015-11,1940.631868059059
2015-12,2024.5169349572616
2016-01,1536.4405240010951
2016-02,1540.7736701221177
2016-03,1756.825934987889
2016-04,1749.160071962298
2016-05,1685.9950739747983
2016-06,1734.9586791733395
2016-07,1740.2002088116658
2016-08,1829.005390536305
2016-09,1844.1060040357875
2016-10,1865.9074348827332
2017-04,1778.813221
2017-05,1702.002065
2017-06,1752.914311
2017-07,1794.602991
2017-08,1865.698795
2017-09,1886.437978
2017-10,1886.909272
2017-11,1791.159073
2017-12,1785.490728
2018-01,1816.286202
2018-02,1716.00014
2018-03,1740.457192
2018-04,1661.6342230740242
2018-05,1658.2524233885056
2018-06,1464.7416551042863
2018-07,1434.0879212596244
2018-08,1332.1101580942325
2018-09,1305.5777530659147
2018-10,1149.5371215257696
2018-11,1224.689505071425
2018-12,1182.2149547028637
2019-01,1216.2816846869582
2019-02,1407.7684676140536
2019-03,1517.5547831172948
2019-04,1478.3196420605818
2019-05,1370.1230654408712
2019-06,1388.9921185810235
2019-07,1367.3720000253243
2019-08,1306.3013869701156
2019-09,1320.5256234018034
2019-10,1349.1979890449709
2019-11,1324.467030164186
2019-12,1429.8898227043865
2020-01,1430.8865561545194
2020-02,1441.535668219026
2020-03,1309.840194038344
2020-04,1385.209350924798
2020-05,1395.3322467190367
2020-06,1524.5719082364024
2020-07,1722.2485034448487
2020-08,1791.5279925215991
2020-09,1679.460623316882
2020-10,1693.259114206803
2020-11,1782.4563702992918
2020-12,1779.3717983153779
