Date,MSCI FRONTIER MARKETS 100
2007-11,1804.856295
2007-12,1914.607598
2008-01,1902.510612
2008-02,1986.170801
2008-03,1868.333065
2008-04,1959.85661
2008-05,1967.661351
2008-06,1941.706348
2008-07,1891.488716
2008-08,1737.622062
2008-09,1506.374808
2008-10,1130.632074
2008-11,985.009486
2008-12,875.9662751
2009-01,701.2520342
2009-02,659.1886613
2009-03,715.6224127
2009-04,796.7482878
2009-05,945.063886
2009-06,966.9633749
2009-07,985.0542248
2009-08,1044.134336
2009-09,1070.543115
2009-10,1029.596429
2009-11,965.0051967
2009-12,953.8346851
2010-01,927.2810043
2010-02,988.9721613
2010-03,1073.204742
2010-04,1068.856511
2010-05,967.4268734
2010-06,960.0591366
2010-07,1021.534578
2010-08,1030.835428
2010-09,1110.286486
2010-10,1158.021124
2010-11,1147.162258
2010-12,1207.038591
2011-01,1204.88209
2011-02,1122.709868
2011-03,1136.049622
2011-04,1198.864106
2011-05,1147.471461
2011-06,1139.831356
2011-07,1108.876768
2011-08,1053.469594
2011-09,1004.239369
2011-10,1030.29932
2011-11,1000.0
2011-12,982.1811736217222
2012-01,991.6772498824082
2012-02,1018.6137548037549
2012-03,1041.102514613912
2012-04,1024.8164691089362
2012-05,971.979167850538
2012-06,966.2521355428289
2012-07,975.7971063213355
2012-08,994.6289955552407
2012-09,1035.37355748975
2012-10,1026.553938248488
2012-11,1046.3685173599977
2012-12,1066.68734221878
2013-01,1142.6817903439476
2013-02,1141.3175012874995
2013-03,1151.8072295931204
2013-04,1194.1891697708766
2013-05,1253.6207722176596
2013-06,1184.5579161815897
2013-07,1242.0455025656681
2013-08,1218.613034963888
2013-09,1260.490854319149
2013-10,1293.1832330601424
2013-11,1317.9922376162776
2013-12,1347.5882798510086
2014-01,1352.527730606093
2014-02,1401.5343863155556
2014-03,1453.3482429146827
2014-04,1536.3002629553714
2014-05,1634.9221912203577
2014-06,1524.1848134794807
2014-07,1600.3280191759134
2014-08,1583.8485621332964
2014-09,1611.601088434417
2014-10,1542.798693894709
2014-11,1482.0598841338126
2014-12,1419.529447230301
2015-01,1368.3614674894202
2015-02,1418.6008423643814
2015-03,1400.7945909753016
2015-04,1447.3905711629368
2015-05,1389.0780108192275
2015-06,1381.7386200153148
2015-07,1344.1272690510891
2015-08,1263.3355285443552
2015-09,1234.281183350672
2015-10,1290.6937180917878
2015-11,1236.7989705541847
2015-12,1229.1245368633422
2016-01,1141.3398629174383
2016-02,1184.224517055512
2016-03,1220.4679530743035
2016-04,1261.039867587567
2016-05,1286.8201438748429
2016-06,1254.9587381123486
2016-07,1270.1711283593554
2016-08,1250.435231953746
2016-09,1293.1488633201548
2016-10,1289.4951988970477
2016-11,1281.4565810817733
2016-12,1319.2943221977798
2017-01,1421.4591535001418
2017-02,1420.2621535797828
2017-03,1467.7805431236063
2017-04,1483.10854
2017-05,1553.110862
2017-06,1551.07029
2017-07,1579.508284
2017-08,1632.415347
2017-09,1670.538592
2017-10,1690.55492
2017-11,1723.968236
2017-12,1785.084124
2018-01,1882.414288
2018-02,1849.878932
2018-03,1862.4625149141605
2018-04,1806.6828365855847
2018-05,1639.0172304074053
2018-06,1585.1487302762291
2018-07,1640.8114937818013
2018-08,1562.791606447405
2018-09,1563.3301616911701
2018-10,1504.17858983373
2018-11,1537.0030759199083
2018-12,1485.4596296773893
2019-01,1567.3941572673505
2019-02,1580.9203735413632
2019-03,1602.5807297934307
2019-04,1607.4998186418782
2019-05,1635.8195913486397
2019-06,1700.4654936477316
2019-07,1738.8267370774124
2019-08,1683.0905801831962
2019-09,1657.6065992683148
2019-10,1669.3943180243518
2019-11,1715.9041205808035
2019-12,1770.0412536374317
2020-01,1781.8578068948534
2020-02,1663.688603208722
2020-03,1299.4130948872398
2020-04,1381.3425333578639
2020-05,1446.1373245887285
2020-06,1471.0375518616695
2020-07,1469.284877796207
2020-08,1600.8778295576249
2020-09,1607.8475090601798
2020-10,1628.6292303728324
2020-11,1714.7555929006128
2020-12,1808.775993549561
2021-01,1860.347145229156
2021-02,1847.793571569932
2021-03,1866.8197820053833
2021-04,1981.095884235851
2021-05,2056.284911424776
2021-06,2117.2974831200063
2021-07,2121.293829146571
2021-08,2191.9070469507997
2021-09,2237.4163495909306
2021-10,2333.132116072112
2021-11,2245.1600447956785
2021-12,2279.1020504489757
2022-01,2185.4411588775242
2022-02,2141.6294463866534
2022-03,2140.6440958863977
2022-04,2081.22696949187
2022-05,1941.8726060047195
2022-06,1829.8280457285812
2022-07,1862.9706805835392
2022-08,1892.0072336671165
2022-09,1720.010495272976
2022-10,1634.3119319512211
2022-11,1724.7806103495175
2022-12,1691.4234259125737
2023-01,1764.8840050726112
2023-02,1714.7571104108856
2023-03,1738.072526151216
2023-04,1751.6747889416188
2023-05,1753.907280687432
2023-06,1752.6308148753783
