Date,MSCI NORDIC COUNTRIES
1969-12,100.0
1970-01,97.543894
1970-02,92.51115
1970-03,94.845256
1970-04,86.88127
1970-05,81.655705
1970-06,86.575324
1970-07,92.788765
1970-08,90.201165
1970-09,88.668552
1970-10,82.812779
1970-11,87.875746
1970-12,88.099565
1971-01,93.940678
1971-02,96.927142
1971-03,97.307073
1971-04,95.907846
1971-05,100.304586
1971-06,103.49403
1971-07,104.130344
1971-08,106.270463
1971-09,103.508402
1971-10,105.161735
1971-11,109.876021
1971-12,114.765753
1972-01,118.758288
1972-02,118.333463
1972-03,125.64841000000001
1972-04,128.179446
1972-05,125.760139
1972-06,130.518082
1972-07,133.691562
1972-08,139.085159
1972-09,137.147151
1972-10,139.393786
1972-11,144.230666
1972-12,144.258489
1973-01,154.995375
1973-02,165.391341
1973-03,164.796237
1973-04,174.639358
1973-05,188.591491
1973-06,201.038236
1973-07,204.748771
1973-08,188.92001
1973-09,188.340294
1973-10,193.029897
1973-11,170.103873
1973-12,172.142549
1974-01,175.692786
1974-02,182.545252
1974-03,188.626648
1974-04,194.305504
1974-05,177.389203
1974-06,172.137878
1974-07,176.571447
1974-08,157.542804
1974-09,150.405213
1974-10,164.320774
1974-11,158.623565
1974-12,163.263089
1975-01,180.431139
1975-02,195.356848
1975-03,189.767966
1975-04,199.313371
1975-05,196.188886
1975-06,200.744059
1975-07,192.23527
1975-08,185.962541
1975-09,180.934977
1975-10,191.146084
1975-11,185.182654
1975-12,187.874248
1976-01,201.630173
1976-02,199.201033
1976-03,199.560155
1976-04,214.096886
1976-05,206.910814
1976-06,208.740988
1976-07,210.834378
1976-08,202.015367
1976-09,200.708701
1976-10,187.681984
1976-11,191.919052
1976-12,201.808617
1977-01,187.649247
1977-02,202.682736
1977-03,205.603528
1977-04,196.321058
1977-05,191.681129
1977-06,179.062754
1977-07,176.736671
1977-08,157.756859
1977-09,166.302437
1977-10,161.972998
1977-11,153.056839
1977-12,167.450439
1978-01,176.75935
1978-02,175.640626
1978-03,183.21592
1978-04,187.807224
1978-05,184.668081
1978-06,186.810589
1978-07,201.821282
1978-08,209.682011
1978-09,203.942199
1978-10,207.433469
1978-11,192.872924
1978-12,197.878489
1979-01,210.976768
1979-02,207.663353
1979-03,209.137118
1979-04,205.442485
1979-05,207.282441
1979-06,216.183804
1979-07,222.60049
1979-08,221.039186
1979-09,230.595429
1979-10,228.22062
1979-11,242.688341
1979-12,243.663498
1980-01,250.969461
1980-02,242.647493
1980-03,211.880162
1980-04,232.981983
1980-05,241.744858
1980-06,245.147977
1980-07,245.99534
1980-08,238.864557
1980-09,249.53904
1980-10,263.274144
1980-11,270.073155
1980-12,268.369184
1981-01,256.745711
1981-02,275.770161
1981-03,290.784761
1981-04,275.984509
1981-05,275.166364
1981-06,295.134051
1981-07,304.507122
1981-08,311.241105
1981-09,282.135795
1981-10,314.957043
1981-11,343.757854
1981-12,332.928526
1982-01,328.685091
1982-02,320.728702
1982-03,303.472302
1982-04,308.689382
1982-05,315.059088
1982-06,299.436247
1982-07,312.108846
1982-08,312.235322
1982-09,323.039116
1982-10,318.243774
1982-11,351.589753
1982-12,377.18619
1983-01,414.688793
1983-02,484.980441
1983-03,499.781401
1983-04,562.194825
1983-05,559.409893
1983-06,547.345313
1983-07,580.742677
1983-08,598.786352
1983-09,604.952544
1983-10,590.578357
1983-11,607.406486
1983-12,596.457422
1984-01,636.912391
1984-02,636.055598
1984-03,654.808603
1984-04,629.35663
1984-05,572.981445
1984-06,568.279132
1984-07,560.312663
1984-08,562.455225
1984-09,517.563319
1984-10,508.961789
1984-11,483.50606
1984-12,474.665725
1985-01,514.367008
1985-02,480.734905
1985-03,498.389669
1985-04,507.371794
1985-05,502.238081
1985-06,498.902341
1985-07,559.687704
1985-08,551.181601
1985-09,586.053757
1985-10,641.565347
1985-11,708.368804
1985-12,750.185287
1986-01,752.142144
1986-02,824.006443
1986-03,872.14884
1986-04,963.506053
1986-05,942.953723
1986-06,994.03048
1986-07,1012.446856
1986-08,1051.23683
1986-09,1040.382238
1986-10,1068.401776
1986-11,1070.79863
1986-12,1082.968678
1987-01,1079.638924
1987-02,1180.598739
1987-03,1244.381376
1987-04,1320.129
1987-05,1272.420805
1987-06,1307.902724
1987-07,1387.14199
1987-08,1471.601607
1987-09,1500.060367
1987-10,1252.903433
1987-11,1163.479648
1987-12,1207.442595
1988-01,1263.897013
1988-02,1315.225994
1988-03,1410.01277
1988-04,1442.765
1988-05,1490.507418
1988-06,1450.145286
1988-07,1464.562928
1988-08,1376.04704
1988-09,1439.641383
1988-10,1578.278466
1988-11,1651.942596
1988-12,1729.903225
1989-01,1796.529911
1989-02,1840.821539
1989-03,1902.872515
1989-04,1968.997297
1989-05,1914.24
1989-06,2018.115972
1989-07,2205.199962
1989-08,2128.501353
1989-09,2111.180377
1989-10,2012.16203
1989-11,2039.674029
1989-12,2256.124032
1990-01,2309.897026
1990-02,2268.358831
1990-03,2231.184623
1990-04,2191.404041
1990-05,2408.401691
1990-06,2472.755293
1990-07,2627.173841
1990-08,2359.034001
1990-09,1973.024551
1990-10,2050.967339
1990-11,1954.002378
1990-12,1928.654888
1991-01,2071.622947
1991-02,2254.988847
1991-03,2163.142981
1991-04,2047.457247
1991-05,2169.678793
1991-06,2068.58017
1991-07,2183.810229
1991-08,2169.877886
1991-09,2133.123727
1991-10,2077.406373
1991-11,1960.07379
1991-12,2076.8421196
1992-01,2094.150329
1992-02,2004.844476
1992-03,2009.9278109
1992-04,2017.4808057999999
1992-05,2172.7549433
1992-06,2073.8081111
1992-07,2023.2433308
1992-08,1866.8861571999998
1992-09,1712.1304882
1992-10,1602.4714388999998
1992-11,1725.1264108
1992-12,1692.0578997999999
1993-01,1714.6750559999998
1993-02,1728.809376
1993-03,1784.4586849999998
1993-04,1953.0732400000002
1993-05,2071.1879249999997
1993-06,1979.2045349999999
1993-07,2015.8716559999998
1993-08,2183.025345
1993-09,2217.183384
1993-10,2415.924861414596
1993-11,2210.062239770841
1993-12,2395.323839726795
1994-01,2768.7335124255333
1994-02,2707.920411234036
1994-03,2575.4705418161097
1994-04,2721.874851186145
1994-05,2641.571925079081
1994-06,2583.2842745224175
1994-07,2781.772584733014
1994-08,2767.542910167417
1994-09,2761.544121217729
1994-10,2977.6662319248217
1994-11,2853.9464915137723
