Date,MSCI WORLD
1969-12,100.0
1970-01,94.528
1970-02,97.558
1970-03,97.947
1970-04,88.877
1970-05,83.357
1970-06,81.389
1970-07,86.525
1970-08,89.464
1970-09,92.438
1970-10,91.164
1970-11,93.296
1970-12,98.017
1971-01,102.615
1971-02,103.788
1971-03,108.435
1971-04,112.068
1971-05,109.5
1971-06,110.702
1971-07,109.019
1971-08,111.488
1971-09,110.515
1971-10,106.433
1971-11,107.426
1971-12,117.193
1972-01,121.582
1972-02,126.354
1972-03,128.197
1972-04,129.991
1972-05,132.732
1972-06,129.744
1972-07,131.847
1972-08,135.69
1972-09,133.722
1972-10,134.917
1972-11,142.094
1972-12,144.79
1973-01,145.225
1973-02,146.32
1973-03,146.617
1973-04,139.331
1973-05,139.013
1973-06,139.984
1973-07,143.42
1973-08,137.559
1973-09,141.637
1973-10,143.167
1973-11,124.712
1973-12,123.787
1974-01,124.841
1974-02,126.894
1974-03,123.8
1974-04,121.85
1974-05,117.059
1974-06,113.49
1974-07,106.887
1974-08,96.694
1974-09,87.796
1974-10,96.318
1974-11,94.934
1974-12,93.484
1975-01,107.239
1975-02,116.842
1975-03,117.83
1975-04,122.839
1975-05,125.871
1975-06,127.582
1975-07,120.651
1975-08,118.919
1975-09,114.055
1975-10,122.042
1975-11,125.502
1975-12,125.732
1976-01,137.094
1976-02,136.202
1976-03,137.942
1976-04,137.064
1976-05,134.908
1976-06,139.189
1976-07,138.023
1976-08,137.837
1976-09,139.131
1976-10,134.396
1976-11,134.011
1976-12,144.228
1977-01,139.528
1977-02,139.06
1977-03,138.34
1977-04,140.004
1977-05,138.251
1977-06,143.608
1977-07,141.838
1977-08,142.518
1977-09,144.449
1977-10,142.147
1977-11,144.094
1977-12,147.115
1978-01,142.95
1978-02,142.028
1978-03,148.635
1978-04,155.498
1978-05,157.639
1978-06,159.391
1978-07,171.076
1978-08,175.192
1978-09,177.417
1978-10,174.171
1978-11,168.217
1978-12,173.914
1979-01,178.579
1979-02,175.375
1979-03,182.932
1979-04,182.886
1979-05,179.939
1979-06,185.346
1979-07,186.962
1979-08,194.695
1979-09,199.306
1979-10,184.702
1979-11,190.619
1979-12,195.949
1980-01,207.989
1980-02,208.339
1980-03,186.164
1980-04,198.609
1980-05,208.657
1980-06,218.936
1980-07,225.928
1980-08,230.624
1980-09,237.829
1980-10,245.044
1980-11,255.562
1980-12,250.269
1981-01,243.284
1981-02,244.275
1981-03,253.264
1981-04,253.653
1981-05,248.95
1981-06,248.816
1981-07,244.857
1981-08,240.322
1981-09,222.529
1981-10,229.625
1981-11,246.964
1981-12,241.998
1982-01,238.722
1982-02,224.495
1982-03,218.592
1982-04,229.574
1982-05,223.959
1982-06,214.09
1982-07,211.565
1982-08,227.135
1982-09,228.415
1982-10,244.329
1982-11,257.493
1982-12,269.277
1983-01,275.247
1983-02,281.25
1983-03,291.373
1983-04,312.404
1983-05,309.575
1983-06,319.526
1983-07,314.057
1983-08,315.975
1983-09,322.61
1983-10,319.053
1983-11,327.536
1983-12,331.964
1984-01,334.958
1984-02,329.677
1984-03,345.404
1984-04,344.367
1984-05,318.778
1984-06,321.754
1984-07,310.662
1984-08,342.057
1984-09,340.977
1984-10,344.837
1984-11,343.758
1984-12,351.132
1985-01,370.708
1985-02,371.62
1985-03,384.711
1985-04,383.849
1985-05,403.77
1985-06,411.168
1985-07,419.848
1985-08,423.483
1985-09,426.84
1985-10,450.006
1985-11,475.353
1985-12,497.798
1986-01,505.355357
1986-02,551.085012
1986-03,605.132978
1986-04,621.956596
1986-05,620.335722
1986-06,645.401381
1986-07,650.760198
1986-08,707.795127
1986-09,679.85991
1986-10,668.348854
1986-11,696.795081
1986-12,710.852911
1987-01,794.527084
1987-02,820.891526
1987-03,871.895974
1987-04,923.196021
1987-05,924.648263
1987-06,924.277077
1987-07,942.907018
1987-08,998.80452
1987-09,981.574489
1987-10,815.068927
1987-11,795.399957
1987-12,830.014513
1988-01,850.427072
1988-02,899.942434
1988-03,927.283576
1988-04,939.151111
1988-05,920.553782
1988-06,919.444561
1988-07,936.901901
1988-08,885.594954
1988-09,923.330655
1988-10,984.955782
1988-11,1019.421261
1988-12,1028.809016
1989-01,1066.206627
1989-02,1059.670232
1989-03,1053.049045
1989-04,1077.526941
1989-05,1051.285188
1989-06,1039.597784
1989-07,1157.252109
1989-08,1129.421508
1989-09,1161.496747
1989-10,1122.947122
1989-11,1167.966177
1989-12,1205.700304
1990-01,1149.589056
1990-02,1100.482134
1990-03,1034.213347
1990-04,1019.493435
1990-05,1127.041672
1990-06,1119.200412
1990-07,1129.589107
1990-08,1024.045966
1990-09,916.252718
1990-10,1001.977608
1990-11,985.714076
1990-12,1006.545761
1991-01,1043.55107
1991-02,1140.338847
1991-03,1106.908947
1991-04,1115.748989
1991-05,1141.217801
1991-06,1070.947307
1991-07,1121.711027
1991-08,1118.334535
1991-09,1147.856626
1991-10,1166.663435
1991-11,1116.018048
1991-12,1197.4601397
1992-01,1175.4897234999999
1992-02,1155.4054280999999
1992-03,1101.1744399
1992-04,1116.7187099
1992-05,1161.3433908
1992-06,1122.6490407
1992-07,1125.7223353
1992-08,1153.3094845
1992-09,1142.9485680999999
1992-10,1112.1945455
1992-11,1132.3021142999999
1992-12,1141.6600919999998
1993-01,1145.689151
1993-02,1173.040476
1993-03,1241.265345
1993-04,1299.015608
1993-05,1329.16982
1993-06,1318.232163
1993-07,1345.599539
1993-08,1407.5034249999999
1993-09,1381.7206179999998
1993-10,1420.0222451807908
1993-11,1339.918166692077
1993-12,1405.7130241294792
1994-01,1498.6607675218968
1994-02,1479.5081928970083
1994-03,1415.972146277769
1994-04,1459.993451389427
1994-05,1464.001410458832
1994-06,1460.1934090075274
1994-07,1488.2117549421625
1994-08,1533.288379400317
1994-09,1493.2676945959213
1994-10,1536.0166227108164
1994-11,1469.6698792765637
1994-12,1484.1771433107908
1995-01,1462.1695400088336
1995-02,1483.7711054814006
1995-03,1555.5902420605087
1995-04,1610.1105933183073
1995-05,1624.1924025055437
1995-06,1624.0074930383855
1995-07,1705.582123275923
1995-08,1667.8910840013264
1995-09,1716.7962994882942
1995-10,1690.085087147994
1995-11,1749.0893667581997
1995-12,1800.5534332488774
1996-01,1833.4463410546084
1996-02,1844.948690560491
1996-03,1875.9876177745853
1996-04,1920.4399909427198
1996-05,1922.445386191023
1996-06,1932.5111400186822
1996-07,1864.566374157683
1996-08,1886.3544209592035
1996-09,1960.5602084639793
1996-10,1974.6011297208756
1996-11,2085.6064440265045
1996-12,2052.559233505973
1997-01,2077.6482577451443
1997-02,2101.8989663037896
1997-03,2060.68539650962
1997-04,2128.402896060886
1997-05,2260.1550055969715
1997-06,2373.246702611106
1997-07,2482.910460892789
1997-08,2317.176415612011
1997-09,2443.4316878053633
1997-10,2315.203613153134
1997-11,2356.5411167520383
1997-12,2385.6303892030014
1998-01,2452.4895419810705
1998-02,2618.7823694011663
1998-03,2729.76291429612
1998-04,2756.845191529983
1998-05,2722.6995221726443
1998-06,2787.7117049489702
1998-07,2783.6425798318583
1998-08,2412.837846458105
1998-09,2455.929127071462
1998-10,2678.3730573468792
1998-11,2838.0737809089896
1998-12,2977.1527378008013
1999-01,3042.7562348275364
1999-02,2962.236125867483
1999-03,3086.007843063738
1999-04,3208.0928041116026
1999-05,3091.297373081455
1999-06,3235.913930979569
1999-07,3226.654213279131
1999-08,3221.376577966518
1999-09,3190.5746166054078
1999-10,3356.8596771942553
1999-11,3451.73357597845
1999-12,3731.559088451656
2000-01,3518.2902348510816
2000-02,3528.216971000475
2000-03,3772.5216952923342
2000-04,3613.441493313568
2000-05,3522.4042676047197
2000-06,3641.4979056033394
2000-07,3539.4333998079887
2000-08,3655.012097794138
2000-09,3461.094798803994
2000-10,3403.53781134873
2000-11,3197.3383291813866
2000-12,3249.5130381312642
2001-01,3312.625897681826
2001-02,3033.040275612327
2001-03,2834.39679237808
2001-04,3044.6110020822257
2001-05,3006.795751288961
2001-06,2913.015779236963
2001-07,2874.656129241699
2001-08,2737.2327376586595
2001-09,2496.400504125993
2001-10,2544.470509721647
2001-11,2695.385315140254
2001-12,2712.658003736902
2002-01,2630.770455789928
2002-02,2608.4134365714795
2002-03,2724.270406666819
2002-04,2632.7519835761627
2002-05,2638.8548370505873
2002-06,2479.2853611312494
2002-07,2270.6134640623095
2002-08,2275.3346061955363
2002-09,2025.6063481013352
2002-10,2175.4745580663985
2002-11,2293.254455576435
2002-12,2182.570329437844
2003-01,2116.6236065077055
2003-02,2080.3824420966507
2003-03,2074.66615315816
2003-04,2259.9563288397667
2003-05,2390.2201179532594
2003-06,2432.474600133872
2003-07,2482.327782172081
2003-08,2536.5530967404034
2003-09,2552.643003350804
2003-10,2704.6335366497533
2003-11,2746.4636287936914
2003-12,2919.4417702123746
2004-01,2966.9318614725034
2004-02,3017.675343543188
2004-03,2998.829990000524
2004-04,2939.07572313156
2004-05,2967.8841338630777
2004-06,3030.0930729865145
2004-07,2931.9641928608094
2004-08,2946.0222054854617
2004-09,3002.69550032355
2004-10,3076.9042108074837
