Date,MSCI EAFE Expanded ADR Index
2016-02,1000.0
2016-03,1051.6756208887728
2016-04,1088.630277682125
2016-05,1089.5786163336297
2016-06,1067.8815977530867
2016-07,1117.7107590020514
2016-08,1120.6353413076624
2016-09,1122.654514704853
2016-10,1083.7094165096166
2016-11,1075.0455894295433
2016-12,1112.8068293216115
2017-01,1140.117383323293
2017-02,1159.5806967538474
2017-03,1198.823146251633
2017-04,1231.1783194448485
2017-05,1272.803690302359
2017-06,1271.206821975932
2017-07,1305.640153195059
2017-08,1302.305249517948
2017-09,1335.9204327732514
2017-10,1357.9063303842997
2017-11,1363.6315436730763
2017-12,1379.7574309965532
2018-01,1456.371424902528
2018-02,1378.8066035089043
2018-03,1369.4344324051456
2018-04,1391.4886300448995
2018-05,1359.3131439420413
2018-06,1341.5845032106506
2018-07,1383.9736585400774
2018-08,1347.094538387001
2018-09,1358.9750041410823
2018-10,1253.238672794156
2018-11,1257.15554154607
2018-12,1192.984531546359
2019-01,1274.8816428392417
2019-02,1309.8211073575612
2019-03,1321.2277047828059
2019-04,1367.158790098253
2019-05,1299.0071542566288
2019-06,1377.6810811473724
2019-07,1351.5992933067396
2019-08,1325.298669925507
2019-09,1363.3916120005601
2019-10,1408.0720065123
2019-11,1425.5405224481156
2019-12,1470.5277916320092
2020-01,1435.7938437870505
2020-02,1324.2990670275578
2020-03,1142.8389724624506
2020-04,1210.8302823137778
2020-05,1275.2165383242952
2020-06,1324.0269771013097
2020-07,1345.8766784496393
2020-08,1408.7836193515195
2020-09,1376.2518534630171
2020-10,1314.601824309903
2020-11,1508.4101570717612
2020-12,1587.871801590151
2021-01,1567.5289006174103
2021-02,1609.6280468354325
2021-03,1650.4707274320026
2021-04,1699.413443657309
2021-05,1769.3851668774419
2021-06,1744.5142978625324
2021-07,1754.7881131184304
2021-08,1781.364019239417
2021-09,1723.7543062073078
2021-10,1778.9938168578535
2021-11,1696.3796278023515
2021-12,1782.9959412172818
2022-01,1720.9716213130464
2022-02,1659.817747442331
2022-03,1661.624978802937
2022-04,1556.2429418323156
2022-05,1593.664097122595
2022-06,1448.4521891541065
2022-07,1516.8729402047622
2022-08,1430.6944268519958
2022-09,1297.5768588271178
2022-10,1378.8845358307858
2022-11,1563.3674114734567
2022-12,1537.3112986618341
2023-01,1666.4174082341247
2023-02,1618.3670249134898
2023-03,1672.1426283552944
2023-04,1721.178705172133
2023-05,1656.3936857687852
2023-06,1738.328222771302
