Date,MSCI ACWI ex AUSTRALIA
1987-12,100.0
1988-01,102.64816965157218
1988-02,108.66868471806963
1988-03,111.87015695027122
1988-04,113.24739157542031
1988-05,110.7720189908718
1988-06,110.74014517841542
1988-07,112.73818694081332
1988-08,106.51529560529657
1988-09,111.25537824132505
1988-10,118.55145666531133
1988-11,122.6519410029609
1988-12,123.81262619613263
1989-01,128.19195430644297
1989-02,127.72473879148795
1989-03,126.97764059822501
1989-04,130.19101622270995
1989-05,127.12283943121227
1989-06,125.31429450859694
1989-07,139.518725178735
1989-08,136.03103483068674
1989-09,140.21340757278162
1989-10,135.72068547069705
1989-11,141.18536618795758
1989-12,145.78536843462973
1990-01,139.01058826001506
1990-02,133.22753960415847
1990-03,124.93127909143766
1990-04,123.46194372221541
1990-05,136.3803675829293
1990-06,135.36848016694
1990-07,136.66660059188598
1990-08,123.6548845270816
1990-09,110.6350447271168
1990-10,121.16579516345058
1990-11,119.09968057319158
1990-12,121.74937267400473
1991-01,126.21375964751269
1991-02,138.11766834251415
1991-03,134.17842046938438
1991-04,135.16673528272938
1991-05,138.5104472073023
1991-06,129.91283284405057
1991-07,136.0681545749335
1991-08,135.8031411767896
1991-09,139.23319481870445
1991-10,141.5759052415365
1991-11,135.49873545767477
1991-12,145.72686496230384
1992-01,143.57528391333867
1992-02,141.354184858143
1992-03,134.94398731286998
1992-04,136.7017198287952
1992-05,141.99171854752788
1992-06,136.92322309106615
1992-07,137.41910376178063
1992-08,140.73083840214747
1992-09,139.60092517134353
1992-10,136.25980360225677
1992-11,138.54383951007875
1992-12,139.68782921395135
1993-01,140.25656942558393
1993-02,143.44184422392422
1993-03,151.72322230435742
1993-04,158.7035445055473
1993-05,162.5252264416831
1993-06,161.50568554669258
1993-07,164.67991023658416
1993-08,172.4997651845124
1993-09,169.62647100116092
1993-10,174.43903667690424
1993-11,165.39855090884467
1993-12,174.20113880511812
1994-01,185.63487557689285
1994-02,183.0648438607182
1994-03,174.92197391675919
1994-04,179.65339468447905
1994-05,180.5950705958328
1994-06,179.84903404374285
1994-07,183.74953114998763
1994-08,190.25922165315464
1994-09,185.8799457207298
1994-10,190.6361995786838
1994-11,182.33854584580914
1994-12,182.92195471307127
1995-01,179.31176127735873
1995-02,181.16727803162863
1995-03,189.61616800700205
1995-04,196.4262378961745
1995-05,198.69095930252203
1995-06,198.76378011073484
1995-07,208.25215829615013
1995-08,203.56485150552425
1995-09,209.26859666206758
1995-10,205.7938887547269
1995-11,212.29660997071088
1995-12,218.7160954065205
1996-01,223.55131802519745
1996-02,224.3918605515933
1996-03,227.90792298574158
1996-04,233.38993518276675
1996-05,233.65763143888617
1996-06,235.0711751374099
1996-07,226.32077685049487
1996-08,228.9375995650553
1996-09,237.5130769568279
1996-10,238.3393123109801
1996-11,251.1233994793193
1996-12,247.439508163386
1997-01,251.80288251297188
1997-02,255.17664559502205
1997-03,250.00792540831966
1997-04,258.0525087717038
1997-05,273.6056318428973
1997-06,287.67400952547655
1997-07,300.8870221944103
1997-08,279.7684330790378
1997-09,294.7056909640395
1997-10,277.4495337653211
1997-11,281.8135055459491
1997-12,285.45598072213244
1998-01,291.57930185836324
1998-02,311.71737224447867
1998-03,325.1686192724257
1998-04,328.30730553468425
1998-05,322.22115353456815
1998-06,328.0808336492251
1998-07,328.20784920691375
1998-08,282.20587697744156
1998-09,287.66611705894474
1998-10,313.9523818565851
1998-11,333.00553809951816
1998-12,348.691402403795
1999-01,355.6513770612669
1999-02,346.7101215337401
1999-03,362.31357751825027
1999-04,377.6902712181095
1999-05,364.57282309637367
1999-06,382.7265152539396
1999-07,381.1423002709104
1999-08,380.95259566652624
1999-09,376.77563039545856
1999-10,396.18519401658136
1999-11,408.3954529045099
1999-12,442.5445125801072
2000-01,418.57786981707676
2000-02,420.12782646704744
2000-03,448.0983242862405
2000-04,427.9105750150917
2000-05,416.8451754890836
2000-06,430.4395147999609
2000-07,417.96298699104096
2000-08,431.05540303494666
2000-09,407.3226295749467
2000-10,399.5600091587481
2000-11,374.433929079337
2000-12,380.6010758690227
2001-01,390.15506222490757
2001-02,357.13864794749395
2001-03,333.2681093056883
2001-04,357.35948165097113
2001-05,353.2989434114844
2001-06,342.18054948710517
2001-07,336.9564139024812
2001-08,321.23654101293016
2001-09,292.0397267566753
2001-10,297.982699469938
2001-11,316.237149947523
2001-12,319.19036174450554
2002-01,310.30074002194027
2002-02,307.95389400989586
2002-03,321.9064680279247
2002-04,311.6155561278029
2002-05,311.7547321248881
2002-06,292.657309380068
2002-07,268.0686627157114
2002-08,268.6544621340644
2002-09,238.9145279575112
2002-10,256.5972158930855
2002-11,270.763714034372
2002-12,257.7075971779262
2003-01,249.95276840266473
2003-02,245.54974354841417
2003-03,244.4179735920248
2003-04,266.2952487632976
2003-05,281.9239701891651
2003-06,287.21755152245566
2003-07,293.738042440701
2003-08,300.7028665469181
2003-09,302.42242067993567
2003-10,320.6203583103635
2003-11,325.64713607484896
2003-12,346.1507149779473
2004-01,352.21614042928593
2004-02,358.5056462460286
2004-03,356.4373164840936
2004-04,348.5319743294357
2004-05,351.48568106704323
2004-06,358.7352331145113
2004-07,347.1058347622753
2004-08,349.2586560476572
2004-09,356.28364435835095
2004-10,364.7974894970235
2004-11,384.58972026160984
2004-12,399.5480460125476
2005-01,390.91339700578794
2005-02,404.45450534836937
2005-03,395.8682177052552
2005-04,387.3536938856302
2005-05,395.05427099186596
2005-06,398.8073266153545
2005-07,413.78505323099404
2005-08,417.0998268442076
2005-09,429.35505648654873
2005-10,418.22634085638333
2005-11,433.66604488069265
2005-12,444.4530537280283
2006-01,466.2124066111869
2006-02,465.8492880426337
2006-03,476.02350632555925
2006-04,491.48915769589377
2006-05,472.7244522887459
2006-06,472.6223100739804
2006-07,475.90818404794874
2006-08,488.4382307388975
2006-09,494.5503052412076
2006-10,512.6862385182151
2006-11,527.2771893881246
2006-12,539.0338808489175
2007-01,544.6205614883766
2007-02,541.41472972074
2007-03,552.0179207751092
2007-04,576.5439281049131
2007-05,594.5112417402498
2007-06,592.4877098957007
2007-07,583.5549510564023
2007-08,582.4306173742566
2007-09,612.3685393724332
2007-10,635.7205696336486
2007-11,608.4711641288773
