Date,MSCI AC FAR EAST ex JAPAN ex HK
1987-12,100.0
1988-01,107.7213
1988-02,107.4534
1988-03,112.9778
1988-04,120.6009
1988-05,122.5672
1988-06,134.1512
1988-07,137.3156
1988-08,125.6965
1988-09,126.4592
1988-10,130.0254
1988-11,129.0481
1988-12,132.1567
1989-01,145.0767
1989-02,144.5784
1989-03,150.5025
1989-04,163.6999
1989-05,167.6673
1989-06,171.1316
1989-07,181.1544
1989-08,180.2697
1989-09,185.2953
1989-10,181.0641
1989-11,193.1579
1989-12,206.8019
1990-01,210.6259
1990-02,213.5836
1990-03,212.486
1990-04,198.9657
1990-05,221.7912
1990-06,224.2226
1990-07,238.6798
1990-08,200.1607
1990-09,164.19
1990-10,171.8874
1990-11,161.5762
1990-12,173.758
1991-01,180.5618
1991-02,205.682
1991-03,213.3083
1991-04,213.6987
1991-05,212.4326
1991-06,202.8824
1991-07,200.6435
1991-08,192.2837
1991-09,184.5221
1991-10,187.3221
1991-11,193.7747
1991-12,205.5753
1992-01,216.6262
1992-02,216.665
1992-03,213.7386
1992-04,214.3856
1992-05,214.4219
1992-06,219.4577
1992-07,217.7048
1992-08,213.0766
1992-09,222.6025
1992-10,235.7789
1992-11,235.3338
1992-12,233.4549
1993-01,239.1353
1993-02,244.5339
1993-03,244.1049
1993-04,268.5978
1993-05,278.2799
1993-06,273.1949
1993-07,280.5641
1993-08,306.3924
1993-09,322.3689
1993-10,370.7496
1993-11,370.2994
1993-12,452.8294
1994-01,412.4826
1994-02,402.6469
1994-03,358.5623
1994-04,385.434
1994-05,395.679
1994-06,387.2686
1994-07,403.3957
1994-08,442.3541
1994-09,441.9814
1994-10,453.4491
1994-11,416.56
1994-12,407.1635
1995-01,365.2814883858989
1995-02,394.19856837773654
1995-03,392.4384161137791
1995-04,392.0840588008956
1995-05,438.1358864844194
1995-06,431.75933595064964
1995-07,437.7111121419875
1995-08,414.0491580078525
1995-09,413.30159521674665
1995-10,403.6011648098386
1995-11,396.75211782836004
1995-12,419.82108974167056
1996-01,450.86544862558395
1996-02,451.0460159149519
1996-03,456.2527481997843
1996-04,474.73065156236294
1996-05,461.31001220844655
1996-06,452.75193244207946
1996-07,414.54185063230517
1996-08,430.18297960168815
1996-09,433.9156355966672
1996-10,415.4531714907631
1996-11,434.9229809376347
1996-12,431.9299052740626
1997-01,444.95985112813304
1997-02,447.5944184252126
1997-03,425.27456843933646
1997-04,407.1691808030682
1997-05,414.56660565288945
1997-06,420.7410298070656
1997-07,410.8071077932539
1997-08,323.45325754766804
1997-09,307.46606985253476
1997-10,241.5044340916793
1997-11,218.93076166409008
1997-12,200.77272279326115
1998-01,191.71000606541057
1998-02,239.52408721766918
1998-03,233.13670713590938
1998-04,209.50950532479882
1998-05,174.79090998773754
1998-06,149.92092697455462
1998-07,150.34453025546625
1998-08,119.15783135055742
1998-09,127.77301127619494
1998-10,157.55011544248111
1998-11,182.52126996920987
1998-12,189.19160456964116
1999-01,187.28284443466697
1999-02,180.74927722666794
1999-03,198.86866411156495
1999-04,245.84298273502392
1999-05,240.37776959109152
1999-06,292.52624182167483
1999-07,280.4312108855491
1999-08,286.01433630430694
1999-09,257.486185254695
1999-10,269.3846730337528
1999-11,292.16067989737337
1999-12,310.98287745779186
2000-01,313.1675166306586
2000-02,280.1542321019757
2000-03,296.6928561911732
2000-04,274.48769679785437
2000-05,256.9654426480384
2000-06,266.77817492342683
2000-07,248.42002792960983
2000-08,243.3274827104967
2000-09,212.1904284410203
2000-10,194.721584410486
2000-11,183.94667488978385
2000-12,176.77096443019803
2001-01,208.23236234209924
2001-02,196.19489744547738
2001-03,175.2679908112899
2001-04,176.2254360334045
2001-05,175.59527024785834
2001-06,174.03125345542077
2001-07,165.2087265796556
2001-08,165.81327936539347
2001-09,139.16459501789754
2001-10,147.1041849404641
2001-11,167.71136096035534
2001-12,185.15568879601213
2002-01,196.27635901443995
2002-02,199.26299820056096
2002-03,214.51416928543853
2002-04,215.06538331935897
2002-05,212.24160770300514
2002-06,201.2546510956355
2002-07,194.19289259666806
2002-08,191.34199677652188
2002-09,167.40471131534662
2002-10,177.18987457886408
2002-11,185.53733930144418
2002-12,173.11284808415257
2003-01,175.45787970794663
2003-02,166.24063069996652
2003-03,158.94498899770198
2003-04,166.47414361643635
2003-05,180.97836248526892
2003-06,193.75002704686003
2003-07,211.57796872774452
2003-08,224.43691147221847
2003-09,222.4127854575795
2003-10,243.87432805710338
2003-11,239.57785235160782
2003-12,254.18709296769268
2004-01,269.4901515963026
2004-02,279.89892580737705
2004-03,277.40103860006707
2004-04,260.5965406276037
2004-05,252.7958821835573
2004-06,249.7931324786179
2004-07,240.66842646413554
2004-08,252.15565721240807
2004-09,262.26014528168037
2004-10,263.89384587278727
2004-11,286.26844116726863
2004-12,294.3396084615361
2005-01,300.67006551233277
2005-02,320.1253901774396
2005-03,304.13658112335264
2005-04,297.50323068170525
2005-05,306.21045543239825
2005-06,312.61248623097515
2005-07,333.96363283069024
2005-08,321.7547257827958
2005-09,339.4456609121569
2005-10,318.35101181190487
2005-11,344.0803556635295
2005-12,367.65710774723055
