Date,MSCI EAFE VOTING RIGHTS-ADJUSTED
2007-11,893.2287262013763
2007-12,873.6996089628035
2008-01,792.2673764890924
2008-02,803.2561444207697
2008-03,794.3336752242466
2008-04,840.0886439687413
2008-05,849.9245317488696
2008-06,779.8245127365053
2008-07,753.9800674825556
2008-08,724.9499515165097
2008-09,619.3548990947827
2008-10,491.1732911844134
2008-11,466.9274427158649
2008-12,494.9704652881105
2009-01,446.131939992506
2009-02,401.0717220381035
2009-03,425.78632731895294
2009-04,481.85995884030467
2009-05,540.3983373769807
2009-06,537.1913724567743
2009-07,585.9014417869316
2009-08,618.8901521785413
2009-09,642.951238923854
2009-10,634.7775655727993
2009-11,647.8695529973393
2009-12,657.4040469554051
2010-01,627.8533435705485
2010-02,623.4902958572525
2010-03,662.871492128113
2010-04,650.9265849070119
2010-05,576.930712222903
2010-06,570.9385474149825
2010-07,625.8678900187172
2010-08,606.1027588717794
2010-09,665.4379226613261
2010-10,689.2911636968436
2010-11,655.8083681240305
2010-12,709.1091742679323
2011-01,726.0593066487546
2011-02,750.5335690094524
2011-03,733.4557404113993
2011-04,777.1948420513556
2011-05,754.6142434197993
2011-06,745.4214917693979
2011-07,733.5468859076796
2011-08,667.2945835200424
2011-09,604.3873324489863
2011-10,662.4142249697962
2011-11,629.9887071286448
2011-12,623.9563736776047
2012-01,657.5403176475578
2012-02,695.07073765773
2012-03,692.0300326909288
2012-04,678.3505828295876
2012-05,601.7199488529698
2012-06,644.09866855534
2012-07,650.8848173352563
2012-08,668.5251656021444
2012-09,688.628222964177
2012-10,693.9660375787489
2012-11,710.4989212580939
2012-12,733.3600715785002
2013-01,771.3144802815063
2013-02,764.0922919998785
2013-03,771.0059736179976
2013-04,812.175374877255
2013-05,792.7535003485664
2013-06,764.7361506204572
2013-07,805.0581668652608
2013-08,794.2095587617408
2013-09,853.1331200319097
2013-10,882.2986066480612
2013-11,888.7102962049006
2013-12,901.9757247533983
2014-01,865.3571455148871
2014-02,912.1872130866125
2014-03,907.2308796752468
2014-04,921.5092238954027
2014-05,938.2381463008397
2014-06,947.4826730397313
2014-07,929.6854391774693
2014-08,928.394320868472
2014-09,892.4178636708633
2014-10,879.3602970513267
2014-11,890.7564930375696
2014-12,861.1496618908449
2015-01,865.3522934329753
2015-02,917.3553211907873
2015-03,903.0389379160549
2015-04,940.9762268842609
2015-05,937.2693639600413
2015-06,911.5126172223005
2015-07,930.3767047979123
2015-08,862.0404526098034
2015-09,819.0574214842962
2015-10,883.9710191947182
2015-11,869.8301797577159
2015-12,857.4033701041545
2016-01,795.7036047294158
2016-02,781.0936465153912
2016-03,833.2624350893246
2016-04,858.3456764293709
2016-05,851.367959609651
2016-06,823.1644538694317
2016-07,865.5371698509767
2016-08,867.81413389984
2016-09,879.4093134255688
2016-10,862.7058874557359
2016-11,846.3499017236772
2016-12,875.2467644798187
2017-01,900.2613470252478
2017-02,913.5639099012508
2017-03,939.3456188067231
2017-04,963.2245204780261
2017-05,999.6730194664467
2017-06,998.9651794532489
2017-07,1028.5029787332048
2017-08,1027.8239453491606
2017-09,1053.8499206030585
2017-10,1070.612371772013
2017-11,1081.2709490448142
2017-12,1099.1555582182245
2018-01,1154.9853480351367
2018-02,1103.6934376798256
2018-03,1084.5507290848273
2018-04,1111.3415800203
2018-05,1087.8939056595177
2018-06,1074.9470293825566
2018-07,1100.2875322676305
2018-08,1078.668564559633
2018-09,1089.1123092014955
2018-10,1001.7697011335651
2018-11,1000.0
2018-12,951.5151443472362
2019-01,1014.423985638527
2019-02,1039.8598737273737
2019-03,1047.2143246954602
2019-04,1078.6440766725593
2019-05,1028.1072950881276
2019-06,1088.6310030994246
2019-07,1075.359965416666
2019-08,1046.8314528576118
2019-09,1077.4027268336968
2019-10,1115.5603488770087
2019-11,1127.9790421971738
2019-12,1164.683092847987
2020-01,1139.4513924641637
2020-02,1035.616282567194
2020-03,894.8714967459708
2020-04,952.9924638685758
2020-05,995.4983578582736
2020-06,1030.805187377336
2020-07,1054.5618490923177
2020-08,1109.5741009045685
2020-09,1080.1965607486818
2020-10,1037.9471062206098
2020-11,1201.5657804212085
2020-12,1257.5194878670409
2021-01,1243.7566748266415
2021-02,1272.650675251055
2021-03,1302.0596680186113
2021-04,1342.3584217890796
2021-05,1386.2839062008843
2021-06,1369.0933075072007
2021-07,1378.0770811570583
2021-08,1402.5931629291913
2021-09,1365.3510117024439
2021-10,1397.3216529439208
2021-11,1331.3370276256921
2021-12,1399.0523899786601
2022-01,1334.129310897219
2022-02,1311.3697484965512
2022-03,1320.500391677775
2022-04,1236.0118030206731
2022-05,1249.5301926284917
2022-06,1131.9275486815818
2022-07,1188.4686530581382
2022-08,1132.7297708678075
2022-09,1025.8797017631593
2022-10,1082.0599848797347
2022-11,1205.2359758198684
2022-12,1206.0327393283833
2023-01,1305.3965900607222
2023-02,1278.0708257144342
2023-03,1309.3246557618638
2023-04,1346.960333460732
2023-05,1292.0412228224695
2023-06,1352.8447136725954
