Date,MSCI ACWI WITH CHINA ALL SHARES
2008-11,1036.056249320229
2008-12,1073.64928360867
2009-01,983.4826623688112
2009-02,888.9217915632875
2009-03,963.0922147736359
2009-04,1077.0055890310437
2009-05,1184.9605658777225
2009-06,1180.830621034125
2009-07,1286.4610642936384
2009-08,1328.4924392187263
2009-09,1390.0952494564258
2009-10,1370.1527068009582
2009-11,1427.4134991790938
2009-12,1457.3834529763267
2010-01,1393.5169052728315
2010-02,1411.8998016834614
2010-03,1502.814411898306
2010-04,1504.8736051252347
2010-05,1363.4246688970945
2010-06,1321.6149639882565
2010-07,1430.0006036344118
2010-08,1380.94979753372
2010-09,1512.5866063265578
2010-10,1569.2462892757662
2010-11,1534.1684341519267
2010-12,1646.0107476120293
2011-01,1671.8251906082344
2011-02,1721.339013442871
2011-03,1720.404630599542
2011-04,1791.1927753220548
2011-05,1753.8953172365048
2011-06,1727.687872460348
2011-07,1700.0095267715462
2011-08,1577.1249029634423
2011-09,1428.9568709200314
2011-10,1581.6021762046755
2011-11,1534.4525691914005
2011-12,1531.3263127490102
2012-01,1620.6424574966295
2012-02,1703.1216942001038
2012-03,1714.0391122877859
2012-04,1696.7566478366393
2012-05,1547.4583611891012
2012-06,1623.0797270910707
2012-07,1644.9435573261276
2012-08,1680.333337547126
2012-09,1734.364615076893
2012-10,1723.2659747318005
2012-11,1745.0130962171663
2012-12,1788.6863097204766
2013-01,1871.8714890333508
2013-02,1872.1673086304422
2013-03,1904.9886856409598
2013-04,1959.6498410761474
2013-05,1957.666366007817
2013-06,1897.9902145016397
2013-07,1988.4147286729542
2013-08,1949.7938221780214
2013-09,2050.9388197182625
2013-10,2132.434346043268
2013-11,2164.0255155245427
2013-12,2200.6040063274427
2014-01,2112.7553294832956
2014-02,2213.860442964374
2014-03,2224.0221938733134
2014-04,2245.9783580917942
2014-05,2295.2019545028897
2014-06,2339.510974168531
2014-07,2314.8149716276985
2014-08,2366.282514689873
2014-09,2292.6059361620014
2014-10,2309.974188946125
2014-11,2352.535199633166
2014-12,2317.598219276582
2015-01,2281.305710625684
2015-02,2408.4058241641824
2015-03,2380.894351732807
2015-04,2460.9090219428163
2015-05,2461.1019553531078
2015-06,2399.7366151793867
2015-07,2410.470324566838
2015-08,2241.6098824562496
2015-09,2160.750218663158
2015-10,2332.8181952433965
2015-11,2314.6338067093043
2015-12,2275.778315813659
2016-01,2127.6546036129826
2016-02,2113.7342340713303
2016-03,2275.003275398688
2016-04,2307.5557820688423
2016-05,2311.5820562100935
2016-06,2299.094016168378
2016-07,2398.0061163433984
2016-08,2409.1321008566074
2016-09,2423.2806743912683
2016-10,2384.164747503614
2016-11,2404.9055286479047
2016-12,2452.4721924981427
2017-01,2520.413830242521
2017-02,2592.1140582489343
2017-03,2624.5658821672387
2017-04,2665.3849557096373
2017-05,2726.0338809672958
2017-06,2743.0091316192206
2017-07,2821.412001374094
2017-08,2836.186864941258
2017-09,2890.7454988901936
2017-10,2952.5813563127167
2017-11,3007.7709246868626
2017-12,3057.6470681045466
2018-01,3233.1243749920172
2018-02,3096.4655557693895
2018-03,3031.9070739231925
2018-04,3058.407744423872
2018-05,3064.312838446981
2018-06,3042.215164943621
2018-07,3131.8817549745404
2018-08,3153.7283552265026
2018-09,3169.8329768241324
2018-10,2931.559143257247
2018-11,2975.7634752870613
2018-12,2769.539366
2019-01,2989.3983970348763
2019-02,3077.335684522908
2019-03,3120.687917019489
2019-04,3225.412295615358
2019-05,3034.7429165789
2019-06,3234.2992673112994
2019-07,3245.0286649581403
2019-08,3168.668475186579
2019-09,3235.6725472603184
2019-10,3325.2714072846097
2019-11,3405.4446912645526
2019-12,3529.705639710009
2020-01,3492.1202636325734
2020-02,3215.884653498249
2020-03,2787.935147956947
2020-04,3085.6606613328745
2020-05,3217.4248343932777
2020-06,3326.405204271206
2020-07,3511.2649192303775
2020-08,3726.0051252213016
2020-09,3605.6973802087327
2020-10,3524.2887267986403
2020-11,3954.402667663391
2020-12,4141.7639444265005
2021-01,4128.883028411439
2021-02,4222.0371933671
2021-03,4326.7781381221075
2021-04,4517.481748573317
2021-05,4595.838524253782
2021-06,4654.499907
2021-07,4679.886989751192
2021-08,4796.361850198975
2021-09,4606.305892070116
2021-10,4839.213584538598
2021-11,4726.876332
2021-12,4913.535248977269
2022-01,4668.471080092392
2022-02,4555.313676452073
2022-03,4643.698836287797
2022-04,4272.304730080653
2022-05,4282.887765027092
2022-06,3942.1931309611914
2022-07,4204.34147495514
2022-08,4050.719929574814
2022-09,3665.231411695666
2022-10,3873.247286804881
2022-11,4178.120743715497
2022-12,4021.311693629374
2023-01,4313.305935927375
2023-02,4189.880624046822
2023-03,4318.589483966626
2023-04,4379.052032175619
2023-05,4328.8712558276175
2023-06,4575.54867506315
