Date,MSCI ACWI ex CHINA
2006-12,1563.7536047628466
2007-01,1580.4713552517485
2007-02,1572.9565212463624
2007-03,1604.9088207582345
2007-04,1677.1542093360954
2007-05,1727.8597707739295
2007-06,1721.2641451374022
2007-07,1692.9776312875672
2007-08,1687.3374845058104
2007-09,1774.7983420151345
2007-10,1840.542259961081
2007-11,1763.1698642432798
2007-12,1745.2330013035937
2008-01,1606.9811500100004
2008-02,1609.6514434646624
2008-03,1589.8341444463106
2008-04,1677.1626905853311
2008-05,1707.2238167308499
2008-06,1568.784739748734
2008-07,1527.275705757622
2008-08,1496.6370029235545
2008-09,1312.132283144862
2008-10,1053.0291081391854
2008-11,982.8351918497765
2008-12,1017.853124613402
2009-01,931.1557844301246
2009-02,839.4859351541774
2009-03,908.1331872447805
2009-04,1016.3142721004848
2009-05,1117.258789469249
2009-06,1110.2572976200238
2009-07,1207.8510088185471
2009-08,1254.693004024382
2009-09,1312.6354561407702
2009-10,1290.3040076856496
2009-11,1344.4742889883664
2009-12,1373.2426479890737
2010-01,1315.5907823656933
2010-02,1332.5706216559952
2010-03,1419.2871261531955
2010-04,1422.5975659336173
2010-05,1287.6402529430252
2010-06,1247.0407332608495
2010-07,1350.1355010174814
2010-08,1303.2347859263348
2010-09,1428.5389416222217
2010-10,1480.3643993689846
2010-11,1448.1142070789767
2010-12,1557.692993699634
2011-01,1583.300336056359
2011-02,1631.8622693074067
2011-03,1628.8827242228206
2011-04,1697.4667232822103
2011-05,1661.5868180887676
2011-06,1636.9172522116742
2011-07,1610.4899821134181
2011-08,1494.307304967709
2011-09,1356.4195928577174
2011-10,1500.786101180432
2011-11,1458.483526080898
2011-12,1455.1788113130265
2012-01,1538.533750947748
2012-02,1616.1844522303077
2012-03,1630.7286853662902
2012-04,1611.412749727251
2012-05,1469.0051477631612
2012-06,1543.2534734801552
2012-07,1564.877741314265
2012-08,1601.6075223577711
2012-09,1651.5515376499652
2012-10,1638.6239514339359
2012-11,1660.158105761193
2012-12,1697.5715352030004
2013-01,1776.4767269842002
2013-02,1778.7329429717256
2013-03,1814.8635497117184
2013-04,1868.6616947375962
2013-05,1865.382431128697
2013-06,1813.2535351363263
2013-07,1900.9266080405582
2013-08,1860.3423199519118
2013-09,1957.1081042115793
2013-10,2036.8650846449034
2013-11,2065.06621872534
2013-12,2103.8294815073145
2014-01,2021.3745001310544
2014-02,2120.986192504543
2014-03,2132.505973123739
2014-04,2155.359966937884
2014-05,2202.0031641668515
2014-06,2243.8068324755736
2014-07,2213.0183786773428
2014-08,2263.8107892127937
2014-09,2192.826470184293
2014-10,2207.1024216800256
2014-11,2245.030865257169
2014-12,2201.121258456385
2015-01,2165.2704409272324
2015-02,2288.0409470350833
2015-03,2251.844205441845
2015-04,2310.6670513334147
2015-05,2311.8083253666605
2015-06,2260.4676903289173
2015-07,2288.065176255998
2015-08,2134.8215487283073
2015-09,2057.6009702850038
2015-10,2219.0623198605413
2015-11,2203.0826774064476
2015-12,2164.0141250450733
2016-01,2037.8295151879672
2016-02,2025.8904365582312
2016-03,2175.2730689486934
2016-04,2209.609859385448
2016-05,2214.7764399215853
2016-06,2201.4554323106618
2016-07,2297.498861670754
2016-08,2301.9410456718692
2016-09,2315.7490755662634
2016-10,2277.1864257521665
2016-11,2297.0175914355655
2016-12,2351.953335097595
2017-01,2414.054167319841
2017-02,2482.3560092249927
2017-03,2513.7474015127227
2017-04,2553.272732
2017-05,2609.556887
2017-06,2620.936986
2017-07,2689.96471
2017-08,2698.071558
2017-09,2752.092088
2017-10,2808.04895
2017-11,2864.125414
2017-12,2910.984032
2018-01,3068.57841
2018-02,2943.573932
2018-03,2883.695017
2018-04,2913.9867667060935
2018-05,2918.325764563057
2018-06,2909.357833405357
2018-07,3004.3039400000653
2018-08,3034.401938330518
2018-09,3050.896342865098
2018-10,2827.2656634060177
2018-11,2864.362228338109
2018-12,2662.769134
2019-01,2870.7221702968523
2019-02,2947.998345270805
2019-03,2985.5994240377336
2019-04,3089.438490637788
2019-05,2917.606423724885
2019-06,3108.351656543845
2019-07,3119.5184740353134
2019-08,3049.1505929770583
2019-09,3117.268378387735
2019-10,3201.8792357433135
2019-11,3282.3841560690244
2019-12,3392.8072976355566
2020-01,3361.7146523822626
2020-02,3078.7494348878768
2020-03,2655.0099372938075
2020-04,2946.833556533689
2020-05,3083.8682704926814
2020-06,3174.9241726507626
2020-07,3337.169264452511
2020-08,3543.5409288398328
2020-09,3429.698254242239
2020-10,3332.6668233866394
2020-11,3763.736615794487
2020-12,3943.8497723718456
2021-01,3910.2389283046505
2021-02,4009.688854419222
2021-03,4139.519763147402
2021-04,4328.711505088769
2021-05,4400.1452448609225
2021-06,4462.362655
2021-07,4527.454614008209
2021-08,4647.138973624632
2021-09,4458.99879115109
2021-10,4691.472856418238
2021-11,4586.937913240685
2021-12,4785.221142393885
2022-01,4547.610963798279
2022-02,4433.883695087902
2022-03,4549.864423085791
2022-04,4181.304329921354
2022-05,4187.662937875377
2022-06,3813.042147759523
2022-07,4107.661024826931
2022-08,3952.2803238307533
2022-09,3583.1890680793854
2022-10,3829.9908369014524
2022-11,4105.1466030720885
2022-12,3932.4135313908046
2023-01,4208.4708117067075
2023-02,4101.857946027932
2023-03,4229.134319025726
2023-04,4302.338415320966
2023-05,4270.383402771631
2023-06,4522.757451985473
