Date,MSCI ACWI ex CHINA
1998-12,1000.0
1999-01,1019.9452364898453
1999-02,994.0199167694456
1999-03,1039.6365449263049
1999-04,1084.413616441556
1999-05,1047.0505608904605
1999-06,1099.6036539430288
1999-07,1094.66889945621
1999-08,1093.6082742537385
1999-09,1081.8409104620314
1999-10,1135.9978682334788
1999-11,1171.119418121171
1999-12,1268.371328154547
2000-01,1199.2821143983108
2000-02,1203.2481869211379
2000-03,1282.953846988732
2000-04,1225.4867714870209
2000-05,1194.7556889252237
2000-06,1234.7808077652223
2000-07,1197.9770171996022
2000-08,1236.0112756262126
2000-09,1168.2348545995442
2000-10,1144.989382522317
2000-11,1074.2808081602864
2000-12,1091.8268677266558
2001-01,1119.0683007402713
2001-02,1025.052967868602
2001-03,956.450399703123
2001-04,1026.0318082564027
2001-05,1014.4745952621994
2001-06,982.8952693747876
2001-07,968.129451289734
2001-08,924.1888271516697
2001-09,839.6501479894623
2001-10,857.4627731863459
2001-11,910.101677400249
2001-12,918.646862068577
2002-01,893.6406618424206
2002-02,887.031370844556
2002-03,927.0628445712834
2002-04,897.5130138018383
2002-05,898.7462476270258
2002-06,843.8399569428326
2002-07,772.9877723126162
2002-08,775.0306432760085
2002-09,689.9703921492587
2002-10,740.8977904157621
2002-11,781.4509757116223
2002-12,744.1762094269588
2003-01,722.2842788818311
2003-02,709.6614092172844
2003-03,707.0497458678518
2003-04,770.3622352107714
2003-05,815.0604852193609
2003-06,830.6176373659406
2003-07,848.8753267154426
2003-08,868.9195187620015
2003-09,874.4925086633363
2003-10,927.3010478964599
2003-11,941.4978398549151
2003-12,1000.9605827741048
2004-01,1018.2169830968433
2004-02,1036.8373490199804
2004-03,1031.6186397072674
2004-04,1008.3663593939726
2004-05,1016.6646443703286
2004-06,1037.31628491437
2004-07,1004.2979711600867
2004-08,1010.8279011406046
2004-09,1031.906245293139
2004-10,1057.5884315891744
2004-11,1115.4822270200964
2004-12,1159.2333655313553
2005-01,1134.8971833128448
2005-02,1174.5619295659378
2005-03,1149.3021891197639
2005-04,1124.5985672702388
2005-05,1146.48753748906
2005-06,1158.4270980642375
2005-07,1201.3805644319536
2005-08,1211.077061844112
2005-09,1247.6865722293378
2005-10,1214.7622287348343
2005-11,1259.4254868633263
2005-12,1290.6624199459336
2006-01,1353.8672435879707
2006-02,1352.1764559111098
2006-03,1381.1165388909733
2006-04,1427.6295918284716
2006-05,1372.671475286071
2006-06,1372.4196984887335
2006-07,1381.9180636986848
2006-08,1418.488950591627
2006-09,1435.1540183522256
2006-10,1488.943098565802
2006-11,1530.8484934314447
