Date,WORLD ex USA
1969-12,100.0
1970-01,97.904146
1970-02,96.688923
1970-03,96.679263
1970-04,86.578371
1970-05,80.233884
1970-06,81.143783
1970-07,84.385077
1970-08,86.080477
1970-09,88.778307
1970-10,86.409244
1970-11,83.545047
1970-12,86.588586
1971-01,90.707056
1971-02,91.875477
1971-03,96.646832
1971-04,98.8069
1971-05,99.667041
1971-06,101.472025
1971-07,104.116759
1971-08,102.567483
1971-09,102.361238
1971-10,98.213499
1971-11,100.0823
1971-12,115.42249
1972-01,123.937337
1972-02,131.58932
1972-03,133.029154
1972-04,138.234056
1972-05,147.747875
1972-06,142.808049
1972-07,151.818668
1972-08,153.755252
1972-09,146.440685
1972-10,146.288031
1972-11,158.478598
1972-12,162.0112
1973-01,169.462803
1973-02,186.92185
1973-03,191.163
1973-04,178.182857
1973-05,181.378184
1973-06,183.996516
1973-07,184.208597
1973-08,174.329695
1973-09,177.634353
1973-10,181.112226
1973-11,151.552361
1973-12,144.719563
1974-01,151.351664
1974-02,157.554443
1974-03,153.503235
1974-04,156.095355
1974-05,147.911578
1974-06,140.404285
1974-07,136.480402
1974-08,122.320764
1974-09,115.306098
1974-10,115.243354
1974-11,119.034273
1974-12,117.906391
1975-01,137.848251
1975-02,154.705571
1975-03,153.033348
1975-04,158.978969
1975-05,158.705232
1975-06,153.784994
1975-07,148.060666
1975-08,147.366733
1975-09,140.120446
1975-10,150.08904
1975-11,153.897067
1975-12,156.535141
1976-01,165.216261
1976-02,164.93706
1976-03,161.918809
1976-04,161.766805
1976-05,157.971065
1976-06,159.976063
1976-07,157.831618
1976-08,157.41547
1976-09,154.997777
1976-10,145.843774
1976-11,145.607056
1976-12,162.093639
1977-01,160.718396
1977-02,164.093099
1977-03,164.558491
1977-04,168.444694
1977-05,167.618322
1977-06,171.691167
1977-07,169.423797
1977-08,175.643729
1977-09,180.870759
1977-10,183.746417
1977-11,183.352652
1977-12,190.488232
1978-01,191.856174
1978-02,193.897896
1978-03,207.476323
1978-04,206.297301
1978-05,211.288237
1978-06,219.942317
1978-07,238.92309
1978-08,243.918463
1978-09,251.236737
1978-10,263.600164
1978-11,241.712403
1978-12,253.537428
1979-01,255.64946
1979-02,255.335519
1979-03,262.647952
1979-04,262.413231
1979-05,258.924381
1979-06,264.486836
1979-07,266.098065
1979-08,274.890163
1979-09,288.304467
1979-10,264.599571
1979-11,270.611286
1979-12,281.276059
1980-01,298.846069
1980-02,302.693472
1980-03,265.243376
1980-04,289.120224
1980-05,304.396936
1980-06,324.169179
1980-07,324.372631
1980-08,335.503611
1980-09,347.903433
1980-10,360.108238
1980-11,355.002754
1980-12,352.833307
1981-01,346.246793
1981-02,341.792693
1981-03,355.561167
1981-04,363.312264
1981-05,351.008613
1981-06,351.332925
1981-07,337.266869
1981-08,345.367494
1981-09,310.185779
1981-10,314.014305
1981-11,348.864833
1981-12,344.174353
1982-01,338.714604
1982-02,315.658645
1982-03,300.115061
1982-04,317.366533
1982-05,312.933717
1982-06,288.159637
1982-07,286.815861
1982-08,291.332408
1982-09,290.107083
1982-10,294.506017
1982-11,316.724493
1982-12,343.282686
1983-01,342.996425
1983-02,350.673895
1983-03,363.851043
1983-04,386.930281
1983-05,386.677296
1983-06,395.610098
1983-07,396.917381
1983-08,391.839933
1983-09,404.156034
1983-10,399.730663
1983-11,412.915317
1983-12,428.373112
1984-01,442.648203
1984-02,448.798303
1984-03,484.439125
1984-04,476.172687
1984-05,431.441402
1984-06,429.618705
1984-07,401.707724
1984-08,438.822077
1984-09,434.514672
1984-10,442.604215
1984-11,436.516683
1984-12,443.231134
1985-01,455.868324
1985-02,451.671763
1985-03,485.607542
1985-04,484.41426
1985-05,503.909003
1985-06,515.206353
1985-07,540.182904
1985-08,555.151498
1985-09,582.193519
1985-10,616.216807
1985-11,643.348373
1985-12,671.052827
1986-01,686.83753
1986-02,758.191
1986-03,860.96
1986-04,914.237
1986-05,876.013947
1986-06,931.19239
1986-07,983.587435
1986-08,1079.182091
1986-09,1069.88833
1986-10,1002.464734
1986-11,1058.704926
1986-12,1112.875921
1987-01,1233.293485
1987-02,1272.050652
1987-03,1379.622475
1987-04,1517.190873
1987-05,1516.323751
1987-06,1472.951758
1987-07,1479.132959
1987-08,1584.584349
