Date,MSCI EMERGING MARKETS HORIZON
2003-05,1000.0
2003-06,1041.0015759100766
2003-07,1059.3770005951087
2003-08,1113.3519269767146
2003-09,1157.9079866078216
2003-10,1251.1938771615808
2003-11,1237.4583432952852
2003-12,1360.0619338849685
2004-01,1384.553896945078
2004-02,1452.3904767212623
2004-03,1459.2133608817521
2004-04,1408.265731415476
2004-05,1372.983347522286
2004-06,1413.2032508923228
2004-07,1406.4294389440531
2004-08,1412.120070532373
2004-09,1491.190703523667
2004-10,1539.8697624502945
2004-11,1670.978806622059
2004-12,1764.9554995801086
2005-01,1805.2436196939839
2005-02,1940.7113172257439
2005-03,1829.8643963081029
2005-04,1783.5748607856742
2005-05,1827.2753120477525
2005-06,1879.6800472062882
2005-07,2010.5489714332732
2005-08,2036.9020583784245
2005-09,2159.986261841327
2005-10,2065.792732218821
2005-11,2162.4098668725537
2005-12,2239.320377640332
2006-01,2433.115760206585
2006-02,2448.4913248298008
2006-03,2428.4558234396263
2006-04,2594.901703544986
2006-05,2314.6727599225073
2006-06,2264.991781305964
2006-07,2399.4680875599674
2006-08,2455.1080042599
2006-09,2499.7138800613798
2006-10,2664.4539614410396
2006-11,2804.125302774199
2006-12,2905.3231871674516
2007-01,2996.6505723099176
2007-02,2967.691680754635
2007-03,3130.4222781487874
2007-04,3317.3284632602517
2007-05,3520.162260077543
2007-06,3580.107756225817
2007-07,3658.865820447927
2007-08,3503.5222753269136
2007-09,3743.415263185632
2007-10,4047.7757090176624
2007-11,3854.2013981111118
2007-12,3909.9508895318286
2008-01,3696.3973353724523
2008-02,3860.160454751483
2008-03,3785.574520789199
2008-04,3847.4126180118806
2008-05,3928.8525031555205
2008-06,3661.107641111808
2008-07,3638.6026388499154
2008-08,3410.5560106261596
2008-09,2975.1023019848903
2008-10,2115.383518132929
2008-11,2002.3660186589962
2008-12,2132.1950149293866
2009-01,1949.8305662331472
2009-02,1841.281269066839
2009-03,1987.4438307373514
2009-04,2292.545116484771
2009-05,2593.3004841114457
2009-06,2676.827850349365
2009-07,3017.866656834908
2009-08,3085.9677800483337
2009-09,3229.029908803967
2009-10,3232.104104077034
2009-11,3362.8070399271437
2009-12,3501.491252252184
2010-01,3455.306277776806
2010-02,3460.4371228474383
2010-03,3770.417634393272
2010-04,3814.7590856782663
2010-05,3547.597458462483
2010-06,3553.064457925655
2010-07,3866.8003529887237
2010-08,3902.3947143898035
2010-09,4347.721818108484
2010-10,4548.9204094985425
2010-11,4362.029856479313
2010-12,4570.079296673882
2011-01,4348.68388115969
2011-02,4380.3775702852445
2011-03,4598.193797647355
2011-04,4826.581922157235
2011-05,4709.55451732468
2011-06,4695.2962745123
2011-07,4726.986807963393
2011-08,4406.25044926462
2011-09,3827.3672948935264
2011-10,4253.888337440539
2011-11,4043.316828381926
2011-12,4029.582701958617
2012-01,4362.759591675002
2012-02,4572.878278491089
2012-03,4619.3104061828935
2012-04,4620.354024212431
2012-05,4146.060227348508
2012-06,4446.992220498435
2012-07,4546.497562132785
2012-08,4539.961454354563
2012-09,4752.547150530486
2012-10,4825.023974380235
2012-11,4804.397988159325
2012-12,5033.268616832314
2013-01,5152.650091962843
2013-02,5159.275476127641
2013-03,5229.556614368821
2013-04,5251.656136313879
2013-05,5059.2005227847485
2013-06,4793.774138546857
2013-07,4727.144359342579
2013-08,4399.707155570453
2013-09,4599.2305628907925
2013-10,4847.047902965218
2013-11,4668.711139827098
2013-12,4560.162562408628
2014-01,4311.286170128738
2014-02,4478.067509497662
2014-03,4684.779600407069
2014-04,4781.734122499576
2014-05,4865.22548129398
2014-06,4869.785260801424
2014-07,4926.928838291243
2014-08,5024.3165932830425
2014-09,4849.94164811792
2014-10,4810.870666444073
2014-11,4740.199250996279
2014-12,4445.923330637169
2015-01,4312.069475181681
2015-02,4440.426432999918
2015-03,4334.946513117684
2015-04,4424.830830187148
2015-05,4307.467817034312
2015-06,4202.177646381764
2015-07,4058.763457963085
2015-08,3714.288001974961
2015-09,3545.4291880138735
2015-10,3755.6809406442417
2015-11,3580.907545433335
2015-12,3537.5466379374016
2016-01,3469.906810157192
2016-02,3551.1494256636024
2016-03,3946.700921428347
2016-04,3947.305177200231
2016-05,3725.573661332347
2016-06,3834.5119160928593
2016-07,3930.83437414902
2016-08,3980.971325962167
2016-09,3899.916092733639
2016-10,3938.8536500911196
2016-11,3599.864402201687
2016-12,3702.0272867249987
2017-01,3815.921974457983
2017-02,3899.8291106018632
2017-03,4060.3044047380295
2017-04,4181.710837
2017-05,4261.490736
2017-06,4330.475025
2017-07,4482.931537
2017-08,4566.226666
2017-09,4494.052883
2017-10,4466.46765
2017-11,4400.755231
2017-12,4660.512359
2018-01,4965.300648
2018-02,4773.25382
2018-03,4679.697413
2018-04,4682.1991700985045
2018-05,4310.630477824042
2018-06,4188.337292619027
2018-07,4412.375211430805
2018-08,4227.399431602928
2018-09,4214.048944905847
2018-10,3869.5279611817455
2018-11,4007.7350457051375
2018-12,3998.4542349977723
2019-01,4354.995278701384
2019-02,4237.5750908152695
2019-03,4181.840871644891
2019-04,4319.590548090824
2019-05,4103.654387197266
2019-06,4325.185229715253
2019-07,4261.054266414257
2019-08,4000.03020043407
2019-09,4007.45759474545
2019-10,4047.4473266503787
2019-11,3999.807503614575
2019-12,4214.808014000802
2020-01,4003.9060921474547
2020-02,3584.6456297250365
2020-03,2826.536520007824
2020-04,3108.592317694477
2020-05,3200.1026617146167
2020-06,3339.4840896008773
2020-07,3444.342777360949
2020-08,3456.4403890960016
2020-09,3359.3170424781065
2020-10,3337.95376469087
2020-11,3809.472763474515
2020-12,4023.545282994442
2021-01,3999.3552998040977
2021-02,4087.1491377003863
2021-03,4215.223285995114
2021-04,4277.012534780571
2021-05,4422.037934463059
2021-06,4304.745086292971
2021-07,4247.9310473963105
2021-08,4485.175521103226
2021-09,4377.973987247278
2021-10,4484.740098595684
2021-11,4265.878892838035
2021-12,4453.79884933325
2022-01,4610.074894740764
2022-02,4759.070694101724
2022-03,5015.624747641335
2022-04,4810.919055406189
2022-05,4738.217321030171
2022-06,4237.238174295748
2022-07,4351.855819539294
2022-08,4358.17116702904
2022-09,4061.7046252303667
2022-10,4254.831909341958
2022-11,4493.687483216099
2022-12,4379.733046717993
2023-01,4578.880446100799
2023-02,4380.274141167203
