Date,AC EUROPE GROWTH
1997-03,104.04660734408809
1997-04,103.24696103257276
1997-05,106.90254725547881
1997-06,113.14675366594246
1997-07,118.2479507157925
1997-08,111.53068760604297
1997-09,122.48073489728517
1997-10,114.59274476260607
1997-11,116.21210221409028
1997-12,120.91400219297977
1998-01,125.68972281010285
1998-02,136.39128446536856
1998-03,142.40622699270398
1998-04,145.13436736487935
1998-05,147.29957194760107
1998-06,150.44132798038046
1998-07,151.74416886685006
1998-08,135.37598673074572
1998-09,130.01649029302607
1998-10,141.71068553614606
1998-11,149.0887585064319
1998-12,159.03243155946242
1999-01,160.02958299648083
1999-02,154.03891881330134
1999-03,150.92196268670295
1999-04,149.7300687872431
1999-05,144.28686693346762
1999-06,146.50172908671007
1999-07,145.26961557149193
1999-08,147.435904510687
1999-09,146.80365909853393
1999-10,154.84320151743998
1999-11,164.35378472698417
1999-12,185.29105591985783
2000-01,176.41888607441658
2000-02,190.15857173371222
2000-03,192.70523889434372
2000-04,183.72671705142673
2000-05,175.35114568098186
2000-06,177.3993735370615
2000-07,170.29472098729136
2000-08,166.97245471666778
2000-09,157.72036003312076
2000-10,153.99772104965177
2000-11,145.29261989488776
2000-12,153.55245719875512
2001-01,151.9913485434631
2001-02,135.11156595304556
2001-03,123.61036014348826
2001-04,133.3605954220744
2001-05,125.71444479511807
2001-06,120.23308962464041
2001-07,119.70122883427783
2001-08,114.53323445775128
2001-09,104.03177136558085
2001-10,108.77493248592272
2001-11,113.8937760804091
2001-12,116.83353480705107
2002-01,111.56980577791578
2002-02,112.20334651794826
2002-03,116.35465682277966
2002-04,115.25471642465618
2002-05,113.29246590762683
2002-06,111.17934940576285
2002-07,98.10621984360758
2002-08,97.47954107217146
2002-09,87.99326980390353
2002-10,95.90698625508165
2002-11,98.13708028293736
2002-12,95.94649317935634
2003-01,91.02850924797451
2003-02,88.40758572632214
2003-03,87.76354213254135
2003-04,98.56587728277773
2003-05,103.8262673810511
2003-06,104.14461923642476
2003-07,104.38038754891244
2003-08,103.65583676229522
2003-09,106.89143674839598
2003-10,113.18800518915208
2003-11,118.32569783938466
2003-12,126.89971704043755
2004-01,129.2331092194316
2004-02,133.02023326685503
2004-03,128.71624559002524
2004-04,126.8051411576924
2004-05,128.77130072033748
2004-06,129.68622435413855
2004-07,125.41749137242721
2004-08,124.95729326754314
2004-09,129.82993663090804
2004-10,134.32950700543677
2004-11,143.65274985898336
2004-12,149.26276689856908
2005-01,145.9276171709888
2005-02,152.9255858929356
2005-03,149.219775
2005-04,146.7869173594173
2005-05,147.7741622781932
2005-06,148.83917353589305
2005-07,154.54634241556582
2005-08,157.2900754702612
2005-09,160.6851497603183
2005-10,155.68394899835997
2005-11,156.40071730658522
2005-12,162.13068460062172
2006-01,172.55690619753364
2006-02,171.73904506464444
2006-03,179.0979150431944
2006-04,188.76587199453053
2006-05,183.08077523120548
2006-06,183.71790020410631
2006-07,185.8355471754068
2006-08,191.43824740533228
2006-09,190.78850392692254
2006-10,197.90678702378798
2006-11,206.01723909375497
2006-12,212.79845163888496
2007-01,214.46571612768767
2007-02,213.9810297633077
2007-03,223.95086599192248
2007-04,237.05752046233033
2007-05,241.12557072185703
2007-06,241.64378604049108
2007-07,238.54706009549182
2007-08,236.91385259921688
2007-09,250.98809408376852
2016-11,257.4167026335657
2016-12,267.83564389424504
2017-01,274.9176429263297
2017-02,281.5047472586351
2017-03,291.49404567199815
2017-04,303.6094722352661
2017-05,320.3783950206768
2017-06,315.35481289659725
2017-07,322.8245124623736
2017-08,325.645746590426
2017-09,334.04476678008655
2017-10,337.58422718660086
2017-11,337.3668346139856
2017-12,343.5420859437295
2018-01,360.0054883850802
2018-02,339.3763577329386
2018-03,337.1850655849795
2018-04,342.6855222355084
2018-05,339.57417190608714
2018-06,337.67849741099747
2018-07,348.37392513330155
2018-08,344.6969902335394
2018-09,342.06752303384957
2018-10,312.54706314257385
2018-11,310.7987031559523
2018-12,297.42750007120105
2019-01,317.63859973316704
2019-02,329.21773131354695
2019-03,335.77422225754555
2019-04,349.28683836556246
2019-05,336.74418318202225
2019-06,361.4499503886245
2019-07,357.66684545733114
2019-08,353.96595331333873
2019-09,356.6920682774059
2019-10,367.55348571590434
2019-11,375.11614631715383
2019-12,388.34058723893463
2020-01,385.6005421441636
2020-02,352.5552196270926
2020-03,316.4817451425195
2020-04,339.8008421506527
2020-05,359.46374571154803
2020-06,369.4515204850996
2020-07,392.58559681902284
2020-08,406.56463099745247
2020-09,400.2481524335028
2020-10,377.71629475878694
2020-11,422.4887110803927
2020-12,445.8298353650005
