Date,ZHONG HUA (A ONSH) ex HONG KONG MID CAP
2009-12,1015.6669870526752
2010-01,964.63944935304
2010-02,999.7123513799979
2010-03,1024.9058506808824
2010-04,982.0091744090444
2010-05,902.0460994232214
2010-06,839.0830662304622
2010-07,938.3123223057771
2010-08,984.4854018813986
2010-09,1039.6628049657425
2010-10,1120.6411346677603
2010-11,1113.4961146209769
2010-12,1088.659473616439
2011-01,1033.3138915430034
2011-02,1096.9260334109208
2011-03,1096.6889703465329
2011-04,1084.5611065282976
2011-05,1012.5763632969422
2011-06,1030.9129388276933
2011-07,1036.4673223359043
2011-08,975.8708033988983
2011-09,823.4198228163777
2011-10,884.0985389900698
2011-11,829.1702155609056
2011-12,751.8824502045088
2012-01,771.963546969165
2012-02,862.4107202575564
2012-03,791.7634266544987
2012-04,829.5155111686596
2012-05,825.17282239764
2012-06,777.1154191575686
2012-07,723.6937461901888
2012-08,714.0141899325165
2012-09,751.6255323059065
2012-10,762.5760178705209
2012-11,716.6836630249971
2012-12,811.9795980928051
2013-01,861.0682667890626
2013-02,875.3303532295608
2013-03,832.6034328941341
2013-04,824.9867001544421
2013-05,907.0489658202739
2013-06,782.5573063059685
2013-07,818.0416072121402
2013-08,865.4904248283874
2013-09,900.1445899971244
2013-10,889.9080162803612
2013-11,938.1194140418014
2013-12,920.0961281906714
2014-01,899.2005179217907
2014-02,904.6177809973391
2014-03,869.4217473289535
2014-04,845.6046910710706
2014-05,858.3232048395558
2014-06,884.2529838640223
2014-07,943.1584198023752
2014-08,969.8863912717934
2014-09,1026.9989187623303
2014-10,1050.1666474453143
2014-11,1101.5200811203974
2014-12,1133.0536930273481
2015-01,1175.2403582719883
2015-02,1244.391984107613
2015-03,1461.2398022496104
2015-04,1691.2947197716574
2015-05,1896.7644935355806
2015-06,1688.263865427696
2015-07,1466.0442197580471
2015-08,1248.0177057777087
2015-09,1177.880071652261
2015-10,1350.0759978198103
2015-11,1362.500121029598
2015-12,1391.9349828554462
2016-01,1006.6422604760834
2016-02,992.7038231271449
2016-03,1151.0346258062093
2016-04,1122.173289851594
2016-05,1089.941638728325
2016-06,1120.7788638951226
2016-07,1134.5228925446477
2016-08,1181.5618808163802
2016-09,1162.020361068431
2016-10,1166.1580383080031
2017-04,1121.336738
2017-05,1082.490115
2017-06,1138.728016
2017-07,1190.521429
2017-08,1244.182057
2017-09,1278.655717
2017-10,1272.015173
2017-11,1211.992571
2017-12,1233.951567
2018-01,1269.820521
2018-02,1223.23003
2018-03,1219.745242
2018-04,1156.9323673648453
2018-05,1156.534549261834
2018-06,1015.392910186082
2018-07,971.3332096342097
2018-08,883.8508691101341
2018-09,871.1121169028083
2018-10,760.9547483676236
2018-11,799.429805948545
2018-12,764.1361341720367
2019-01,807.7642936199267
2019-02,942.114897241364
2019-03,1027.1142928963461
2019-04,997.9731098420393
2019-05,905.9519817764041
2019-06,937.3041032221606
2019-07,928.4067564833562
2019-08,892.4673844242185
2019-09,905.0563742128571
2019-10,922.9386627060977
2019-11,920.6238767796706
2019-12,1004.2112119436601
2020-01,1021.4679275869652
2020-02,1036.8976656311572
2020-03,945.9229167891323
2020-04,1015.4445914970523
2020-05,1016.0184024279407
2020-06,1129.2917146489876
2020-07,1283.5488171441687
2020-08,1329.034422834979
2020-09,1249.1941327036166
2020-10,1250.0360174957855
2020-11,1316.0888512304703
2020-12,1365.8726563682335
