Date,MSCI ACWI ex MALAYSIA
1998-12,1000.0
1999-01,1019.8898015079565
1999-02,993.9621779252341
1999-03,1039.5950935523422
1999-04,1084.4197960633985
1999-05,1047.0674706787001
1999-06,1099.744121812458
1999-07,1094.7574217364354
1999-08,1093.6942834984409
1999-09,1081.9149774908187
1999-10,1136.029809346105
1999-11,1171.1366221847893
1999-12,1268.3416213154458
2000-01,1199.257103024911
2000-02,1203.1726487856145
2000-03,1282.864459346996
2000-04,1225.4326024930306
2000-05,1194.7155180714465
2000-06,1235.8581230029174
2000-07,1199.150793585501
2000-08,1237.0724805946045
2000-09,1169.225032273973
2000-10,1145.5435200334712
2000-11,1074.3427156827631
2000-12,1092.1923626234654
2001-01,1119.6827096964605
2001-02,1025.3528894208953
2001-03,956.4512642819865
2001-04,1026.7188143564354
2001-05,1015.322298156274
2001-06,983.7372198331839
2001-07,968.0739157945393
2001-08,923.2579780850033
2001-09,838.9929598501201
2001-10,856.9618979486055
2001-11,909.6528212737155
2001-12,917.9919393698194
2002-01,892.6317004644213
2002-02,886.0879060013973
2002-03,926.004844099383
2002-04,896.4145604095133
2002-05,897.8910700268068
2002-06,843.0141228232948
2002-07,772.1808194019386
2002-08,774.2000293457011
2002-09,689.2775948048424
2002-10,740.0771518113247
2002-11,780.7204987719896
2002-12,743.3776131929634
2003-01,721.5459656029432
2003-02,708.9375868237971
2003-03,706.288656306485
2003-04,769.5153089680778
2003-05,814.2806406407585
2003-06,829.8890997068135
2003-07,848.2610005394963
2003-08,868.3889077570361
2003-09,874.0046189426233
2003-10,926.8937079359843
2003-11,941.1891363915877
2003-12,1001.0356823681393
2004-01,1018.1367304305203
2004-02,1036.7914384900062
2004-03,1031.1815436501745
2004-04,1007.6215245678032
2004-05,1016.2345124763401
2004-06,1036.790282307883
2004-07,1003.8351826180588
2004-08,1010.3827908391847
2004-09,1031.6457753010955
2004-10,1057.1285500467218
2004-11,1115.1763027608172
2004-12,1158.753736592702
2005-01,1134.3351023857133
2005-02,1174.2644054778195
2005-03,1148.9097584979863
2005-04,1124.2705431674142
2005-05,1146.204166727777
2005-06,1158.2424286393702
2005-07,1201.2871931148939
2005-08,1211.0749730131477
2005-09,1247.869206600589
2005-10,1214.4751943585359
2005-11,1259.4488516000768
2005-12,1290.769996641381
2006-01,1354.647294468487
2006-02,1353.112469903063
2006-03,1382.1712307852051
2006-04,1428.8518108497367
2006-05,1373.6828232772393
2006-06,1373.727965639647
2006-07,1383.3649313880485
2006-08,1419.9296029521702
2006-09,1436.883798124815
2006-10,1491.053081441652
2006-11,1533.6978883626882
2006-12,1568.237878764623
2007-01,1583.8637307103666
2007-02,1576.1055255823155
2007-03,1608.2069487698627
2007-04,1680.3997874575148
2007-05,1731.896948047772
2007-06,1727.4777895667619
2007-07,1701.3643082292635
2007-08,1697.7298406428902
2007-09,1789.2810144713865
2007-10,1859.2609168888246
2007-11,1777.726680860856
2007-12,1758.1679517517603
2008-01,1614.2091318931564
2008-02,1619.5649689411425
2008-03,1596.8617628119957
2008-04,1687.2489056230434
2008-05,1715.7558668862976
2008-06,1575.471588125034
2008-07,1535.001225852488
2008-08,1502.8601371573468
2008-09,1315.492533320521
2008-10,1055.0691900039155
2008-11,986.272038782439
2008-12,1022.4342030824182
2009-01,935.1965911525625
2009-02,843.9612838980999
2009-03,914.1696575530784
2009-04,1022.7963766268159
2009-05,1126.0286241830977
2009-06,1120.0292746114383
2009-07,1218.9574475012794
2009-08,1263.2202824061637
2009-09,1321.6003196855922
2009-10,1301.1765717042526
2009-11,1355.4020949937285
2009-12,1383.9400021628692
2010-01,1324.2378186012259
2010-02,1341.616696201709
2010-03,1428.4612179274457
2010-04,1431.3948879138204
2010-05,1296.8205676063483
2010-06,1257.0252205857914
2010-07,1359.833963469049
2010-08,1312.3251415546235
2010-09,1438.5457680171492
2010-10,1490.8843969621819
2010-11,1458.36576637615
2010-12,1565.6848611319567
2011-01,1590.6561203150488
2011-02,1637.9269384674496
2011-03,1636.6440631516411
2011-04,1704.6896234297722
2011-05,1669.5262373517787
2011-06,1643.6230785637244
2011-07,1617.29507310541
2011-08,1499.842983411658
2011-09,1358.8171924998587
2011-10,1504.6602022146515
2011-11,1460.4655424122109
2011-12,1457.7531637534903
2012-01,1543.0153337510699
2012-02,1621.4795293047819
2012-03,1633.1184741243228
2012-04,1615.475482002355
2012-05,1471.7462851422279
2012-06,1545.4151369974277
2012-07,1566.9660550311637
2012-08,1601.9381493082485
2012-09,1653.1873951108582
2012-10,1642.3549766441856
2012-11,1664.4691549262823
2012-12,1702.8482642109768
2013-01,1782.5205911725243
2013-02,1782.9325322366758
2013-03,1816.3414574714566
2013-04,1869.3134296736407
2013-05,1865.4929036967856
2013-06,1811.6103267419319
2013-07,1899.5411971737426
2013-08,1860.9238875071733
2013-09,1957.8694932590354
2013-10,2036.859326178913
2013-11,2066.843148082846
2013-12,2103.2383311350786
2014-01,2019.71474211515
2014-02,2118.360070139959
2014-03,2128.8326767533104
2014-04,2150.205075650505
2014-05,2197.8678727468036
2014-06,2240.3116693510965
2014-07,2213.696086695364
2014-08,2263.6027795915816
2014-09,2191.19251057764
2014-10,2207.1722499398024
2014-11,2245.636518244381
2014-12,2203.6166390636063
2015-01,2169.7410502275625
2015-02,2291.702669150746
2015-03,2257.634043261437
2015-04,2324.179065612118
2015-05,2323.498317719517
2015-06,2270.0604572337256
2015-07,2290.698674753424
2015-08,2135.2373626175545
2015-09,2058.802412733947
2015-10,2221.07265709431
2015-11,2203.576903978249
2015-12,2164.597891475986
2016-01,2033.9782950870126
2016-02,2021.2124384369674
2016-03,2172.032625909801
2016-04,2205.6946471592023
2016-05,2210.919551693923
2016-06,2198.386883227565
2016-07,2294.1457601112425
2016-08,2302.8470504411694
2016-09,2318.2110376283244
2016-10,2279.3157585447157
2016-11,2298.3996140151435
2016-12,2349.06983595799
2017-01,2413.782876885834
2017-02,2482.638755466099
2017-03,2514.5396117900846
2017-04,2554.736805
2017-05,2613.470025
2017-06,2626.489695
2017-07,2701.037962
2017-08,2712.65805
2017-09,2766.182486
2017-10,2824.430564
2017-11,2880.413347
2017-12,2927.466533
2018-01,3093.059583
2018-02,2964.112147
2018-03,2902.070046
2018-04,2931.590425092611
2018-05,2938.518211542683
2018-06,2923.960859350851
2018-07,3012.9548159495407
2018-08,3037.985321651471
2018-09,3052.6241679576683
2018-10,2824.445965612738
2018-11,2867.286477847126
2018-12,2665.835736
2019-01,2877.656613067997
2019-02,2956.0005642291826
2019-03,2995.3446766809234
2019-04,3098.4125336804423
2019-05,2916.801988273556
2019-06,3109.438346250789
2019-07,3119.8119292394517
2019-08,3047.335833578988
2019-09,3113.057078949
2019-10,3199.1805793249678
2019-11,3278.9775827272515
2019-12,3395.778289222537
2020-01,3359.336619153076
2020-02,3089.1810171095076
2020-03,2673.7799526499
2020-04,2961.882537991682
2020-05,3092.4629620805404
2020-06,3192.6563830489613
2020-07,3362.5821978616095
2020-08,3570.3903848788827
2020-09,3456.4754703720487
2020-10,3373.230785529347
2020-11,3790.63544600111
2020-12,3968.072711965638
2021-01,3951.2781469813735
2021-02,4044.14604756125
2021-03,4154.6679328713
2021-04,4338.107964182688
2021-05,4408.2213143864
2021-06,4468.148942
2021-07,4500.566902069541
2021-08,4614.213438797034
2021-09,4425.548905272289
2021-10,4652.762099555222
2021-11,4542.302476
2021-12,4725.4414482874945
2022-01,4494.152146539669
2022-02,4378.857616869859
2022-03,4476.429511805565
2022-04,4119.414018703
2022-05,4127.340492842454
2022-06,3781.1103186843725
2022-07,4046.7900590233585
2022-08,3899.1078901694464
2022-09,3527.5018199209676
2022-10,3741.4647702954135
2022-11,4033.318552974066
2022-12,3875.8250687340264
2023-01,4154.903067849689
2023-02,4037.5944823597747
2023-03,4165.024741590902
2023-04,4227.051132315545
2023-05,4185.077464502503
2023-06,4430.409190059939
